window_index,start_mile,end_mile,episode_start_count
0,0,10000,435
1,10000,20000,435
2,20000,30000,416
3,30000,40000,412
4,40000,50000,457
5,50000,60000,425
6,60000,70000,402
7,70000,80000,374
8,80000,90000,430
9,90000,100000,396
10,100000,110000,428
11,110000,120000,434
12,120000,130000,431
13,130000,140000,452
14,140000,150000,393
15,150000,160000,384
16,160000,170000,454
17,170000,180000,410
18,180000,190000,411
19,190000,200000,435
20,200000,210000,423
21,210000,220000,415
22,220000,230000,430
23,230000,240000,378
24,240000,250000,389
25,250000,260000,435
26,260000,270000,425
27,270000,280000,428
28,280000,290000,456
29,290000,300000,451
30,300000,310000,409
31,310000,320000,411
32,320000,330000,455
33,330000,340000,432
34,340000,350000,400
35,350000,360000,422
36,360000,370000,417
37,370000,380000,432
38,380000,390000,419
39,390000,400000,451
40,400000,410000,423
41,410000,420000,429
42,420000,430000,367
43,430000,440000,429
44,440000,450000,432
45,450000,460000,440
46,460000,470000,403
47,470000,480000,395
48,480000,490000,431
49,490000,500000,425
50,500000,510000,393
51,510000,520000,403
52,520000,530000,430
53,530000,540000,401
54,540000,550000,435
55,550000,560000,411
56,560000,570000,398
57,570000,580000,400
58,580000,590000,398
59,590000,600000,426
60,600000,610000,400
61,610000,620000,423
62,620000,630000,413
63,630000,640000,453
64,640000,650000,456
65,650000,660000,432
66,660000,670000,431
67,670000,680000,432
68,680000,690000,458
69,690000,700000,397
70,700000,710000,402
71,710000,720000,424
72,720000,730000,433
73,730000,740000,431
74,740000,750000,413
75,750000,760000,396
76,760000,770000,431
77,770000,780000,449
78,780000,790000,424
79,790000,800000,425
80,800000,810000,449
81,810000,820000,412
82,820000,830000,408
83,830000,840000,435
84,840000,850000,376
85,850000,860000,389
86,860000,870000,421
87,870000,880000,436
88,880000,890000,431
89,890000,900000,458
90,900000,910000,413
91,910000,920000,420
92,920000,930000,481
93,930000,940000,439
94,940000,950000,387
95,950000,960000,438
96,960000,970000,395
97,970000,980000,420
98,980000,990000,391
99,990000,1000000,424
100,1000000,1010000,408
101,1010000,1020000,419
102,1020000,1030000,472
103,1030000,1040000,395
104,1040000,1050000,477
105,1050000,1060000,437
106,1060000,1070000,436
107,1070000,1080000,433
108,1080000,1090000,428
109,1090000,1100000,417
110,1100000,1110000,363
111,1110000,1120000,406
112,1120000,1130000,407
113,1130000,1140000,448
114,1140000,1150000,405
115,1150000,1160000,412
116,1160000,1170000,428
117,1170000,1180000,416
118,1180000,1190000,380
119,1190000,1200000,411
120,1200000,1210000,413
121,1210000,1220000,389
122,1220000,1230000,464
123,1230000,1240000,421
124,1240000,1250000,411
125,1250000,1260000,416
126,1260000,1270000,437
127,1270000,1280000,458
128,1280000,1290000,444
129,1290000,1300000,463
130,1300000,1310000,398
131,1310000,1320000,423
132,1320000,1330000,414
133,1330000,1340000,404
134,1340000,1350000,405
135,1350000,1360000,435
136,1360000,1370000,442
137,1370000,1380000,451
138,1380000,1390000,443
139,1390000,1400000,455
140,1400000,1410000,458
141,1410000,1420000,453
142,1420000,1430000,440
143,1430000,1440000,388
144,1440000,1450000,418
145,1450000,1460000,435
146,1460000,1470000,436
147,1470000,1480000,383
148,1480000,1490000,392
149,1490000,1500000,389
150,1500000,1510000,434
151,1510000,1520000,422
152,1520000,1530000,446
153,1530000,1540000,390
154,1540000,1550000,455
155,1550000,1560000,399
156,1560000,1570000,450
157,1570000,1580000,447
158,1580000,1590000,423
159,1590000,1600000,458
160,1600000,1610000,411
161,1610000,1620000,421
162,1620000,1630000,475
163,1630000,1640000,392
164,1640000,1650000,395
165,1650000,1660000,407
166,1660000,1670000,381
167,1670000,1680000,402
168,1680000,1690000,408
169,1690000,1700000,414
170,1700000,1710000,422
171,1710000,1720000,394
172,1720000,1730000,448
173,1730000,1740000,465
174,1740000,1750000,405
175,1750000,1760000,389
176,1760000,1770000,418
177,1770000,1780000,455
178,1780000,1790000,400
179,1790000,1800000,441
180,1800000,1810000,418
181,1810000,1820000,430
182,1820000,1830000,432
183,1830000,1840000,395
184,1840000,1850000,410
185,1850000,1860000,406
186,1860000,1870000,444
187,1870000,1880000,428
188,1880000,1890000,442
189,1890000,1900000,421
190,1900000,1910000,429
191,1910000,1920000,404
192,1920000,1930000,399
193,1930000,1940000,397
194,1940000,1950000,408
195,1950000,1960000,389
196,1960000,1970000,419
197,1970000,1980000,394
198,1980000,1990000,445
199,1990000,2000000,436
