window_index,start_mile,end_mile,episode_start_count
0,0,10000,367
1,10000,20000,318
2,20000,30000,331
3,30000,40000,428
4,40000,50000,311
5,50000,60000,368
6,60000,70000,364
7,70000,80000,418
8,80000,90000,331
9,90000,100000,366
10,100000,110000,341
11,110000,120000,386
12,120000,130000,400
13,130000,140000,344
14,140000,150000,331
15,150000,160000,313
16,160000,170000,376
17,170000,180000,382
18,180000,190000,383
19,190000,200000,472
20,200000,210000,324
21,210000,220000,397
22,220000,230000,408
23,230000,240000,366
24,240000,250000,352
25,250000,260000,389
26,260000,270000,368
27,270000,280000,369
28,280000,290000,409
29,290000,300000,315
30,300000,310000,359
31,310000,320000,416
32,320000,330000,363
33,330000,340000,334
34,340000,350000,384
35,350000,360000,373
36,360000,370000,386
37,370000,380000,356
38,380000,390000,357
39,390000,400000,425
40,400000,410000,372
41,410000,420000,324
42,420000,430000,378
43,430000,440000,362
44,440000,450000,350
45,450000,460000,370
46,460000,470000,369
47,470000,480000,405
48,480000,490000,350
49,490000,500000,385
50,500000,510000,386
51,510000,520000,373
52,520000,530000,375
53,530000,540000,366
54,540000,550000,352
55,550000,560000,361
56,560000,570000,358
57,570000,580000,391
58,580000,590000,409
59,590000,600000,369
60,600000,610000,435
61,610000,620000,402
62,620000,630000,369
63,630000,640000,371
64,640000,650000,354
65,650000,660000,345
66,660000,670000,378
67,670000,680000,411
68,680000,690000,345
69,690000,700000,332
70,700000,710000,329
71,710000,720000,362
72,720000,730000,341
73,730000,740000,395
74,740000,750000,395
75,750000,760000,576
76,760000,770000,526
77,770000,780000,472
78,780000,790000,311
79,790000,800000,439
80,800000,810000,421
81,810000,820000,379
82,820000,830000,351
83,830000,840000,359
84,840000,850000,445
85,850000,860000,330
86,860000,870000,375
87,870000,880000,454
88,880000,890000,400
89,890000,900000,377
90,900000,910000,407
91,910000,920000,346
92,920000,930000,328
93,930000,940000,366
94,940000,950000,319
95,950000,960000,337
96,960000,970000,375
97,970000,980000,412
98,980000,990000,310
99,990000,1000000,379
100,1000000,1010000,312
101,1010000,1020000,321
102,1020000,1030000,362
103,1030000,1040000,365
104,1040000,1050000,529
105,1050000,1060000,361
106,1060000,1070000,431
107,1070000,1080000,367
108,1080000,1090000,378
109,1090000,1100000,366
110,1100000,1110000,334
111,1110000,1120000,397
112,1120000,1130000,355
113,1130000,1140000,377
114,1140000,1150000,383
115,1150000,1160000,335
116,1160000,1170000,428
117,1170000,1180000,435
118,1180000,1190000,375
119,1190000,1200000,311
120,1200000,1210000,444
121,1210000,1220000,359
122,1220000,1230000,419
123,1230000,1240000,364
124,1240000,1250000,330
125,1250000,1260000,433
126,1260000,1270000,293
127,1270000,1280000,386
128,1280000,1290000,365
129,1290000,1300000,383
130,1300000,1310000,337
131,1310000,1320000,390
132,1320000,1330000,379
133,1330000,1340000,333
134,1340000,1350000,369
135,1350000,1360000,404
136,1360000,1370000,431
137,1370000,1380000,381
138,1380000,1390000,430
139,1390000,1400000,469
140,1400000,1410000,348
141,1410000,1420000,406
142,1420000,1430000,353
143,1430000,1440000,353
144,1440000,1450000,373
145,1450000,1460000,451
146,1460000,1470000,380
147,1470000,1480000,321
148,1480000,1490000,342
149,1490000,1500000,323
150,1500000,1510000,386
151,1510000,1520000,364
152,1520000,1530000,341
153,1530000,1540000,377
154,1540000,1550000,368
155,1550000,1560000,386
156,1560000,1570000,439
157,1570000,1580000,361
158,1580000,1590000,397
159,1590000,1600000,550
160,1600000,1610000,461
161,1610000,1620000,405
162,1620000,1630000,398
163,1630000,1640000,346
164,1640000,1650000,370
165,1650000,1660000,381
166,1660000,1670000,347
167,1670000,1680000,396
168,1680000,1690000,371
169,1690000,1700000,333
170,1700000,1710000,354
171,1710000,1720000,334
172,1720000,1730000,375
173,1730000,1740000,441
174,1740000,1750000,337
175,1750000,1760000,407
176,1760000,1770000,455
177,1770000,1780000,340
178,1780000,1790000,280
179,1790000,1800000,328
180,1800000,1810000,348
181,1810000,1820000,381
182,1820000,1830000,450
183,1830000,1840000,398
184,1840000,1850000,359
185,1850000,1860000,429
186,1860000,1870000,453
187,1870000,1880000,379
188,1880000,1890000,387
189,1890000,1900000,400
190,1900000,1910000,361
191,1910000,1920000,447
192,1920000,1930000,422
193,1930000,1940000,401
194,1940000,1950000,458
195,1950000,1960000,343
196,1960000,1970000,359
197,1970000,1980000,346
198,1980000,1990000,403
199,1990000,2000000,329
