window_index,start_mile,end_mile,episode_start_count
0,0,10000,335
1,10000,20000,355
2,20000,30000,365
3,30000,40000,372
4,40000,50000,344
5,50000,60000,415
6,60000,70000,393
7,70000,80000,423
8,80000,90000,362
9,90000,100000,386
10,100000,110000,347
11,110000,120000,374
12,120000,130000,364
13,130000,140000,379
14,140000,150000,359
15,150000,160000,311
16,160000,170000,372
17,170000,180000,364
18,180000,190000,367
19,190000,200000,494
20,200000,210000,311
21,210000,220000,376
22,220000,230000,383
23,230000,240000,348
24,240000,250000,424
25,250000,260000,395
26,260000,270000,366
27,270000,280000,365
28,280000,290000,368
29,290000,300000,330
30,300000,310000,333
31,310000,320000,448
32,320000,330000,402
33,330000,340000,391
34,340000,350000,371
35,350000,360000,338
36,360000,370000,345
37,370000,380000,334
38,380000,390000,328
39,390000,400000,384
40,400000,410000,361
41,410000,420000,361
42,420000,430000,399
43,430000,440000,343
44,440000,450000,327
45,450000,460000,384
46,460000,470000,385
47,470000,480000,389
48,480000,490000,310
49,490000,500000,393
50,500000,510000,390
51,510000,520000,380
52,520000,530000,364
53,530000,540000,352
54,540000,550000,317
55,550000,560000,351
56,560000,570000,378
57,570000,580000,362
58,580000,590000,426
59,590000,600000,349
60,600000,610000,425
61,610000,620000,383
62,620000,630000,374
63,630000,640000,388
64,640000,650000,393
65,650000,660000,363
66,660000,670000,346
67,670000,680000,397
68,680000,690000,332
69,690000,700000,352
70,700000,710000,313
71,710000,720000,380
72,720000,730000,380
73,730000,740000,364
74,740000,750000,392
75,750000,760000,488
76,760000,770000,492
77,770000,780000,488
78,780000,790000,366
79,790000,800000,455
80,800000,810000,416
81,810000,820000,384
82,820000,830000,343
83,830000,840000,375
84,840000,850000,373
85,850000,860000,347
86,860000,870000,346
87,870000,880000,449
88,880000,890000,401
89,890000,900000,351
90,900000,910000,405
91,910000,920000,363
92,920000,930000,356
93,930000,940000,383
94,940000,950000,314
95,950000,960000,339
96,960000,970000,337
97,970000,980000,370
98,980000,990000,343
99,990000,1000000,390
100,1000000,1010000,314
101,1010000,1020000,321
102,1020000,1030000,348
103,1030000,1040000,366
104,1040000,1050000,437
105,1050000,1060000,330
106,1060000,1070000,390
107,1070000,1080000,420
108,1080000,1090000,360
109,1090000,1100000,397
110,1100000,1110000,328
111,1110000,1120000,419
112,1120000,1130000,367
113,1130000,1140000,343
114,1140000,1150000,362
115,1150000,1160000,390
116,1160000,1170000,401
117,1170000,1180000,405
118,1180000,1190000,312
119,1190000,1200000,318
120,1200000,1210000,381
121,1210000,1220000,345
122,1220000,1230000,373
123,1230000,1240000,353
124,1240000,1250000,373
125,1250000,1260000,364
126,1260000,1270000,306
127,1270000,1280000,390
128,1280000,1290000,394
129,1290000,1300000,409
130,1300000,1310000,331
131,1310000,1320000,377
132,1320000,1330000,387
133,1330000,1340000,331
134,1340000,1350000,389
135,1350000,1360000,384
136,1360000,1370000,369
137,1370000,1380000,450
138,1380000,1390000,406
139,1390000,1400000,448
140,1400000,1410000,359
141,1410000,1420000,392
142,1420000,1430000,362
143,1430000,1440000,335
144,1440000,1450000,367
145,1450000,1460000,452
146,1460000,1470000,357
147,1470000,1480000,364
148,1480000,1490000,326
149,1490000,1500000,346
150,1500000,1510000,392
151,1510000,1520000,352
152,1520000,1530000,342
153,1530000,1540000,381
154,1540000,1550000,363
155,1550000,1560000,408
156,1560000,1570000,402
157,1570000,1580000,372
158,1580000,1590000,415
159,1590000,1600000,492
160,1600000,1610000,418
161,1610000,1620000,400
162,1620000,1630000,416
163,1630000,1640000,309
164,1640000,1650000,373
165,1650000,1660000,368
166,1660000,1670000,391
167,1670000,1680000,351
168,1680000,1690000,391
169,1690000,1700000,367
170,1700000,1710000,329
171,1710000,1720000,317
172,1720000,1730000,383
173,1730000,1740000,529
174,1740000,1750000,340
175,1750000,1760000,381
176,1760000,1770000,438
177,1770000,1780000,363
178,1780000,1790000,294
179,1790000,1800000,394
180,1800000,1810000,381
181,1810000,1820000,388
182,1820000,1830000,452
183,1830000,1840000,380
184,1840000,1850000,345
185,1850000,1860000,419
186,1860000,1870000,433
187,1870000,1880000,358
188,1880000,1890000,403
189,1890000,1900000,341
190,1900000,1910000,348
191,1910000,1920000,488
192,1920000,1930000,419
193,1930000,1940000,378
194,1940000,1950000,407
195,1950000,1960000,414
196,1960000,1970000,366
197,1970000,1980000,309
198,1980000,1990000,459
199,1990000,2000000,322
