window_index,start_mile,end_mile,episode_start_count
0,0,10000,5
1,10000,20000,2
2,20000,30000,2
3,30000,40000,5
4,40000,50000,6
5,50000,60000,5
6,60000,70000,1
7,70000,80000,2
8,80000,90000,4
9,90000,100000,4
10,100000,110000,7
11,110000,120000,9
12,120000,130000,6
13,130000,140000,6
14,140000,150000,6
15,150000,160000,5
16,160000,170000,1
17,170000,180000,5
18,180000,190000,4
19,190000,200000,6
20,200000,210000,2
21,210000,220000,6
22,220000,230000,6
23,230000,240000,11
24,240000,250000,7
25,250000,260000,3
26,260000,270000,5
27,270000,280000,8
28,280000,290000,7
29,290000,300000,7
30,300000,310000,4
31,310000,320000,9
32,320000,330000,3
33,330000,340000,3
34,340000,350000,8
35,350000,360000,7
36,360000,370000,5
37,370000,380000,8
38,380000,390000,5
39,390000,400000,1
40,400000,410000,7
41,410000,420000,4
42,420000,430000,3
43,430000,440000,10
44,440000,450000,5
45,450000,460000,4
46,460000,470000,3
47,470000,480000,1
48,480000,490000,4
49,490000,500000,3
50,500000,510000,5
51,510000,520000,3
52,520000,530000,1
53,530000,540000,12
54,540000,550000,5
55,550000,560000,6
56,560000,570000,5
57,570000,580000,7
58,580000,590000,2
59,590000,600000,3
60,600000,610000,9
61,610000,620000,4
62,620000,630000,6
63,630000,640000,6
64,640000,650000,4
65,650000,660000,8
66,660000,670000,7
67,670000,680000,3
68,680000,690000,4
69,690000,700000,3
70,700000,710000,3
71,710000,720000,3
72,720000,730000,1
73,730000,740000,3
74,740000,750000,6
75,750000,760000,7
76,760000,770000,4
77,770000,780000,3
78,780000,790000,12
79,790000,800000,5
80,800000,810000,3
81,810000,820000,13
82,820000,830000,1
83,830000,840000,8
84,840000,850000,3
85,850000,860000,2
86,860000,870000,2
87,870000,880000,4
88,880000,890000,3
89,890000,900000,8
90,900000,910000,4
91,910000,920000,5
92,920000,930000,1
93,930000,940000,5
94,940000,950000,7
95,950000,960000,3
96,960000,970000,6
97,970000,980000,4
98,980000,990000,6
