study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
average_speed_study,0,5_mph,5,1,c7b43f33fb2f3380930e9e56b437d4bd2beea318c46d0673493d8e361680b4da,1000.0,5000.0000000000455,203641,203641,20,0.02,3999.9999999999636,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,0,,,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.1869999999998981
average_speed_study,0,5_mph,5,2,971fd350987bdcc58d91c8c674100196242c3f180a2f50131622882eeb96664c,1000.0,4999.99999999986,203588,203588,19,0.019,3800.000000000107,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,0,,,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.3280000000004293
average_speed_study,0,5_mph,5,3,9e96db019a84457f0ae5816a53f6b5546e47ce7b80889f86f9ee8b66afad77c1,1000.0,4999.999999999928,204129,204129,21,0.021,4200.00000000006,0.00016539207464976547,28.352927082816937,19.74707221472636,62.151035813614726,92.31681306799874,167876.91833829816,319515.83062462625,0,,,20,1,0,0,100,0.000997249832160345,6.160850492514242e-05,1.2969999999995707
average_speed_study,1,10_mph,10,1,b97cf8ef1e687ec5f72f3c9c459d996906ee7ab05980687c6a658963060ce11c,1000.0,10000.000000000091,203641,203641,20,0.02,1999.9999999999818,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,1,20.0,0.0,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.235000000000582
average_speed_study,1,10_mph,10,2,5044a653b8d3c86d9326c2ec3e552eefe3ece42ae60f064359bb2ea98e149863,1000.0,9999.99999999972,203588,203588,19,0.019,1900.0000000000534,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,0,,,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.0630000000001019
average_speed_study,1,10_mph,10,3,cea0728e2bb2a30d707a1e61aad5455c277047b08c3a502aaa8356169558aafe,1000.0,9999.999999999856,204129,204129,21,0.021,2100.00000000003,0.00016539207464976547,28.352927082816937,19.74707221472636,62.151035813614726,92.31681306799874,167876.91833829816,319515.83062462625,0,,,20,1,0,0,100,0.000997249832160345,6.160850492514242e-05,1.0
average_speed_study,2,20_mph,20,1,07970f7dcab69b8cda9e9244e7fb92bcc6a085df4944c323a232ea838fbb4eb9,1000.0,20000.000000000182,203641,203641,20,0.02,999.9999999999909,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,2,10.0,0.2,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.125
average_speed_study,2,20_mph,20,2,3312158b50e962933b08352a9ddc1e48039391afae1c4c5c668c48b6c18bb4e7,1000.0,19999.99999999944,203588,203588,19,0.019,950.0000000000267,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,1,10.0,0.0,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.360000000000582
average_speed_study,2,20_mph,20,3,d40b938426aeb4078ee61dab03d966145d5b42daee3e8e82c24450258134da9c,1000.0,19999.999999999713,204129,204129,21,0.021,1050.000000000015,0.00016539207464976547,28.352927082816937,19.74707221472636,62.151035813614726,92.31681306799874,167876.91833829816,319515.83062462625,1,10.0,0.0,20,1,0,0,100,0.000997249832160345,6.160850492514242e-05,1.344000000000051
average_speed_study,3,30_mph,30,1,aec1d0d4ab55f39dfe28e6dd8ffb868f6f8868cbd8ba77dcff9298fdf408636f,1000.0,30000.00000000082,203641,203641,20,0.02,666.6666666666486,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,3,6.666666666666667,0.95,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.219000000000051
