study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
combination_counts_study,0,scale_0,0,1,9137b3e7b027d9e27267e35284585ce1bdc6134499cfd16b71201605d3536065,1000.0,50000.00000000256,203641,203641,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,0,0,0.0,0.6409999999996217
combination_counts_study,0,scale_0,0,2,eb11f3180a7ab4a9aac28069397df48cf71d12a90a2dc9b23afb23488cf06efd,1000.0,50000.000000000495,203588,203588,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,0,0,0.0,0.6559999999999491
combination_counts_study,0,scale_0,0,3,fbc57c1b043ce4391324ceecae69fb65ea8897ba7e7b6e1d014d3780a31858a0,1000.0,50000.000000001164,204129,204129,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,0,0,0.0,0.9690000000000509
combination_counts_study,1,scale_0.1,0.1,1,0257c5d90f8a77e03fea06d7dbf525d9605b65c65dda76ffad9b6b394700d32f,1000.0,50000.00000000256,203641,203641,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,10,0.0001293669880324898,5.937144099728829e-05,1.5160000000005311
combination_counts_study,1,scale_0.1,0.1,2,e629453c8a73964ab99a371e5d01874da0f1bf199578ac0244459e0c6a26f475,1000.0,50000.000000000495,203588,203588,3,0.003,59.9999999999994,3.624231440703928e-05,43.490777288447134,46.298334209248424,65.56964291306213,70.38747008901555,1073517.8901617846,1747851.3612969539,5,0.6,0.5000000000000001,3,0,0,0,10,0.00011885431646919918,4.8307610986646114e-05,1.3910000000005311
combination_counts_study,1,scale_0.1,0.1,3,856fa4feac995acccb9f20661c17e0aa7d6c1ed0347e75237856c521fcbe6c3b,1000.0,50000.000000001164,204129,204129,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,10,7.564896205272388e-05,3.029570079221094e-05,1.375
combination_counts_study,2,scale_0.25,0.25,1,fc4b68f4d0a216adf6d759d68d01e2e5d2a26b469b8903de25b9017300cc52fc,1000.0,50000.00000000256,203641,203641,4,0.004,79.9999999999959,2.6659092569526466e-05,23.99318331257382,16.563933674100554,50.56473126740312,62.152697924291715,844139.173375086,1046927.9006269219,5,0.8,0.25,4,0,0,0,25,0.0002764174831393094,5.9436808561073915e-05,1.5780000000004293
combination_counts_study,2,scale_0.25,0.25,2,3b1ed38a5168226998e046f17d3f2257fbfb8faa6614fdddb302c94c3341a382,1000.0,50000.000000000495,203588,203588,7,0.007,139.9999999999986,5.892838958842832e-05,30.306028931191708,20.138240986038,55.93398856115528,70.38747008901555,460079.095783622,1260179.1780156812,5,1.4,2.0,7,0,0,0,25,0.0002664433903011039,5.552393049797408e-05,1.4679999999998472
combination_counts_study,2,scale_0.25,0.25,3,4c957a5a14477d6e68a02dbec177926b317d8e42320d887b77a90210ca06e9f2,1000.0,50000.000000001164,204129,204129,2,0.002,39.99999999999907,2.019781776732998e-05,36.35607198119396,36.35607198119396,56.99204304713058,62.151035813614726,1531080.6944555338,2100684.6426692037,5,0.4,0.7500000000000001,2,0,0,0,25,0.0002309231434290943,5.0997427096594825e-05,1.1869999999998981
combination_counts_study,3,scale_0.5,0.5,1,76fb2b3f51667f543b485a50cdb1e965023fdddc157c7a33ff5f344c3ba76672,1000.0,50000.00000000256,203641,203641,10,0.01,199.99999999998974,5.2426008387079086e-05,18.87336301934847,12.336781152407639,31.18268993890377,62.152697924291715,337655.66935003444,816677.4088798722,5,2.0,1.25,9,1,0,0,50,0.0005649647848335152,5.9436808561073915e-05,1.030999999999949
combination_counts_study,3,scale_0.5,0.5,2,83dfc2934141f65b821fff15c1edd3c011585177bec012c0b906c754a33614fb,1000.0,50000.000000000495,203588,203588,12,0.012,239.9999999999976,7.49374793818303e-05,22.48124381454909,14.211459650890902,45.91876483603556,70.38747008901555,268379.47254044615,556958.8615694201,5,2.4,0.33333333333333337,12,0,0,0,50,0.0005317371119872845,5.552393049797408e-05,1.1869999999998981
combination_counts_study,3,scale_0.5,0.5,3,e4ca76ea9db20fce220325df293c6a1166cffd727ead5f9473949896ab96be25,1000.0,50000.000000001164,204129,204129,5,0.005,99.99999999999768,6.286878559107815e-05,45.26552562557627,56.44380765687674,80.25050216624514,92.31681306799874,646614.2147957666,989567.1716051102,5,1.0,1.0,5,0,0,0,50,0.0005184401863153537,6.160850492514242e-05,1.375
combination_counts_study,4,scale_0.75,0.75,1,9f970c754bc94d467d10aa35f88af9459677e31d370386e4e37ca6ad76cc4218,1000.0,50000.00000000256,203641,203641,13,0.013,259.9999999999867,6.291212734231926e-05,17.421819879411487,10.974678849801421,31.90748678594828,62.152697924291715,261680.07082992714,657898.0294217148,5,2.6,1.0769230769230769,12,1,0,0,75,0.0007429033388386453,5.9436808561073915e-05,1.485000000000582
combination_counts_study,4,scale_0.75,0.75,2,8f8b845ed43183d161faabdd8c50ec178b8f893fe4635959958fe0f298791e0d,1000.0,50000.000000000495,203588,203588,16,0.016,319.9999999999968,0.00010425126952505202,23.456535643136704,17.387316360371187,45.89258309471188,70.38747008901555,201284.60440533463,526495.9163229717,5,3.2,0.84375,16,0,0,0,75,0.0007284494041805946,5.552393049797408e-05,1.3130000000001019
combination_counts_study,4,scale_0.75,0.75,3,3764e96ed2887e47e74cd5cafb4881850f2e07015fedabe7a9886b4ef0cb5801,1000.0,50000.000000001164,204129,204129,15,0.015,299.999999999993,0.0001245903173368505,29.901676160844122,17.54486014856957,62.5726695744961,92.31681306799874,215538.0715985889,438887.9324891593,5,3.0,0.3333333333333333,15,0,0,0,75,0.0007581139907879859,6.160850492514242e-05,1.2969999999995707
combination_counts_study,5,scale_1,1,1,f443d265ed0c0eb85ec5c788f65b327dcbb244174551548099560c755824da4d,1000.0,50000.00000000256,203641,203641,20,0.02,399.9999999999795,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,5,4.0,0.875,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.405999999999949
combination_counts_study,5,scale_1,1,2,cadd912426a50da068982da4e4bc80904b86688dfdaa5f1187b84c9fbe594aa4,1000.0,50000.000000000495,203588,203588,19,0.019,379.99999999999625,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,5,3.8,0.5789473684210527,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.4070000000001528
