level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,scale_0,0,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7553333333332072,0.18519269244058345,0.6409999999996217,0.9690000000000509
1,scale_0.1,0.1,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,1.0,1.7320508075688772,0.0,3.0,0.001,0.0017320508075688774,0.0,0.003,19.9999999999998,34.6410161513772,0.0,59.9999999999994,1.2080771469013094e-05,2.092450997895918e-05,0.0,3.624231440703928e-05,43.490777288447134,0.0,43.490777288447134,43.490777288447134,46.298334209248424,0.0,46.298334209248424,46.298334209248424,65.56964291306213,0.0,65.56964291306213,65.56964291306213,70.38747008901555,0.0,70.38747008901555,70.38747008901555,1073517.8901617846,0.0,1073517.8901617846,1073517.8901617846,1747851.3612969539,0.0,1747851.3612969539,1747851.3612969539,5.0,0.0,5.0,5.0,0.19999999999999998,0.34641016151377546,0.0,0.6,0.5000000000000001,0.0,0.5000000000000001,0.5000000000000001,1.0,1.7320508075688772,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.00010795675551813762,2.846882865174255e-05,7.564896205272388e-05,0.0001293669880324898,4.599158425871511e-05,1.467558012385391e-05,3.029570079221094e-05,5.937144099728829e-05,1.4273333333336875,0.0772031950981378,1.375,1.5160000000005311
2,scale_0.25,0.25,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,4.333333333333333,2.516611478423583,2.0,7.0,0.004333333333333334,0.0025166114784235835,0.002,0.007,86.66666666666453,50.33222956847163,39.99999999999907,139.9999999999986,3.526176664176159e-05,2.0748946944173914e-05,2.019781776732998e-05,5.892838958842832e-05,30.218428074986495,6.181909857857845,23.99318331257382,36.35607198119396,24.35274888044417,10.547688954732575,16.563933674100554,36.35607198119396,54.49692095856299,3.446223534431727,50.56473126740312,56.99204304713058,64.89706794230733,4.754827808668432,62.151035813614726,70.38747008901555,945099.6545380806,542591.8080444499,460079.095783622,1531080.6944555338,1469263.9071039355,557124.8834896199,1046927.9006269219,2100684.6426692037,5.0,0.0,5.0,5.0,0.8666666666666667,0.5033222956847165,0.4,1.4,1.0,0.9013878188659973,0.25,2.0,4.333333333333333,2.516611478423583,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0002579280056231692,2.3912707261559025e-05,0.0002309231434290943,0.0002764174831393094,5.53193887185476e-05,4.223407141206791e-06,5.0997427096594825e-05,5.9436808561073915e-05,1.4110000000000582,0.20163581031177422,1.1869999999998981,1.5780000000004293
3,scale_0.5,0.5,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,9.0,3.605551275463989,5.0,12.0,0.009,0.0036055512754639895,0.005,0.012,179.999999999995,72.11102550927866,99.99999999999768,239.9999999999976,6.341075778666251e-05,1.1265517386364071e-05,5.2426008387079086e-05,7.49374793818303e-05,28.873377486491275,14.310174402095,18.87336301934847,45.26552562557627,27.66401615339176,24.941649987645537,12.336781152407639,56.44380765687674,52.45065231372816,25.177603434607033,31.18268993890377,80.25050216624514,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,417549.7855620824,201376.96595245283,268379.47254044615,646614.2147957666,787734.4806848009,217751.59539567726,556958.8615694201,989567.1716051102,5.0,0.0,5.0,5.0,1.8,0.7211102550927978,1.0,2.4,0.8611111111111112,0.47385339192311055,0.33333333333333337,1.25,8.666666666666666,3.511884584284246,5.0,12.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0005383806943787178,2.396325222215989e-05,0.0005184401863153537,0.0005649647848335152,5.8856414661396806e-05,3.0835295197264695e-06,5.552393049797408e-05,6.160850492514242e-05,1.1976666666666158,0.17224788339292563,1.030999999999949,1.375
4,scale_0.75,0.75,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,14.666666666666666,1.5275252316519468,13.0,16.0,0.014666666666666666,0.001527525231651947,0.013,0.016,293.3333333333255,30.55050463304404,259.9999999999867,319.9999999999968,9.725123806807392e-05,3.1429287464869224e-05,6.291212734231926e-05,0.0001245903173368505,23.593343894464102,6.241052841831004,17.421819879411487,29.901676160844122,15.302285119580725,3.748644692548873,10.974678849801421,17.54486014856957,46.79091315171875,15.352315998970772,31.90748678594828,62.5726695744961,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,226167.58227795022,31569.65258160141,201284.60440533463,261680.07082992714,541093.959411282,110232.40352141454,438887.9324891593,657898.0294217148,5.0,0.0,5.0,5.0,2.9333333333333336,0.3055050463303894,2.6,3.2,0.7513354700854701,0.38031139964173805,0.3333333333333333,1.0769230769230769,14.333333333333334,2.0816659994661326,12.0,16.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,75.0,0.0007431555779357419,1.4833901815383298e-05,0.0007284494041805946,0.0007581139907879859,5.8856414661396806e-05,3.0835295197264695e-06,5.552393049797408e-05,6.160850492514242e-05,1.3650000000000848,0.10423051376681275,1.2969999999995707,1.485000000000582
5,scale_1,1,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.3753333333334012,0.05398456569548615,1.3130000000001019,1.4070000000001528
6,scale_1.5,1.5,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,36.0,3.605551275463989,32.0,39.0,0.036,0.0036055512754639887,0.032,0.039,719.9999999999792,72.11102550927053,639.9999999999936,779.9999999999819,0.00021188599722396113,4.472379519709991e-05,0.00018572780752167494,0.0002635271160164969,21.122246269946164,3.130148658357517,18.070813704811616,24.32557993998433,18.014475655227823,1.2792075815471209,16.54402171995025,18.870929496362805,42.402980608916074,11.09155816038322,29.907604657043706,51.0841531833634,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,97419.22994606377,9412.554173500905,91684.22246577786,108282.26012102563,244929.48716773756,57658.018139893575,178948.9037048924,285624.9077265835,5.0,0.0,5.0,5.0,7.2,0.7211102550927977,6.4,7.8,1.2914753696003698,0.4160914273142608,0.9871794871794872,1.765625,34.333333333333336,4.041451884327381,30.0,38.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0015977177344175095,8.459011862777555e-05,0.0015174013733186766,0.0016860158129138737,6.357375587367911e-05,7.350422530556697e-06,5.560061326941382e-05,7.008033890926713e-05,1.1406666666668268,0.16453672335803604,0.9690000000000509,1.2970000000004802
7,scale_2,2,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,47.666666666666664,5.033222956847166,43.0,53.0,0.04766666666666666,0.005033222956847167,0.043,0.053,953.3333333333052,100.66445913691993,859.9999999999915,1059.9999999999457,0.00025302495215453476,2.438651023333055e-05,0.00023271769995707775,0.000280072764013518,19.22149181154398,2.3726769903300284,16.728751188204356,21.452381924439674,15.584136000397848,0.5841293415813724,15.058515943121165,16.21300579770468,40.481116777299526,11.535334298414801,27.39158343812451,49.16177321420983,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,73885.16612910679,8571.92510753304,64429.71072266698,81147.39029943343,187848.2644739407,36830.73071703923,145955.8477624762,215140.4787945152,5.0,0.0,5.0,5.0,9.533333333333333,1.0066445913694333,8.6,10.6,1.2644636972169578,0.5041145590998385,0.7234042553191489,1.7209302325581397,45.333333333333336,4.041451884327381,41.0,49.0,2.3333333333333335,1.5275252316519468,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,200.0,0.0021049165660774563,0.00015094169424285377,0.0019522847975267017,0.0022541094184751753,6.539269730174704e-05,5.327682607547579e-06,5.959870054793027e-05,7.008033890926713e-05,1.344333333333149,0.12779019263363606,1.2039999999997235,1.4539999999997235
8,scale_3,3,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,73.66666666666667,8.386497083606082,64.0,79.0,0.07366666666666667,0.008386497083606082,0.064,0.079,1473.33333333329,167.72994167209393,1279.9999999999873,1579.999999999919,0.00041546404500165105,4.461666928194669e-05,0.0003875323888439036,0.0004669200600102886,20.403132049454573,2.2054508988372286,17.860542660034678,21.798696872469577,15.627248965936209,1.5062368970202498,14.692070057717501,17.364810820203274,41.524526761743864,10.235746846881185,29.83735475447029,48.89389825742692,86.79648018690447,14.461897853363748,70.38747008901555,97.68515740369912,48524.50040947136,5202.630967857653,45210.4871380933,54520.902857431836,120677.03260881889,7986.7554030113015,112713.5541801355,128686.86322659857,5.0,0.0,5.0,5.0,14.733333333333334,1.6772994167212163,12.8,15.8,1.483992954127448,1.06153735893457,0.6282051282051283,2.671875,72.66666666666667,7.571877794400365,64.0,78.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,300.0,0.003131877045184674,0.00015409452010051972,0.0029544463241085975,0.0032321628654727414,6.574496230990627e-05,4.87091935886006e-06,6.047417270559471e-05,7.008033890926713e-05,1.2443333333336948,0.1300243566926179,1.1400000000003274,1.3900000000003274
9,scale_5,5,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,125.33333333333333,12.013880860626733,113.0,137.0,0.12533333333333332,0.012013880860626736,0.113,0.137,2506.666666666595,240.27761721251161,2259.9999999999777,2739.9999999999363,0.0006571841955709904,7.076921200112565e-05,0.0005912501912111859,0.000731958035338436,18.927338311742353,1.899823979551817,16.892862606033884,20.65521855387661,14.180650256380128,1.1637675161466536,13.377286099712364,15.515236057224683,38.45730646997303,7.726442402318392,29.619824258668814,43.93533663910348,104.52361768173675,16.71066624420127,92.31681306799874,123.56888257351238,28746.500987970165,2867.7592069162283,26099.888147192236,31793.35700791373,69082.46649080497,8266.479389821045,59601.91769741879,74784.03035196959,5.0,0.0,5.0,5.0,25.066666666666666,2.4027761721253453,22.6,27.4,2.186457866598038,2.2014270249445267,0.8138686131386862,4.725663716814159,122.0,12.12435565298214,109.0,133.0,3.3333333333333335,1.1547005383792515,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,0.005194179276660139,0.0001517611681499485,0.005025642688235089,0.00532001698185924,6.574717285924059e-05,4.867331511079682e-06,6.048080435359769e-05,7.008033890926713e-05,1.2033333333335274,0.10240279944109704,1.094000000000051,1.2970000000004802
