study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
combination_size_study,0,none,0,1,9137b3e7b027d9e27267e35284585ce1bdc6134499cfd16b71201605d3536065,1000.0,50000.00000000256,203641,203641,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,0,0,0.0,0.625
combination_size_study,0,none,0,2,eb11f3180a7ab4a9aac28069397df48cf71d12a90a2dc9b23afb23488cf06efd,1000.0,50000.000000000495,203588,203588,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,0,0,0.0,0.6719999999995707
combination_size_study,0,none,0,3,fbc57c1b043ce4391324ceecae69fb65ea8897ba7e7b6e1d014d3780a31858a0,1000.0,50000.000000001164,204129,204129,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,0,0,0.0,1.0
combination_size_study,1,c3_only_40,1,1,4c6b76e08de7736ba73282775a897528e992fe896ee4aedee7b57fbf548a6863,1000.0,50000.00000000256,203641,203641,19,0.019,379.9999999999805,0.00010828445449362334,20.517054535633896,20.430678693111986,37.133597419690325,62.152697924291715,179724.98254217632,405695.6647123024,5,3.8,1.236842105263158,19,0,0,0,40,0.0009661640307867439,5.9436808561073915e-05,1.5320000000001528
combination_size_study,1,c3_only_40,1,2,2aeddf9d2850c5561839c7b49d60763a484509e794cf9a12c5e1a0ca00c58c06,1000.0,50000.000000000495,203588,203588,19,0.019,379.99999999999625,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,5,3.8,0.5789473684210527,19,0,0,0,40,0.0009432066968006776,5.560061326941382e-05,1.3909999999996217
combination_size_study,1,c3_only_40,1,3,bc4c80b8b407ec53f4012aa4a18b08f7f7fba507d3f51f49bb5775b24c2404ae,1000.0,50000.000000001164,204129,204129,20,0.02,399.99999999999073,0.00015990677681234147,28.783219826221465,21.02925896155648,62.221308107094956,92.31681306799874,176270.76425521306,320110.9851569747,5,4.0,0.125,20,0,0,0,40,0.000964255357682157,6.160850492514242e-05,1.4380000000001019
combination_size_study,2,c4_only_40,2,1,cd62604116b456d6a9406745fecb8bedfc2fcddf0d6dff969aee6535566d10ba,1000.0,50000.00000000256,203641,203641,2,0.002,39.99999999999795,1.1391074669340418e-05,20.503934404812753,20.503934404812753,26.29404923338443,27.74157794052735,1423167.2341597846,1743126.225939193,5,0.4,0.7500000000000001,0,2,0,0,40,5.365595712418503e-05,3.1297473324278427e-06,1.6400000000003274
combination_size_study,2,c4_only_40,2,2,61c9f56fef3ae245cbb402fe0a0b1dbce183c849ec30248306529951f4c33bb9,1000.0,50000.000000000495,203588,203588,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,5.491706656837361e-05,2.682584623576025e-06,1.5320000000001528
combination_size_study,2,c4_only_40,2,3,500fb6239b54567bca154101af5255d8c357e2b820d8a7593f038d5e224bb151,1000.0,50000.000000001164,204129,204129,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,4.477935669123329e-05,3.0981232827008965e-06,1.1720000000004802
combination_size_study,3,c5_only_40,3,1,39bfc279400d53020744bc31ab69d9c2a8ddfe0e2fbb0a25ba525cb5bb684daf,1000.0,50000.00000000256,203641,203641,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,2.301796657237205e-06,1.6492821187377818e-07,1.0780000000004293
combination_size_study,3,c5_only_40,3,2,2c5ec54e747e702a9e1450d5f77ce1e817d25d1753b1074a17e74997ac12d607,1000.0,50000.000000000495,203588,203588,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,2.3485941375215623e-06,1.0748123365842607e-07,1.2659999999996217
combination_size_study,3,c5_only_40,3,3,e99243acb14aa51a9936636c37c916a4e9c6c6d65c71af7847ee60962821faa2,1000.0,50000.000000001164,204129,204129,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,2.557794402615095e-06,1.5474862606923684e-07,1.4530000000004293
combination_size_study,4,c6_only_40,4,1,9d9492920fca936d9c03c538bbf5722f26b8cbbc7963a5312924d8d1a863f0f1,1000.0,50000.00000000256,203641,203641,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,1.3031393971417517e-07,3.919245965949002e-09,1.5159999999996217
combination_size_study,4,c6_only_40,4,2,5b6905539595455201bff8625c004ba1644c2ecf35056e0c5e556061603a3520,1000.0,50000.000000000495,203588,203588,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,1.1708556790567039e-07,3.6180151311519192e-09,1.2179999999998472
combination_size_study,4,c6_only_40,4,3,1df22ec77ca447aaf996b9ef16408df65e7b185a899fbb23f15a460c551ee410,1000.0,50000.000000001164,204129,204129,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,40,1.4389917536707955e-07,4.279992342273042e-09,1.3910000000005311
combination_size_study,5,c3_c4,5,1,03fe83a181fa642db25d900e2e2cc34d5ceaa7d5d807de2525cd755ff66d989f,1000.0,50000.00000000256,203641,203641,27,0.027,539.9999999999723,0.00015228547509419312,20.30473001255908,20.34442179184407,31.39673130782322,62.152697924291715,126473.13586301297,354245.8542164919,5,5.4,1.8148148148148149,26,1,0,0,100,0.0012329393236111413,5.9436808561073915e-05,1.5
