level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,none,0,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7656666666665236,0.2042947217462398,0.625,1.0
1,c3_only_40,1,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,19.333333333333332,0.5773502691896257,19.0,20.0,0.01933333333333333,0.0005773502691896262,0.019,0.02,386.66666666665583,11.547005383793877,379.9999999999805,399.99999999999073,0.00013116274230319741,2.6306297319312032e-05,0.00010828445449362334,0.00015990677681234147,24.346919246461585,4.166316778663658,20.517054535633896,28.783219826221465,20.53272621356882,0.4541899718155431,20.138240986038,21.02925896155648,48.33467931759174,12.757641963308625,37.133597419690325,62.221308107094956,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,175201.6365302487,5141.957590924631,169609.16279335678,179724.98254217632,369177.5259359014,44150.66407495787,320110.9851569747,405695.6647123024,5.0,0.0,5.0,5.0,3.8666666666666667,0.11547005383792526,3.8,4.0,0.6469298245614036,0.5590298985887596,0.125,1.236842105263158,19.333333333333332,0.5773502691896257,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,0.0009578753617565262,1.2739232981041187e-05,0.0009432066968006776,0.0009661640307867439,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.4536666666666254,0.07179368588787886,1.3909999999996217,1.5320000000001528
2,c4_only_40,2,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,0.6666666666666666,1.1547005383792515,0.0,2.0,0.0006666666666666666,0.0011547005383792516,0.0,0.002,13.333333333332648,23.094010767583846,0.0,39.99999999999795,3.797024889780139e-06,6.576640026702818e-06,0.0,1.1391074669340418e-05,20.503934404812753,0.0,20.503934404812753,20.503934404812753,20.503934404812753,0.0,20.503934404812753,20.503934404812753,26.29404923338443,0.0,26.29404923338443,26.29404923338443,27.74157794052735,0.0,27.74157794052735,27.74157794052735,1423167.2341597846,0.0,1423167.2341597846,1423167.2341597846,1743126.225939193,0.0,1743126.225939193,1743126.225939193,5.0,0.0,5.0,5.0,0.13333333333333333,0.23094010767585033,0.0,0.4,0.7500000000000001,0.0,0.7500000000000001,0.7500000000000001,0.0,0.0,0.0,0.0,0.6666666666666666,1.1547005383792515,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,5.111746012793065e-05,5.525057976009076e-06,4.477935669123329e-05,5.491706656837361e-05,2.9701517462349217e-06,2.495418955927455e-07,2.682584623576025e-06,3.1297473324278427e-06,1.4480000000003201,0.24504693427982968,1.1720000000004802,1.6400000000003274
3,c5_only_40,3,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,2.402728399124621e-06,1.3631434304255018e-07,2.301796657237205e-06,2.557794402615095e-06,1.4238602386714703e-07,3.06539438967341e-08,1.0748123365842607e-07,1.6492821187377818e-07,1.2656666666668268,0.1875002222220898,1.0780000000004293,1.4530000000004293
4,c6_only_40,4,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,1.3043289432897502e-07,1.3407199518315557e-08,1.1708556790567039e-07,1.4389917536707955e-07,3.939084479791321e-09,3.3143420460859026e-10,3.6180151311519192e-09,4.279992342273042e-09,1.375,0.14964290828495394,1.2179999999998472,1.5159999999996217
5,c3_c4,5,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,27.333333333333332,0.5773502691896257,27.0,28.0,0.027333333333333334,0.0005773502691896262,0.027,0.028,546.6666666666514,11.547005383794582,539.9999999999723,559.999999999987,0.00017433083463682257,3.0185639255271503e-05,0.00015228547509419312,0.00020873458387098557,22.912786548606523,3.459541999706158,20.30473001255908,26.837303640555287,19.043165376021836,1.452534641643277,17.47607348067686,20.34442179184407,45.121380094508645,13.392961776271,31.39673130782322,58.15597610389814,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,126654.32003921429,970.8755970363519,125786.80010586788,127703.02414876201,316451.5313700656,34656.18920509007,286163.87739147653,354245.8542164919,5.0,0.0,5.0,5.0,5.466666666666666,0.11547005383792475,5.4,5.6,0.8860229276895945,0.8263746193895103,0.23214285714285718,1.8148148148148149,26.0,1.0,25.0,27.0,1.3333333333333333,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0012983716214642746,9.621289705577009e-05,0.0012329393236111413,0.0014088430426114973,6.170592024658495e-05,7.501817415290003e-06,5.560061326941382e-05,7.008033890926713e-05,1.34900000000016,0.14167215675630962,1.219000000000051,1.5
6,c4_c5,6,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,1.3333333333333333,2.309401076758503,0.0,4.0,0.0013333333333333333,0.002309401076758503,0.0,0.004,26.666666666665297,46.18802153516769,0.0,79.9999999999959,4.763780949072464e-06,8.251110639922194e-06,0.0,1.4291342847217392e-05,12.862208562495653,0.0,12.862208562495653,12.862208562495653,9.989997643977404,0.0,9.989997643977404,9.989997643977404,23.398991819098594,0.0,23.398991819098594,23.398991819098594,27.74157794052735,0.0,27.74157794052735,27.74157794052735,711583.6170798923,0.0,711583.6170798923,711583.6170798923,1343544.0059312026,0.0,1343544.0059312026,1343544.0059312026,5.0,0.0,5.0,5.0,0.26666666666666666,0.46188021535170065,0.0,0.8,1.5000000000000002,0.0,1.5000000000000002,1.5000000000000002,0.0,0.0,0.0,0.0,1.0,1.7320508075688772,0.0,3.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,6.602404062505949e-05,6.260662642435433e-06,5.8961273961621435e-05,7.089104816132025e-05,3.1261104287000924e-06,3.5374073099504093e-07,2.7871946018404337e-06,3.493013401558947e-06,1.2343333333331732,0.19597023583509596,1.030999999999949,1.4219999999995707
7,c5_c6,7,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,3.105867175724103e-06,2.765191492065756e-07,2.850561786389767e-06,3.3995837391603705e-06,1.4238602386714703e-07,3.06539438967341e-08,1.0748123365842607e-07,1.6492821187377818e-07,1.3229999999997137,0.17955222081630307,1.1409999999996217,1.5
8,equal_25,8,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,13.333333333333334,0.5773502691896257,13.0,14.0,0.013333333333333334,0.0005773502691896262,0.013,0.014,266.6666666666593,11.547005383796487,259.9999999999867,279.9999999999972,9.109115482278193e-05,2.861149698783523e-05,6.254944253023293e-05,0.00011977192958235617,24.62555874857858,7.995310199166807,17.321384085295275,33.16761126896017,19.442811361746863,9.661290389478959,10.974678849801421,29.96643887506798,46.593442345671555,15.452834095260496,31.90748678594828,62.71321416145656,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,246157.484360839,15009.88708429101,230039.547891811,259735.13026925724,574640.8786268852,72627.59522319752,524297.2175127448,657898.0294217148,5.0,0.0,5.0,5.0,2.6666666666666665,0.115470053837925,2.6,2.8,0.673076923076923,0.683436755535264,0.25,1.4615384615384617,12.666666666666666,1.5275252316519468,11.0,14.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0006585750493239662,2.6894293695538105e-05,0.0006275645932160782,0.0006755178942835627,5.8856414661396806e-05,3.0835295197264695e-06,5.552393049797408e-05,6.160850492514242e-05,1.1976666666663125,0.15015436501571466,1.0619999999998981,1.3589999999994689
9,front_loaded,9,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,42.333333333333336,2.8867513459481287,39.0,44.0,0.042333333333333334,0.0028867513459481273,0.039,0.044,846.6666666666423,57.7350269189481,779.9999999999923,879.9999999999795,0.00023554160899756792,3.5657727683631337e-05,0.00021162858562074488,0.0002765256770470417,20.035469282755273,2.657305525966476,17.315066096242763,22.62482812203069,15.857184860486692,0.3248508212067809,15.576455855043605,16.21300579770468,41.389857900926536,10.83969307590439,29.067434887192217,49.453006389597434,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,82781.42519050676,6074.3948360819895,77608.51518866705,89470.19956091378,220896.41763617797,44469.93407971575,172544.8221540828,260044.43791785522,5.0,0.0,5.0,5.0,8.466666666666667,0.5773502691896263,7.8,8.8,1.2872960372960371,0.5296281952011282,0.8749999999999999,1.8846153846153848,41.333333333333336,3.7859388972001824,37.0,44.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0018076978069036936,0.00011698297041841976,0.0016789257090282193,0.0019074155055974049,6.539269730174704e-05,5.327682607547579e-06,5.959870054793027e-05,7.008033890926713e-05,1.254999999999806,0.19629569531721633,1.0469999999995707,1.4369999999998981
