study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
concentration_scale_study,0,c_100,100,1,7d7a4f21a4ee8e99dc74aee3d2340d8dac0935ddd0ac82599bd65040063f991b,1000.0,50000.000000000124,204143,204143,28,0.028,559.9999999999986,0.00014625286737589502,18.8039400911865,16.879204653785564,36.443310128909076,37.68426641821861,126746.38906899713,308981.84692147677,5,5.6,1.4821428571428574,28,0,0,0,100,0.0010223841815956561,0.00010409392925516584,0.7970000000004802
concentration_scale_study,0,c_100,100,2,6e33f290912101b28acd3eb12bd496adc910c8d226db6142c444043151bc05a9,1000.0,49999.999999999876,202641,202641,13,0.013,260.0000000000006,7.933994063079201e-05,21.971060482373176,18.58002584427595,40.78359449645505,56.53856913978234,260898.35974465657,274932.0561983966,4,2.0,4.0,13,0,0,0,100,0.0008220399518223872,0.00011787561132210042,0.8910000000005311
concentration_scale_study,0,c_100,100,3,c6277d1754255a2eda8a1ede218f905588e01596cd45bff134ea28ebd7261cd0,1000.0,50000.000000002954,203687,203687,31,0.031,619.9999999999634,0.00016087719981778414,18.682513527226547,14.489943186752498,37.788732927292585,49.3946149921976,113750.80539254737,265820.3825389829,5,6.2,2.209677419354839,31,0,0,0,100,0.001018374154813827,0.00010985257926449992,0.8280000000004293
concentration_scale_study,1,c_300,300,1,c690fde47517157b91e65ebfa5cece41d22d55d10983059ec81f47fb038a2ba0,1000.0,50000.00000000199,203404,203404,27,0.027,539.9999999999785,0.00016350162719388513,21.80021695918468,16.08385197306052,52.00249377591545,83.167674286291,132966.12609498543,256551.61331444606,5,5.4,0.611111111111111,27,0,0,0,100,0.0009474799678894291,7.270560328775297e-05,1.0
concentration_scale_study,1,c_300,300,2,8ce4d3aa15209f5eb74af5878886ddcc1b2036e315803495c6e62756373106a6,1000.0,50000.00000000031,203159,203159,31,0.031,619.9999999999961,0.00021997889052005482,25.545935673296686,22.212796852050815,58.69425654015504,87.69832871854305,95338.57953709587,253759.19501584154,5,6.2,1.0806451612903225,29,2,0,0,100,0.0010245276256277856,7.623016640615502e-05,0.875
concentration_scale_study,1,c_300,300,3,8e05cb3f8ac9f6edb41f1ca3181f2e82f5d9d40a2ad6c20ed32d70ce7320d27a,1000.0,50000.00000000103,203395,203395,38,0.038,759.9999999999843,0.0002178872536129913,20.641950342283387,19.812470688077156,39.116814619849904,49.75339245330542,90932.08058118678,213237.52582926606,5,7.6,1.092105263157895,38,0,0,0,100,0.0009644176057076948,0.00014616328674100246,0.9380000000001019
concentration_scale_study,2,c_1000,1000,1,be4a9a68260e5ca83eb966f257adb8a192f95b097fbc8be95d54418d434efeef,1000.0,50000.00000000299,203452,203452,31,0.031,619.9999999999629,0.0001776006892429723,20.624596170151623,14.091962372418493,47.27816636511125,94.61850278428756,113305.91372764084,243129.89852914948,5,6.2,1.3225806451612905,31,0,0,0,100,0.0010254901558111734,6.036127899804191e-05,0.8910000000005311
concentration_scale_study,2,c_1000,1000,2,0c8f55870720f057a9814108005db729e125e6042e89fbc073bdcb46b6a17418,1000.0,50000.00000000083,203484,203484,23,0.023,459.9999999999924,0.00011864114386760371,18.56991817058145,12.393786071334034,33.10582995056175,54.80748361814767,155123.2533619247,332712.7092308278,5,4.6,1.2608695652173914,22,1,0,0,100,0.001101048903305423,9.120874248187425e-05,1.030999999999949
concentration_scale_study,2,c_1000,1000,3,f8178a485bd9a471cd9d08fed82b6de65486ed70a3eb4bf5add2a8d80b44eb76,1000.0,50000.00000000076,204440,204440,20,0.02,399.9999999999939,9.332893692498651e-05,16.799208646497572,12.442752969334833,29.91001773462633,57.00773273734376,159351.9812559605,373563.4240619324,5,4.0,0.5,19,1,0,0,100,0.0009974432159216102,7.120447926517372e-05,0.8910000000005311
concentration_scale_study,3,c_3000,3000,1,6ef905eea6cd3d9db01f40a7df9456ebfa4c8cb7720cfb86f1f6e0217addb906,1000.0,50000.00000000252,203947,203947,29,0.029,579.9999999999708,0.00018205822255320123,22.60033107556981,17.005388319958,43.76246129665523,94.2568921984639,112686.28585227004,232489.9449278146,5,5.8,0.29310344827586204,25,4,0,0,100,0.001013496353123892,6.0087233276848063e-05,1.0
concentration_scale_study,3,c_3000,3000,2,3e08c96ed0eee077f754818e42cb44c8268699bc31ff49c0428b408bde2c5810,1000.0,50000.00000000102,203364,203364,29,0.029,579.9999999999882,0.00020389723460844834,25.311380847945312,17.993164815357886,58.67660977855556,126.26276752445847,120862.01661408063,298805.1450961458,5,5.8,0.5517241379310345,28,1,0,0,100,0.0010335149957836755,7.057947301696065e-05,0.9690000000000509
concentration_scale_study,3,c_3000,3000,3,4d61321f3b1ecab616c67918a630da350e3df78497c94a000a78d5a2f4c54b8c,1000.0,49999.999999999,204385,204385,32,0.032,640.0000000000127,0.00021217315347695452,23.869479766157383,13.005212049349211,52.425047879200434,146.56776155345142,109131.03528788536,231154.52063182904,4,7.0,0.6666666666666667,31,1,0,0,100,0.000986875694183309,6.566901617799723e-05,0.9850000000005821
concentration_scale_study,4,c_10000,10000,1,bbab8693a14ab09f26e9945847a1505c513ce37888e9826694f62d0c9adc696f,1000.0,50000.00000000148,203851,203851,26,0.026,519.9999999999847,0.00014036960283406692,19.435791161640037,12.372671561897732,39.34591832687147,75.76226586219855,137054.0988961356,332917.0814094824,5,5.2,1.3846153846153846,25,1,0,0,100,0.0010043674155258528,5.96447159327418e-05,0.9850000000005821
concentration_scale_study,4,c_10000,10000,2,0f56418f90fa4ef809d83f19a904ecb0f030798c53c4960856b5cf5f59a9687b,1000.0,50000.00000000042,203727,203727,24,0.024,479.99999999999596,0.0001292909098013519,19.39363647020279,14.275294810300693,37.59026758458931,48.50753391953185,146393.37761661448,265428.1484236086,5,4.8,2.4375,24,0,0,0,100,0.0009936869435567398,5.926906484749249e-05,0.9380000000001019
concentration_scale_study,4,c_10000,10000,3,b1c6d015e573387872a59d05378a604f608c76de059c0aa7972b943264117373,1000.0,50000.00000000002,203907,203907,19,0.019,379.99999999999983,0.00010751352405740665,20.370983505613893,16.04225182160735,38.18779652100055,75.96480195250479,182914.04059188062,452496.2011764475,5,3.8,1.894736842105263,19,0,0,0,100,0.0009945671629691458,6.270278747880556e-05,1.0
concentration_scale_study,5,c_20000,20000,1,f443d265ed0c0eb85ec5c788f65b327dcbb244174551548099560c755824da4d,1000.0,50000.00000000256,203641,203641,20,0.02,399.9999999999795,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,5,4.0,0.875,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.9380000000001019
