study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
conditional_transition_study,0,independent,,1,f443d265ed0c0eb85ec5c788f65b327dcbb244174551548099560c755824da4d,1000.0,50000.00000000256,203641,203641,20,0.02,399.9999999999795,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,5,4.0,0.875,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.9210000000002765
conditional_transition_study,0,independent,,2,cadd912426a50da068982da4e4bc80904b86688dfdaa5f1187b84c9fbe594aa4,1000.0,50000.000000000495,203588,203588,19,0.019,379.99999999999625,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,5,3.8,0.5789473684210527,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,0.8429999999998472
conditional_transition_study,0,independent,,3,e72666b340010587819958029cb2438b37e487f13160ed2f4905356747122bb6,1000.0,50000.000000001164,204129,204129,21,0.021,419.9999999999902,0.00016539207464976547,28.352927082816937,19.74707221472636,62.151035813614726,92.31681306799874,167876.91833829816,319515.83062462625,5,4.2,0.16666666666666666,20,1,0,0,100,0.000997249832160345,6.160850492514242e-05,0.9220000000004802
conditional_transition_study,1,conditional_x0,0,1,ba19cf544db28ca6d7cb5c6c36dcc618c4e7658b67a269d50f3634c14fb5c1a7,1000.0,50000.000000002314,202662,202662,25,0.025,499.99999999997686,0.00015492858021926722,22.30971555157448,13.899446948547848,43.58037043723744,160.5479403170757,135035.2573345272,305604.8508945545,5,5.0,0.3,25,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,12.75
conditional_transition_study,1,conditional_x0,0,2,b8ee84b80210741c76eec53559f66b2c69ef800f58792dd924f3274e0f83c911,1000.0,49999.99999999989,202527,202527,29,0.029,580.0000000000013,0.00020465433330723803,25.40536551400196,17.22507438249886,52.28937611294677,137.18862817110494,117615.54272655086,196425.77771968115,4,6.25,0.68,29,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,13.67199999999957
conditional_transition_study,1,conditional_x0,0,3,c62edea2ad76e80e84263928612c903e8c3ca23b5cb925b0c46da7b83f7909ef,1000.0,49999.99999999986,203187,203187,27,0.027,540.0000000000015,0.00015240499549065944,20.320666065421257,13.447566729504615,40.92922438760291,81.29039352503605,130371.86280305871,275791.5989060398,4,4.5,0.3703703703703704,26,1,0,0,100,0.000997249832160345,6.160850492514242e-05,14.375
conditional_transition_study,2,conditional_x0.1,0.1,1,61d23d47e5428f0bb776ab7e5bad7b5644468d91ddbab34d5fa4c2d36324ec42,1000.0,50000.00000000078,202926,202926,24,0.024,479.9999999999925,0.00010958675589151526,16.43801338372729,17.058450862125028,30.995038243802263,43.78243675455451,141233.064878849,353364.0460862962,5,4.8,0.3541666666666667,22,2,0,0,100,0.0010007959226450746,5.9436808561073915e-05,14.985000000000582
conditional_transition_study,2,conditional_x0.1,0.1,2,6c08da6ff1ac3c32d7bb982ad009eeb8cb35f3365bb8178d76b4cea61ccba740,1000.0,49999.99999999994,202451,202451,31,0.031,620.0000000000008,0.00022982157665798797,26.688957289314732,23.465483464533463,63.096748784184456,83.27936132042669,105337.88210134702,240378.0442049962,4,6.75,0.43209876543209874,31,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,14.766000000000531
conditional_transition_study,2,conditional_x0.1,0.1,3,8be2274851b59735e53d367a950e0c5e8baafda3e0ccc835da94e512179ae321,1000.0,50000.00000000094,203261,203261,28,0.028,559.9999999999894,0.0001883627561616706,24.21806864935765,22.272579626296647,51.64188619125053,69.61440663365647,123177.99250144474,256665.6902144877,5,5.6,0.4107142857142857,27,1,0,0,100,0.000997249832160345,6.160850492514242e-05,14.686999999999898
conditional_transition_study,3,conditional_x0.25,0.25,1,344e24dca1dd171217a848abd61d3bb767890bf7f9d75ca35925eb898829bdbf,1000.0,50000.000000000466,203315,203315,25,0.025,499.99999999999534,0.00014875242016534483,21.420348503809656,18.0876646565157,44.90848985053599,61.08180382847786,143899.528216742,319858.5088794405,5,5.0,0.8,25,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,15.188000000000102
conditional_transition_study,3,conditional_x0.25,0.25,2,625dc257ed9108e2bafa7cbfa2a24744e799d5d309f6e6f8c0fa2d9c12e612bf,1000.0,50000.00000000029,202648,202648,22,0.022,439.9999999999974,0.0001308566198915772,21.41290143680354,19.04994067637017,34.42163272460894,46.85730576119386,156039.91438178258,397439.2409671233,5,4.4,0.5227272727272726,21,1,0,0,100,0.0009799800507877046,5.560061326941382e-05,14.032000000000153
conditional_transition_study,3,conditional_x0.25,0.25,3,bbc5fecaaaaf34989046b259e627a546014de9a85b98b6ed71e62d61506dbdbc,1000.0,50000.00000000071,203335,203335,13,0.013,259.9999999999963,4.9286204122246194e-05,13.648487295391252,11.49082753364928,26.444280068087398,29.511499097803608,272653.7094655251,602117.7858350404,5,2.6,0.8846153846153847,13,0,0,0,100,0.000997249832160345,6.160850492514242e-05,13.344000000000051
