level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,independent,,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.8953333333335346,0.04532475409046619,0.8429999999998472,0.9220000000004802
1,conditional_x0,0,3,1000.0,0.0,1000.0,1000.0,50000.00000000069,1.407335224968487e-09,49999.99999999986,50000.000000002314,202792.0,348.67606743222285,202527.0,203187.0,202792.0,348.67606743222285,202527.0,203187.0,27.0,2.0,25.0,29.0,0.027,0.002,0.025,0.029,539.9999999999932,40.00000000001219,499.99999999997686,580.0000000000013,0.0001706626363390549,2.9464702901152906e-05,0.00015240499549065944,0.00020465433330723803,22.67858237699923,2.562340565142235,20.320666065421257,25.40536551400196,14.857362686850442,2.0629088536271722,13.447566729504615,17.22507438249886,45.59965697926237,5.943181000929598,40.92922438760291,52.28937611294677,126.34232067107223,40.72679057649937,81.29039352503605,160.5479403170757,127674.22095471226,9017.736296449275,117615.54272655086,135035.2573345272,259274.0758400918,56432.60521194003,196425.77771968115,305604.8508945545,4.333333333333333,0.5773502691896257,4.0,5.0,5.25,0.9013878188659973,4.5,6.25,0.4501234567901235,0.20216432943303195,0.3,0.68,26.666666666666668,2.0816659994661326,25.0,29.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,13.598999999999856,0.8149558270237527,12.75,14.375
2,conditional_x0.1,0.1,3,1000.0,0.0,1000.0,1000.0,50000.00000000055,5.353147055405544e-10,49999.99999999994,50000.00000000094,202879.33333333334,407.01146584996025,202451.0,203261.0,202879.33333333334,407.01146584996025,202451.0,203261.0,27.666666666666668,3.511884584284246,24.0,31.0,0.02766666666666667,0.003511884584284246,0.024,0.031,553.3333333333276,70.23769168568872,479.9999999999925,620.0000000000008,0.00017592369623705795,6.10749595991887e-05,0.00010958675589151526,0.00022982157665798797,22.44834644079989,5.349710296873279,16.43801338372729,26.688957289314732,20.93217131765171,3.4073505128610457,17.058450862125028,23.465483464533463,48.57789107307908,16.26871244037939,30.995038243802263,63.096748784184456,65.55873490287922,20.05836776588311,43.78243675455451,83.27936132042669,123249.64649388025,17947.69866524794,105337.88210134702,141233.064878849,283469.2601685934,61076.04012207864,240378.0442049962,353364.0460862962,4.666666666666667,0.5773502691896257,4.0,5.0,5.716666666666666,0.9802210635021743,4.8,6.75,0.398993239271017,0.04026648981212802,0.3541666666666667,0.43209876543209874,26.666666666666668,4.509249752822894,22.0,31.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,14.812666666667004,0.15438372107648415,14.686999999999898,14.985000000000582
3,conditional_x0.25,0.25,3,1000.0,0.0,1000.0,1000.0,50000.00000000049,2.1204559010603303e-10,50000.00000000029,50000.00000000071,203099.33333333334,390.9940323500262,202648.0,203335.0,203099.33333333334,390.9940323500262,202648.0,203335.0,20.0,6.244997998398398,13.0,25.0,0.02,0.006244997998398399,0.013,0.025,399.99999999999636,124.89995996796775,259.9999999999963,499.99999999999534,0.00010963174805972274,5.302125443340699e-05,4.9286204122246194e-05,0.00014875242016534483,18.827245745334817,4.484937923410774,13.648487295391252,21.420348503809656,16.209477622178383,4.114697774816338,11.49082753364928,19.04994067637017,35.25813421441078,9.26048388473292,26.444280068087398,44.90848985053599,45.816869562491775,15.810848042074957,29.511499097803608,61.08180382847786,190864.38402134992,71091.26220231979,143899.528216742,272653.7094655251,439805.1785605347,145820.88107675503,319858.5088794405,602117.7858350404,5.0,0.0,5.0,5.0,4.0,1.2489995996796797,2.6,5.0,0.7357808857808857,0.1892982365337866,0.5227272727272726,0.8846153846153847,19.666666666666668,6.110100926607787,13.0,25.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,14.188000000000102,0.9318454807531317,13.344000000000051,15.188000000000102
4,conditional_x0.5,0.5,3,1000.0,0.0,1000.0,1000.0,50000.00000000064,1.6045644983167189e-10,50000.00000000046,50000.00000000077,203524.66666666666,320.83692638680685,203159.0,203759.0,203524.66666666666,320.83692638680685,203159.0,203759.0,23.0,9.643650760992955,12.0,30.0,0.023000000000000003,0.009643650760992955,0.012,0.03,459.9999999999937,192.87301521985546,239.99999999999778,599.9999999999907,0.00013217750611049133,6.541585406138403e-05,5.9449758158645835e-05,0.0001862116933538669,20.2558937487949,3.9620495041269046,17.834927447593753,24.828225780515588,16.020370232421556,5.077244156927327,10.562398239315371,20.603086123242974,38.1318762273974,7.183412732212717,30.5057276788808,44.77033759341576,56.26584662815245,18.088441211486572,41.052587850019336,76.26639684452675,181046.9161430736,101749.5719082229,114261.50486730898,298151.9686244882,472041.4416313867,324252.36299569,283641.582396689,846453.2815747391,5.0,0.0,5.0,5.0,4.6000000000000005,1.9287301521985911,2.4,6.0,1.8904320987654322,1.3591754734159371,0.5833333333333334,3.2962962962962963,21.333333333333332,8.082903768654761,12.0,26.0,1.6666666666666667,2.0816659994661326,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,18.401000000000142,2.8359571576456095,16.125,21.57800000000043
5,conditional_x0.75,0.75,3,1000.0,0.0,1000.0,1000.0,50000.000000001106,3.6192556691802065e-10,50000.00000000069,50000.00000000134,203586.33333333334,126.5754057205954,203477.0,203725.0,203586.33333333334,126.5754057205954,203477.0,203725.0,27.333333333333332,7.094598884597588,21.0,35.0,0.027333333333333334,0.0070945988845975885,0.021,0.035,546.6666666666546,141.8919776919477,419.99999999998875,699.9999999999819,0.00016004294055961508,6.493693280898689e-05,0.00012081415052788847,0.00023499838514199736,20.69842797390859,3.479136156214215,17.213024216625154,24.1712624717483,15.554945155939398,4.57027707796403,12.251976603991352,20.770869307685643,46.69322962254907,8.619449017045087,37.52544545568526,54.632520558545366,78.51599399908446,36.44231496950291,43.83847814658657,116.49802543176338,130861.63088617778,30935.35667911396,100088.07326923464,161956.28690837594,300253.46385317884,55471.43645444021,245911.81235292775,356789.55729300785,5.0,0.0,5.0,5.0,5.466666666666666,1.4189197769195174,4.2,7.0,0.8583638583638583,0.49395007925889395,0.4047619047619047,1.3846153846153846,27.333333333333332,7.094598884597588,21.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,19.171666666666777,0.19914400149993175,19.0,19.390000000000327
6,conditional_x1,1,3,1000.0,0.0,1000.0,1000.0,50000.000000000255,7.195599596482044e-10,49999.99999999945,50000.00000000084,203785.33333333334,274.09730632265126,203476.0,203998.0,203785.33333333334,274.09730632265126,203476.0,203998.0,21.666666666666668,10.016652800877813,12.0,32.0,0.021666666666666667,0.010016652800877813,0.012,0.032,433.33333333332934,200.3330560175496,240.00000000000264,639.9999999999893,0.0001401296675107652,9.07839610969142e-05,4.935536238516862e-05,0.00023092328149889202,21.601465503195882,5.96556037656295,14.806608715550587,25.97886916862535,18.64174799710357,4.977420263055233,12.97995253233239,22.32866358058527,45.38701950864635,10.883643788687651,35.77454179121415,57.204243049840464,70.70065494836308,38.20299447408302,39.28813926479779,113.22871699137613,187782.42800313325,98103.07109453059,107227.15737585849,297033.6005524628,402166.5769111782,116312.47923273945,270619.5057979932,491394.7257969952,4.666666666666667,0.5773502691896257,4.0,5.0,4.366666666666667,1.9553345834749956,2.5,6.4,1.2135912698412699,0.49532396925079375,0.6428571428571429,1.53125,19.333333333333332,7.505553499465135,12.0,27.0,2.0,2.6457513110645907,0.0,5.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,18.561999999999898,0.10935721283945246,18.436999999999898,18.640000000000327
7,conditional_x1.5,1.5,3,1000.0,0.0,1000.0,1000.0,50000.000000000604,1.6029139943671477e-10,50000.00000000044,50000.00000000076,204291.33333333334,225.85910062101402,204031.0,204435.0,204291.33333333334,225.85910062101402,204031.0,204435.0,25.333333333333332,2.516611478423583,23.0,28.0,0.025333333333333333,0.0025166114784235835,0.023,0.028,506.6666666666606,50.33222956847158,459.999999999993,559.9999999999932,0.00012965346959820567,2.54774057639556e-05,0.00010174025019992162,0.00015165603117258796,18.314809276324503,2.070046661868589,15.924560900857298,19.521234348783473,14.20644564049629,1.1021881280008015,12.943987922277302,14.977206043666229,40.83002606420002,8.652229676913175,33.600916889309886,50.41668779947796,67.18716205705034,27.180056320558634,36.07004767312901,86.28822625707835,136482.57578191735,11480.496866068714,124413.3245155019,147266.063246439,311873.2906960701,16540.28354365164,293496.1387588688,325566.4415294229,5.0,0.0,5.0,5.0,5.066666666666666,0.5033222956847166,4.6,5.6,0.6430124223602485,0.33555907806656493,0.28260869565217395,0.9464285714285715,24.333333333333332,2.516611478423583,22.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,16.6246666666666,2.6388818339089917,13.889999999999418,19.15599999999995
8,conditional_x2,2,3,1000.0,0.0,1000.0,1000.0,50000.00000000055,1.2296440122766686e-09,49999.9999999996,50000.00000000194,204841.0,317.0220812498713,204652.0,205207.0,204841.0,317.0220812498713,204652.0,205207.0,26.0,3.4641016151377544,22.0,28.0,0.026,0.0034641016151377556,0.022,0.028,519.9999999999953,69.28203230276586,439.9999999999829,560.0000000000044,0.00013193933708433077,7.802992719392115e-05,6.013323934350309e-05,0.00021497605527206662,17.666485097974384,9.092013300778007,9.83998461984596,27.639778534979996,14.179888290838184,8.61319171128965,8.092406821378972,24.034943030565046,33.793164638023526,13.947522143575068,19.093417873970257,46.841411274764695,64.2213669574121,50.894476583408604,30.258008762495592,122.73755546321627,135812.68462145617,23859.522529904465,116739.71023903586,162566.69345518714,324771.27626957995,79412.03433630832,267549.50128040445,415434.74266099633,4.666666666666667,0.5773502691896257,4.0,5.0,5.333333333333333,0.8326663997864528,4.4,6.0,2.9210557960557963,1.7029812021004709,1.4318181818181817,4.777777777777778,25.666666666666668,4.041451884327381,21.0,28.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,8.234333333333476,0.3692185441353923,7.844000000000051,8.57800000000043
9,conditional_x4,4,3,1000.0,0.0,1000.0,1000.0,50000.000000001164,1.2938322153859496e-09,50000.000000000065,50000.00000000259,206041.0,349.9128462917588,205736.0,206423.0,206041.0,349.9128462917588,205736.0,206423.0,26.333333333333332,1.1547005383792515,25.0,27.0,0.026333333333333334,0.0011547005383792505,0.025,0.027,526.6666666666548,23.094010767597208,499.9999999999741,539.9999999999993,0.0001390609591745737,2.2304149430103923e-05,0.00011531026225274318,0.00015956204694269724,18.951453266841803,2.3352180143955197,16.60467776439502,21.27493959235963,14.831379194840943,3.1999074829433756,12.687382761621848,18.509498546423856,38.55662489654109,5.750715328962432,33.84561810026644,44.96497149653733,52.93788390185606,5.646496625662507,48.74441924551502,59.35827958135633,133200.69902478144,4348.0506251466,129315.52628184167,137897.30406121642,312617.89237000723,45289.31368433017,260706.3449551358,344052.2943494488,5.0,0.0,5.0,5.0,5.266666666666667,0.23094010767585052,5.0,5.4,1.0753086419753086,0.7342337656901033,0.5185185185185185,1.9074074074074074,23.666666666666668,1.5275252316519468,22.0,25.0,2.6666666666666665,0.5773502691896257,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,8.051999999999984,0.6935675886317761,7.265999999999622,8.57800000000043
