level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,gamma,0,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.3173333333334085,0.12534086856783386,1.1869999999998981,1.4369999999998981
1,weibull,1,3,1000.0,0.0,1000.0,1000.0,50000.00000000149,7.39825724481035e-10,50000.000000000786,50000.00000000226,204128.66666666666,322.94633197070584,203841.0,204478.0,204128.66666666666,322.94633197070584,203841.0,204478.0,26.0,1.7320508075688772,24.0,27.0,0.026,0.0017320508075688767,0.024,0.027,519.9999999999844,34.641016151376036,479.99999999998613,539.9999999999915,0.00013919780261057086,3.026928122134307e-05,0.00010636834643622732,0.00016599999868226103,19.15064227272182,3.0945278456599703,15.955251965434096,22.1333331576348,15.78540671999023,4.130531495964023,11.03772428369848,18.554120135493577,41.49998598769308,6.198417161732347,36.94276226818329,48.55815423780588,53.97489879839122,4.4793348245066635,49.610700180288404,58.56111297290772,136559.74834112023,6455.023784678019,132674.0705633217,144011.07733313314,336461.26684983325,64189.38804363831,270505.33943709556,398724.70932573965,5.0,0.0,5.0,5.0,5.2,0.3464101615137758,4.8,5.4,1.0,0.7095275578025192,0.5185185185185185,1.8148148148148149,25.0,2.0,23.0,27.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,12.833666666666431,0.9628906133786543,11.782000000000153,13.67199999999957
2,lognormal,2,3,1000.0,0.0,1000.0,1000.0,49999.999999999476,3.3519455715947424e-10,49999.99999999917,49999.99999999983,203861.33333333334,273.28434520355046,203618.0,204157.0,203861.33333333334,273.28434520355046,203618.0,204157.0,21.333333333333332,0.5773502691896257,21.0,22.0,0.021333333333333333,0.0005773502691896243,0.021,0.022,426.6666666666711,11.547005383789923,420.00000000000495,440.0000000000015,0.00010827610044133439,3.808386759187371e-05,6.801766684907407e-05,0.00014372931359215424,18.267899501935833,6.492795956152674,11.660171459841271,24.639310901512154,13.693267685186584,3.01930891342032,10.42494366131723,16.3785100322566,27.742368266987615,5.359419805508062,21.6477635219926,31.719845571089536,96.44712343961267,92.88178730956936,37.222953591961414,203.4956319198791,162354.0505828913,6946.386646021783,154846.96490657987,168554.02672739723,351516.16259709815,27423.587740242547,328837.93290393864,381994.9375251685,4.0,0.0,4.0,4.0,4.5,0.5,4.0,5.0,0.5382716049382715,0.3584246382543023,0.13333333333333333,0.8148148148148148,21.0,1.0,20.0,22.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.0626666666670037,0.08169659315606345,1.0150000000003274,1.1570000000001528
3,inverse_gaussian,3,3,1000.0,0.0,1000.0,1000.0,49999.99999999934,9.355572557729664e-11,49999.999999999236,49999.99999999941,204013.66666666666,148.22392969198103,203844.0,204118.0,204013.66666666666,148.22392969198103,203844.0,204118.0,22.333333333333332,8.736894948054104,15.0,32.0,0.022333333333333334,0.008736894948054104,0.015,0.032,446.66666666667237,174.73789896108363,300.0000000000046,640.0000000000075,0.00013517197429344446,4.594793276717343e-05,0.00010494965706486255,0.00018804781457696057,22.19887268613564,2.6275881855229546,20.253321222931845,25.187917695567013,17.810715541418176,3.6121975550905554,14.138216950173955,21.359429946169257,41.16811518216662,5.7264458504874245,36.88586335538421,47.67260236269795,86.36481099994853,18.425379086955733,74.48087012488395,107.58989487867802,174447.0934717061,65425.30862798355,106987.15883884102,237627.67917831978,419899.50187927,130237.04585180386,286329.22276620986,546525.4595740013,4.0,0.0,4.0,4.0,4.666666666666667,2.2684429314693664,3.0,7.25,1.8722860791826308,1.4247018806013523,0.6666666666666666,3.444444444444444,21.333333333333332,8.504900548115382,15.0,31.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.4639999999999418,0.02389560629050308,1.4380000000001019,1.4849999999996726
4,shifted_exponential,4,3,1000.0,0.0,1000.0,1000.0,49999.99999999963,7.509526157849675e-10,49999.99999999879,50000.00000000024,204084.33333333334,155.93695307185317,203905.0,204188.0,204084.33333333334,155.93695307185317,203905.0,204188.0,27.0,4.0,23.0,31.0,0.027,0.004,0.023,0.031,540.0000000000045,80.00000000000682,460.00000000000125,620.0000000000149,0.000147978879500306,1.1882172933943047e-05,0.00013722827816736147,0.00016073689388648846,19.954106581316946,2.600420829028652,16.951525135788547,21.47920875663049,17.414776493950438,4.109647485227336,13.82118142861873,21.89555583219044,33.18202910029019,4.528388090957522,28.112272861413658,36.82572526661679,74.79644986304145,23.789858750442992,48.29102975316346,94.29851252166554,133110.96992091977,21586.669405133183,113468.57565549137,156221.88325254552,310714.0090081219,43215.52584561394,264631.49221223174,350334.8605382974,4.333333333333333,0.5773502691896257,4.0,5.0,5.633333333333333,1.0202123961868594,4.75,6.75,1.9678362573099415,0.9382411744789488,1.1666666666666665,3.0,26.666666666666668,4.509249752822894,22.0,31.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.2029999999998229,5.250970108951385e-13,1.2029999999995198,1.2030000000004293
5,inverse_gamma,5,3,1000.0,0.0,1000.0,1000.0,49999.999999999105,1.1060731983693308e-09,49999.999999998305,50000.00000000037,204088.0,122.50306118624138,203989.0,204225.0,204088.0,122.50306118624138,203989.0,204225.0,21.666666666666668,5.686240703077327,17.0,28.0,0.021666666666666667,0.005686240703077327,0.017,0.028,433.33333333333957,113.72481406153845,340.00000000000915,559.9999999999958,0.0001221865454186526,4.798081504942991e-05,8.90112428772813e-05,0.00017720215641626056,20.018316490344635,3.544792259294075,16.022023717910635,22.783134396376358,15.958539297144549,4.60562374295877,10.869501751614735,19.84023521107156,42.15440551896852,6.687775198659412,37.42059658771615,49.80521260099486,55.34798349343085,13.277850227339954,43.59838964510709,69.75282086059451,166434.11908146343,49612.861371758096,112861.03142740042,210795.62301942686,373319.299833843,86033.45672857155,277967.88363837596,445137.0096879783,4.333333333333333,0.5773502691896257,4.0,5.0,4.45,1.064189832689638,3.5,5.6,1.0841503267973855,0.47262531125750845,0.7678571428571429,1.6274509803921569,20.666666666666668,5.686240703077327,16.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.448000000000017,0.07662897624294894,1.3599999999996726,1.5
6,symmetric_two_point,6,3,1000.0,0.0,1000.0,1000.0,50000.00000000283,2.3658985734329714e-10,50000.00000000263,50000.00000000309,204247.66666666666,341.55575435546876,203859.0,204500.0,204247.66666666666,341.55575435546876,203859.0,204500.0,27.666666666666668,2.516611478423583,25.0,30.0,0.02766666666666667,0.002516611478423582,0.025,0.03,553.333333333302,50.332229568469536,499.99999999997215,599.9999999999685,0.0001644530605287717,5.000231804016292e-05,0.00012143218527599756,0.00021931218671638312,21.141867058786108,4.607641626307463,17.486234679743646,26.317462405965973,17.099097744367707,4.6408921688046725,13.049999999813735,22.163627819507383,43.03571428573923,7.937419501804633,37.2,52.07410714282887,72.9202067668084,33.21268842303944,48.5999999998603,110.76062030019239,125067.94972926956,8387.868953408879,116224.94839285758,132911.04960000096,289613.9587406011,71128.02449161017,245941.0732499978,371689.1363063867,5.0,0.0,5.0,5.0,5.533333333333334,0.5033222956847166,5.0,6.0,1.5634920634920635,1.1020320679364977,0.8571428571428572,2.8333333333333335,27.0,3.0,24.0,30.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.1663333333335686,0.07067059737523705,1.0929999999998472,1.2340000000003783
7,three_point,7,3,1000.0,0.0,1000.0,1000.0,50000.00000000582,1.967475086366251e-09,50000.00000000371,50000.0000000076,204038.33333333334,463.4666474875332,203611.0,204531.0,204038.33333333334,463.4666474875332,203611.0,204531.0,24.666666666666668,4.163331998932265,20.0,28.0,0.024666666666666667,0.004163331998932265,0.02,0.028,493.33333333327784,83.26663997865253,399.9999999999392,559.9999999999585,0.00012592030928306318,3.3598534494651446e-05,9.202047033518385e-05,0.00015920920698910676,18.184383818595553,2.0360964103157344,16.56368466033309,20.469755184313726,14.43000175113169,3.257871842703302,10.715823485516012,16.804187395144254,37.59115878421969,2.573129189906165,35.47543842981104,40.45561503260397,60.2900244097691,23.101548128448893,40.1668598462129,85.51654031791259,133456.07376623552,9384.770975304198,126543.55299280434,144139.83155361298,309792.98006492096,48796.41993372296,253797.58294781172,343219.97182067554,5.0,0.0,5.0,5.0,4.933333333333334,0.832666399786453,4.0,5.6,1.3905677655677657,0.7036056119610689,0.7678571428571429,2.153846153846154,24.666666666666668,4.163331998932265,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.0886666666665406,0.050500825075728076,1.030999999999949,1.125
8,pareto,8,3,1000.0,0.0,1000.0,1000.0,49999.999999999716,5.609097969778823e-10,49999.9999999992,50000.00000000031,204084.0,387.77184013282863,203781.0,204521.0,204084.0,387.77184013282863,203781.0,204521.0,24.0,6.082762530298219,17.0,28.0,0.024000000000000004,0.006082762530298219,0.017,0.028,480.00000000000256,121.65525060596393,340.0000000000025,559.9999999999965,0.00014402723157083176,4.987409505410742e-05,9.299334786436197e-05,0.00019265439611537862,21.329028884333113,2.981025590398383,19.524526764367288,24.769850929120107,17.06839501671493,3.159513897821964,14.000930823851377,20.312543916050345,46.72533706747539,11.931796896302858,37.325861228210854,60.14890256649815,70.21881101148513,41.632449484977215,43.25068993959576,118.16736319474876,153172.2559917233,49240.62202473185,119584.13174535314,209696.87675168453,385598.5545936252,70398.27300155761,308310.83161063073,446056.9238421123,4.333333333333333,0.5773502691896257,4.0,5.0,5.033333333333333,1.1139269874337965,3.75,5.75,1.270479641131815,0.5832509258867906,0.6,1.660714285714286,22.666666666666668,4.932882862316247,17.0,26.0,0.6666666666666666,1.1547005383792515,0.0,2.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.0156666666665235,0.10900152904144743,0.8909999999996217,1.0929999999998472
9,scaled_beta,9,3,1000.0,0.0,1000.0,1000.0,50000.0000000105,6.463054762529181e-10,50000.000000009924,50000.0000000112,203824.0,151.02648774304458,203657.0,203951.0,203824.0,151.02648774304458,203657.0,203951.0,29.666666666666668,3.0550504633038935,27.0,33.0,0.029666666666666664,0.003055050463303894,0.027,0.033,593.3333333332083,61.101009266058675,539.999999999888,659.9999999998522,0.00014406145779293487,2.2887441505257253e-05,0.00011763331972778865,0.00015728636489498158,17.455156083775268,1.9361545016202601,15.684442630371821,19.52251308695599,9.770473809177929,1.4649990599063143,8.460177650675178,11.352209837998089,40.88485376535197,9.427826466835715,31.321809126425073,50.171378283947696,73.91788618050002,37.52634958156797,46.338257721181435,116.6516114011174,116284.23730183992,7286.664474590785,107956.73978896682,121489.65205324927,284298.96734416665,12625.680930763834,270139.7255504505,294386.0328100509,5.0,0.0,5.0,5.0,5.933333333333334,0.6110100926607783,5.4,6.6,2.186210766670537,0.39656841583399716,1.8448275862068966,2.6212121212121215,28.333333333333332,4.163331998932265,25.0,33.0,1.3333333333333333,1.1547005383792515,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.5933333333332484,0.2495001670005103,1.344000000000051,1.8429999999998472
