study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
duration_profile_coefficient_of_variation_study,0,common_0.1,0.1,1,225063209df985bd5b16ede77b428295a39289094e8f6a9e9d7095275989d766,1000.0,50000.00000000069,204160,204160,19,0.019,379.99999999999477,0.00011527770983430653,21.84209238965808,22.61156753427349,43.24518959517591,53.246009409893304,185562.1055033145,373983.35015252436,5,3.8,0.4473684210526316,19,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.9220000000004802
duration_profile_coefficient_of_variation_study,0,common_0.1,0.1,2,2be05287843bfb992c2018045c836507cac6182bdd2299f66c3081abeb18120e,1000.0,50000.000000000386,203944,203944,33,0.033,659.9999999999949,0.00015557899781274803,16.97225430684524,11.08025696920231,35.374320957437156,65.73854164173827,108663.37388636303,229284.63473430465,5,6.6,2.0151515151515156,32,1,0,0,100,0.0009799800507877046,5.560061326941382e-05,0.8900000000003274
duration_profile_coefficient_of_variation_study,0,common_0.1,0.1,3,57351d405cb0fed71b92c8f8006f676aa436ee71134759e0aeeedac001c4eeed,1000.0,50000.00000000138,204170,204170,28,0.028,559.9999999999845,0.00013491216113388266,17.345849288642057,16.036174341570586,35.91758684716187,47.29210320848506,126561.31923796594,283269.51418514043,5,5.6,0.7678571428571429,28,0,0,0,100,0.000997249832160345,6.160850492514242e-05,0.7340000000003783
duration_profile_coefficient_of_variation_study,1,common_0.2,0.2,1,5977fff569c280fcd0ce8405312fef48065176a5520d67830b978633580c91cd,1000.0,50000.000000000335,204013,204013,27,0.027,539.9999999999964,0.00016348394567765757,21.797859423687676,15.08067062831833,40.035027655295565,68.38874423241941,133109.82887690878,368446.7264602387,5,5.4,1.3518518518518516,27,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.030999999999949
duration_profile_coefficient_of_variation_study,1,common_0.2,0.2,2,ad3a612d6e9fbd44ade87eb5ee69018daf3c1f4e2ba8698fefb4e4b2323f7229,1000.0,50000.0000000004,204040,204040,29,0.029,579.9999999999953,0.00016708340149126344,20.741387771329254,16.939247413305566,39.129880316602055,65.34639620543749,115074.72745556549,303315.49229864945,5,5.8,1.9310344827586206,27,2,0,0,100,0.0009799800507877046,5.560061326941382e-05,0.9369999999998981
duration_profile_coefficient_of_variation_study,1,common_0.2,0.2,3,7d8a6ce349ebf8a24d9e461f253fc01021dee79411318e4616e42e48ac05b5af,1000.0,50000.000000000044,204222,204222,19,0.019,379.99999999999966,0.00012908654576358256,24.458503407836695,15.885325665120035,60.4378474922385,70.9066345852334,183959.06522135733,404669.5018520242,5,3.8,0.5789473684210527,19,0,0,0,100,0.000997249832160345,6.160850492514242e-05,0.9840000000003783
duration_profile_coefficient_of_variation_study,2,common_0.35,0.35,1,40fec9090f97279a552977c21d91305309227875b663217fdad6b7bb1b3dd16a,1000.0,49999.99999999985,203915,203915,22,0.022,440.0000000000013,8.046188877522784e-05,13.166490890491827,9.370258357725106,24.629878355225085,42.818489307072014,161029.43905271444,324774.3444171585,4,4.75,0.05263157894736842,22,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.0779999999995198
duration_profile_coefficient_of_variation_study,2,common_0.35,0.35,2,6a4c26eaf5116b3ba6999321b08910babfb63fcb0a258ec91d2b8f0bd13be693,1000.0,50000.000000001426,203911,203911,35,0.035,699.99999999998,0.000169447395658418,17.42887498200871,13.279206461040303,32.81763944448903,71.1206388049759,101318.14402311308,233188.35384620976,5,7.0,2.7142857142857144,35,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.030999999999949
duration_profile_coefficient_of_variation_study,2,common_0.35,0.35,3,ff0fa656be4b7aaa5e7a44fb83126b4328950daf43b94f0de048a6943ce6fb2d,1000.0,50000.00000000164,204384,204384,24,0.024,479.99999999998425,0.00018358449660437246,27.53767449065587,20.244540436309762,55.75306143625638,88.27008847473189,148789.81252959344,373339.2898169111,5,4.8,0.14583333333333334,23,1,0,0,100,0.000997249832160345,6.160850492514242e-05,1.094000000000051
duration_profile_coefficient_of_variation_study,3,common_0.5,0.5,1,6b2f5696ca0e7d1a340ef92484bcedcc628594f130f035d7f28b6140e6a6de00,1000.0,50000.00000000121,204108,204108,20,0.02,399.99999999999034,0.00013131457663548645,23.63662379438756,10.312689190890524,52.0955475831551,128.29999133665115,172036.64462678513,394080.64700446965,5,4.0,1.375,20,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.030999999999949
