study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
duration_profile_mean_multiplier_study,0,common_1,1.0,1,6e15d1d70bbc3d0e2dc2eb641ab4d58ad4fbe2b211a0a82e9b6aab3236401156,1000.0,50000.00000000124,285436,285436,56,0.056,1119.9999999999723,0.000319695248438564,20.55183739962197,15.488021820259746,43.89224617870059,77.89957834006054,63242.37598161638,146570.70283532012,5,11.2,1.5803571428571428,56,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.1869999999998981
duration_profile_mean_multiplier_study,0,common_1,1.0,2,036f862933c92b458adf0adbb43bcda977a6df44136b43852a3102de6f5209af,1000.0,50000.00000000078,285353,285353,58,0.058,1159.9999999999818,0.0003163975353056109,19.638467708624123,13.470540822250769,43.18145742122435,101.96120816329494,60604.04482105569,167043.578940685,5,11.6,1.4913793103448276,54,4,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.3280000000004293
duration_profile_mean_multiplier_study,0,common_1,1.0,3,48d77983a54109c744faf6ad2b760646185da62a6a2705409834c9ae132346f7,1000.0,50000.0000000037,285654,285654,73,0.073,1459.999999999892,0.0003610269814904647,17.804070320077713,13.674089382169768,34.78587717106566,113.91515588015318,48367.71699128395,113045.63466906492,5,14.6,0.8424657534246576,67,6,0,0,100,0.000997249832160345,6.160850492514242e-05,1.405999999999949
duration_profile_mean_multiplier_study,1,common_1.15,1.15,1,feb8ad2ab64e0283c1e9f3b12e8351cfd33a14b2564392dbf9d6514f08a324ce,1000.0,50000.00000000038,254682,254682,38,0.038,759.9999999999943,0.00019370316173641995,18.35082584871347,14.057848738390021,40.56697344956922,67.22527013765648,91232.2794253894,218166.66320768796,5,7.6,0.4342105263157895,35,3,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.2970000000004802
duration_profile_mean_multiplier_study,1,common_1.15,1.15,2,eb7531bffaa8a37526e4f150152ba43cf2f077d8c0efc4983d75992ca532c813,1000.0,49999.99999999927,254316,254316,54,0.054,1080.0000000000157,0.0003173325941443343,21.155506276288953,14.73652659356594,43.77864413822536,103.73801925871521,64766.28016324336,147481.66325327946,4,10.75,1.0155038759689923,48,6,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.1880000000001019
duration_profile_mean_multiplier_study,1,common_1.15,1.15,3,2b69d89690ae562b3f24de8a4bec5f46662161d8bc14e81fe3fa6b4fda23053d,1000.0,50000.00000000154,255231,255231,44,0.044,879.9999999999728,0.00024915552877187214,20.385452354062263,15.044261267757975,36.109694922761996,122.95437359606149,79758.19529923155,175046.3696940227,5,8.8,0.875,42,2,0,0,100,0.000997249832160345,6.160850492514242e-05,1.1409999999996217
duration_profile_mean_multiplier_study,2,common_1.3,1.3,1,6a91f7285cc9b122520240933f4a9b8bb20804a7a989af08bba22df33e325429,1000.0,50000.000000000684,230324,230324,41,0.041,819.9999999999889,0.00017203662244312808,15.105654653542953,12.506667224457487,27.162637957837433,57.93482235306874,87337.90633862629,167300.53397229593,5,8.2,2.5853658536585367,36,5,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.1719999999995707
duration_profile_mean_multiplier_study,2,common_1.3,1.3,2,99db3b643751ffad37e5bd3b9281d932818b365622ad6c27a4b697b026105613,1000.0,50000.00000000103,230152,230152,32,0.032,639.9999999999868,0.00019563310038747051,22.008723793590434,18.603073416044936,45.46894781477751,62.951079765334725,112489.86368993089,244317.13593638767,5,6.4,1.21875,29,3,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.0780000000004293
duration_profile_mean_multiplier_study,2,common_1.3,1.3,3,6fe73e543c711e52daf90b6e1521a6aa8bd02d4e662eeb60f162667001802972,1000.0,50000.000000000044,230506,230506,38,0.038,759.9999999999993,0.0001597825616289386,15.137295312215237,12.941991842515563,31.38721007482382,74.35657851956785,92483.08061865754,263243.0935019145,5,7.6,0.6973684210526316,35,3,0,0,100,0.000997249832160345,6.160850492514242e-05,1.110000000000582
duration_profile_mean_multiplier_study,3,common_1.5,1.5,1,f443d265ed0c0eb85ec5c788f65b327dcbb244174551548099560c755824da4d,1000.0,50000.00000000256,203641,203641,20,0.02,399.9999999999795,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,5,4.0,0.875,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.9529999999995198
