level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,common_1,1.0,3,1000.0,0.0,1000.0,1000.0,50000.0000000019,1.5731724168696372e-09,50000.00000000078,50000.0000000037,285481.0,155.46382215808282,285353.0,285654.0,285481.0,155.46382215808282,285353.0,285654.0,62.333333333333336,9.29157324317757,56.0,73.0,0.06233333333333333,0.009291573243177566,0.056,0.073,1246.6666666666154,185.8314648635031,1119.9999999999723,1459.999999999892,0.00033237325507821323,2.4869574905050817e-05,0.0003163975353056109,0.0003610269814904647,19.331458476107937,1.3993737822663492,17.804070320077713,20.55183739962197,14.210884008226762,1.110706418120727,13.470540822250769,15.488021820259746,40.619860256996866,5.064861710810792,34.78587717106566,43.89224617870059,97.92531412783622,18.34384874789625,77.89957834006054,113.91515588015318,57404.712597985344,7936.665863248341,48367.71699128395,63242.37598161638,142219.9721483567,27260.615171399026,113045.63466906492,167043.578940685,5.0,0.0,5.0,5.0,12.466666666666667,1.858314648635514,11.2,14.6,1.3047340688755427,0.40280052168784075,0.8424657534246576,1.5803571428571428,59.0,7.0,54.0,67.0,3.3333333333333335,3.0550504633038935,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.307000000000092,0.11100000000007296,1.1869999999998981,1.405999999999949
1,common_1.15,1.15,3,1000.0,0.0,1000.0,1000.0,50000.0000000004,1.1351737563428527e-09,49999.99999999927,50000.00000000154,254743.0,460.53990055151576,254316.0,255231.0,254743.0,460.53990055151576,254316.0,255231.0,45.333333333333336,8.082903768654761,38.0,54.0,0.04533333333333334,0.00808290376865476,0.038,0.054,906.666666666661,161.65807537310843,759.9999999999943,1080.0000000000157,0.00025339709488420877,6.192376201176538e-05,0.00019370316173641995,0.0003173325941443343,19.963928159688226,1.4490755881037602,18.35082584871347,21.155506276288953,14.612878866571313,0.504696928677721,14.057848738390021,15.044261267757975,40.151770836852194,3.851297239183743,36.109694922761996,43.77864413822536,97.97255433081106,28.308367710724188,67.22527013765648,122.95437359606149,78585.58496262143,13271.907944493974,64766.28016324336,91232.2794253894,180231.5653849967,35626.633231389605,147481.66325327946,218166.66320768796,4.666666666666667,0.5773502691896257,4.0,5.0,9.049999999999999,1.5898113095584647,7.6,10.75,0.7749048007615938,0.3032981639751423,0.4342105263157895,1.0155038759689923,41.666666666666664,6.506407098647712,35.0,48.0,3.6666666666666665,2.0816659994661326,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.2086666666667345,0.08002707875087813,1.1409999999996217,1.2970000000004802
2,common_1.3,1.3,3,1000.0,0.0,1000.0,1000.0,50000.00000000058,5.0184771559735e-10,50000.000000000044,50000.00000000103,230327.33333333334,177.0235389244417,230152.0,230506.0,230327.33333333334,177.0235389244417,230152.0,230506.0,37.0,4.58257569495584,32.0,41.0,0.037,0.0045825756949558405,0.032,0.041,739.9999999999917,91.65151389911905,639.9999999999868,819.9999999999889,0.00017581742815317905,1.8221859158222994e-05,0.0001597825616289386,0.00019563310038747051,17.41722458644954,3.976386426103717,15.105654653542953,22.008723793590434,14.683910827672662,3.4010665130727005,12.506667224457487,18.603073416044936,34.67293194914625,9.585260628753192,27.162637957837433,45.46894781477751,65.08082687932377,8.415484892455478,57.93482235306874,74.35657851956785,97436.95021573822,13287.620465648537,87337.90633862629,112489.86368993089,224953.58780353272,50817.85050052437,167300.53397229593,263243.0935019145,5.0,0.0,5.0,5.0,7.3999999999999995,0.9165151389911674,6.4,8.2,1.500494758237056,0.975022388449191,0.6973684210526316,2.5853658536585367,33.333333333333336,3.7859388972001824,29.0,36.0,3.6666666666666665,1.1547005383792515,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.120000000000194,0.047791212580911006,1.0780000000004293,1.1719999999995707
3,common_1.5,1.5,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.9216666666661695,0.03150132272360283,0.8899999999994179,0.9529999999995198
4,common_1.75,1.75,3,1000.0,0.0,1000.0,1000.0,50000.000000000495,3.893147287212704e-10,50000.00000000011,50000.00000000089,178399.0,200.3272322975586,178273.0,178630.0,178399.0,200.3272322975586,178273.0,178630.0,21.333333333333332,5.131601439446884,17.0,27.0,0.021333333333333333,0.005131601439446884,0.017,0.027,426.6666666666626,102.63202878893748,339.9999999999939,539.9999999999948,0.0001465458170969847,3.504348020100846e-05,0.00010880983803072821,0.00017806459385983747,25.154037609724273,6.121249518013433,20.36840258671846,32.05162689477074,20.49921477981843,6.367778838264977,14.359339772723615,27.07273024111055,47.3593256899505,11.576478804562123,37.87749851774426,60.260268480645024,83.4555297724437,37.31184185483227,55.63774972502142,125.85655691369902,170514.14371107178,37211.79331623946,132771.28517580792,207171.10175917068,412054.6545382961,115095.41419575141,286518.30925133626,512604.0907642249,5.0,0.0,5.0,5.0,4.266666666666667,1.0263202878893771,3.4,5.4,2.1184640522875817,0.7295870568236236,1.375,2.8333333333333335,20.0,6.0,14.0,26.0,1.3333333333333333,1.5275252316519468,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.7809999999999491,0.08201829064286756,0.6880000000001019,0.8429999999998472
5,common_2,2,3,1000.0,0.0,1000.0,1000.0,50000.00000000096,4.858574837212378e-10,50000.0000000004,50000.000000001266,158520.66666666666,228.91992777679565,158343.0,158779.0,158520.66666666666,228.91992777679565,158343.0,158779.0,17.666666666666668,2.516611478423583,15.0,20.0,0.017666666666666667,0.0025166114784235835,0.015,0.02,353.33333333332627,50.332229568467824,299.9999999999976,399.9999999999903,0.00012229535432513834,2.7474522143972643e-05,9.683250332981213e-05,0.00015141524471222914,25.83239077232531,9.628998918992233,17.429850599366183,36.33965873093499,21.225791322028574,8.721395778574886,15.69088282249868,31.279282577801496,53.39084495805049,26.438640439736762,32.69540913569509,83.1750211472623,77.62571430834942,28.277992485954776,45.08667362877168,96.25171141978353,199586.87792168066,35168.28733038916,164467.54728290008,234803.91833947718,484150.3962702114,202305.0402698468,333341.9124817477,714053.6033119576,5.0,0.0,5.0,5.0,3.533333333333333,0.5033222956847166,3.0,4.0,1.421296296296296,0.7720939808250918,0.625,2.1666666666666665,17.333333333333332,3.0550504633038935,14.0,20.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.7603333333333163,0.0724591839130276,0.7179999999998472,0.8440000000000509
6,common_2.25,2.25,3,1000.0,0.0,1000.0,1000.0,50000.00000000041,3.6727373558457366e-10,50000.0000000001,50000.000000000815,142827.66666666666,146.1927950801042,142659.0,142918.0,142827.66666666666,146.1927950801042,142659.0,142918.0,10.333333333333334,4.618802153517006,5.0,13.0,0.010333333333333333,0.0046188021535170055,0.005,0.013,206.6666666666649,92.3760430703391,99.99999999999939,259.9999999999995,6.470827915394625e-05,3.174114721294435e-05,2.8280936302229142e-05,8.642722460138934e-05,22.09609251188358,1.7879698412084084,20.36227413760498,23.93369296653859,18.158880749872576,4.328462203117246,13.662309766514227,22.296933975303546,39.982252994987846,5.259153115180396,36.24691985766404,45.99650324830145,53.11315339043116,7.3287044705768025,47.91228651627898,61.49486238183454,420797.62274591456,256115.0361090486,272457.0376409752,716533.2890127407,941037.469878945,652655.59036096,488929.47091590625,1689258.1932951105,5.0,0.0,5.0,5.0,2.066666666666667,0.9237604307034013,1.0,2.6,1.846153846153846,0.9992600812897368,1.2692307692307694,3.0,9.666666666666666,4.932882862316247,4.0,13.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.6766666666668849,0.07067059737476517,0.6090000000003783,0.75
7,common_2.5,2.5,3,1000.0,0.0,1000.0,1000.0,49999.99999999968,8.970107916476713e-10,49999.99999999894,50000.00000000068,129733.66666666667,212.6154588296282,129531.0,129955.0,129733.66666666667,212.6154588296282,129531.0,129955.0,6.0,2.0,4.0,8.0,0.006000000000000001,0.002,0.004,0.008,120.0000000000011,40.000000000001464,79.99999999999892,160.00000000000185,5.5814238765289906e-05,3.7609519326168276e-05,1.2396225646775241e-05,7.831888756562774e-05,30.891785669678132,18.191903257327077,11.156603082097718,46.99133253937665,23.13384757823466,11.34685492431429,11.448668696568348,34.109035050380044,60.32434126373846,36.86602669401305,18.675567830493677,88.77360029623378,70.8773799626312,46.67379143114907,20.43579742172733,112.53525946778245,518830.1885979637,112926.12396542606,389951.11552755866,600443.7714601001,929375.3451850861,171855.49651542856,803930.6924233155,1125259.381537996,4.333333333333333,0.5773502691896257,4.0,5.0,1.2666666666666666,0.4752192476461084,0.8,1.75,0.807142857142857,0.5153153273688986,0.25,1.2666666666666666,5.666666666666667,1.5275252316519468,4.0,7.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.5886666666662373,0.04789919971499046,0.5469999999995707,0.6409999999996217
8,common_2.75,2.75,3,1000.0,0.0,1000.0,1000.0,50000.0000000003,3.191484167395001e-10,49999.99999999995,50000.000000000575,118781.0,235.5674001214939,118643.0,119053.0,118781.0,235.5674001214939,118643.0,119053.0,4.333333333333333,2.0816659994661326,2.0,6.0,0.004333333333333334,0.0020816659994661326,0.002,0.006,86.66666666666599,41.63331998932196,40.00000000000004,119.99999999999862,2.317763157309619e-05,1.0339234743806664e-05,1.1538221062963001e-05,3.1297960074152796e-05,19.58973591232983,1.0448306776448408,18.77877604449168,20.7687979133334,17.14790210259768,3.1958478096825114,14.720787051599473,20.7687979133334,32.325502375521076,4.970928656287172,27.244956938130784,37.17903583392035,39.30565183384655,14.86397320868926,28.863996694330126,56.32336789206602,973206.679433002,699456.3969095391,504704.52937049075,1777210.8173939604,1580601.7390387065,840631.6985359922,1046090.9687486104,2549558.862756792,4.666666666666667,0.5773502691896257,4.0,5.0,0.8166666666666668,0.5008326400438906,0.25,1.2,1.1666666666666667,0.2886751345948128,1.0,1.5,4.333333333333333,2.0816659994661326,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.5780000000001261,0.06299999999964712,0.5150000000003274,0.6409999999996217
9,common_3,3,3,1000.0,0.0,1000.0,1000.0,50000.000000000444,4.007284985917869e-10,50000.00000000003,50000.00000000083,109673.33333333333,279.08660543518266,109416.0,109970.0,109673.33333333333,279.08660543518266,109416.0,109970.0,4.333333333333333,2.516611478423583,2.0,7.0,0.004333333333333334,0.0025166114784235835,0.002,0.007,86.66666666666617,50.33222956847197,39.99999999999934,139.99999999999991,3.3849835942166665e-05,2.0737187817967326e-05,1.032495457814851e-05,4.948085856130799e-05,28.195292261631817,14.221928787734557,18.58491824066732,44.532772705177194,25.291367776272335,13.916395870717807,15.998101924131333,41.291083164018346,43.179872298737365,22.27404464743983,28.15088352796156,68.77004612784367,48.11497687610487,24.46352301636388,30.54237484978512,76.05504258163273,716409.3964910131,247433.4831022999,430891.29673412215,868272.8185909056,1168941.7667389365,346828.98138231627,845731.0309087093,1535343.2711160386,5.0,0.0,5.0,5.0,0.8666666666666667,0.5033222956847165,0.4,1.4,0.7321428571428572,0.15257149545209875,0.5714285714285715,0.875,4.333333333333333,2.516611478423583,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.4946666666664896,0.009237604307340668,0.48399999999946886,0.5
