level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,rare_elements_6pct,6,3,1000.0,0.0,1000.0,1000.0,50000.00000000127,7.183327109045495e-10,50000.000000000706,50000.00000000208,203879.0,199.0,203714.0,204100.0,203879.0,199.0,203714.0,204100.0,802.6666666666666,177.8098235006529,599.0,927.0,0.8026666666666666,0.1778098235006529,0.599,0.927,16053.333333332957,3556.1964700131543,11979.999999999502,18539.999999999618,0.004860756185426065,0.0007101290928970014,0.004061609614939389,0.005419410889252015,22.113686028385246,2.2998413649017073,19.810672046938993,24.41034159229015,16.674851651885547,1.4696067371946122,15.425817039329559,18.294194754213095,47.600716528293255,5.243003710314049,42.4426028387641,52.924675061786566,140.43358144141772,6.209678378654441,136.03103594994172,147.53621118934825,4647.889667402551,1180.7973310234365,3881.820570763738,6007.723039090063,13245.568946017791,4011.7986406120954,10854.116976251353,17877.171302373394,5.0,0.0,5.0,5.0,160.53333333333333,35.56196470013058,119.8,185.4,2.5634160666768175,2.058836865624295,0.26321467098166124,4.233722871452421,700.0,170.69563556224864,503.0,804.0,94.66666666666667,18.717193521821944,81.0,116.0,7.666666666666667,1.1547005383792515,7.0,9.0,0.3333333333333333,0.5773502691896257,0.0,1.0,100.0,0.0,100.0,100.0,0.03661626778340191,0.00429328336545775,0.031796809970617276,0.040031930012240646,0.001657258252319509,4.905119844747229e-05,0.0016048064265190883,0.0017019942853377804,1.0003333333330982,0.06825198409827926,0.9219999999995707,1.0469999999995707
1,rare_elements_8pct,8,3,1000.0,0.0,1000.0,1000.0,50000.00000000143,4.851669060622572e-10,50000.00000000093,50000.0000000019,204016.0,195.08716000803332,203894.0,204241.0,204016.0,195.08716000803332,203894.0,204241.0,277.0,5.291502622129181,273.0,283.0,0.27699999999999997,0.005291502622129155,0.273,0.283,5539.999999999843,105.83005244262401,5459.999999999839,5659.9999999998945,0.001745148886091159,0.0003760709962269017,0.0014346161652751845,0.002163296334027453,22.631083602588905,4.460647267949902,18.78042979996605,27.518963966426966,16.614873892161995,3.274838111152855,13.160642349161208,19.674572865478694,48.83467035039018,11.041833151973707,40.36914451327174,61.32414166769013,131.06710396187069,27.328257327305398,112.62398923002183,162.4634733402636,12939.219044334299,344.51912585132504,12545.208868453383,13183.76794421783,32375.932760977303,2740.6471195037275,30467.48039327636,35516.36657536212,5.0,0.0,5.0,5.0,55.4,1.0583005244258366,54.6,56.6,1.3218217589242325,0.20999444081786428,1.1636363636363636,1.5600706713780919,253.33333333333334,2.516611478423583,251.0,256.0,23.0,3.605551275463989,19.0,26.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.01209555358218016,0.0012658798368421628,0.011271121356001404,0.013553085623423316,0.0005938865658940387,5.1524854654902455e-05,0.0005381003039786584,0.0006396886438710337,0.9580000000002352,0.04992995093131491,0.9220000000004802,1.0150000000003274
2,rare_elements_10pct,10,3,1000.0,0.0,1000.0,1000.0,50000.00000000123,1.047139817187956e-09,50000.00000000031,50000.00000000237,203900.0,254.36391253477763,203621.0,204119.0,203900.0,254.36391253477763,203621.0,204119.0,240.0,5.5677643628300215,234.0,245.0,0.24,0.005567764362830012,0.234,0.245,4799.999999999881,111.35528725650325,4679.999999999971,4899.999999999768,0.0013099579639137139,4.745840194686626e-05,0.001264001088033505,0.0013587873996072635,19.65977419770253,0.9458015990656927,18.57307721192089,20.297239164257878,14.495803099377857,1.4244217682844755,13.629271255806088,16.1397792660282,42.25630483105004,4.0871815225308525,38.62199856685474,46.68093112343922,108.13765412307112,7.825029538954865,102.63232130231336,117.09512272087159,14900.45278608446,419.41875895493814,14646.893507664994,15384.573809140018,38210.26749487498,2293.3799907504367,35749.728712004326,40288.418632467474,5.0,0.0,5.0,5.0,48.0,1.1135528725660062,46.8,49.0,0.5043230825684887,0.30328326687474505,0.15975103734439833,0.7307692307692308,224.0,3.605551275463989,221.0,228.0,14.666666666666666,3.2145502536643185,11.0,17.0,1.3333333333333333,1.1547005383792515,0.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.00906045695816434,0.0007758319758199624,0.00837312906985241,0.00990171565225865,0.0005138902040494137,1.57067360357244e-05,0.000496889488100802,0.0005278616953452433,0.9059999999999491,0.08710912696139153,0.8119999999998981,0.9839999999994689
3,rare_elements_15pct,15,3,1000.0,0.0,1000.0,1000.0,50000.00000000094,8.122502282624657e-10,50000.00000000007,50000.00000000168,203993.66666666666,233.67998060025025,203823.0,204260.0,203993.66666666666,233.67998060025025,203823.0,204260.0,50.333333333333336,13.868429375143148,35.0,62.0,0.050333333333333334,0.013868429375143146,0.035,0.062,1006.6666666666505,277.3685875028721,699.9999999999765,1239.9999999999982,0.0003523285767942466,0.00017099831498544862,0.00015663169917021251,0.0004729250439607292,24.02203957239172,6.8709503892193835,16.110689057507575,28.49526581678654,18.45403714000228,3.778695138114649,14.574403697974049,22.122977978433482,45.90804851872381,15.462342924158635,28.944132861495017,59.21216591387056,107.23659601584465,60.22166806793049,37.947678050084505,146.97356815380044,71710.41286546404,19590.28398631898,56922.52884610896,93928.93214861561,170642.42228458603,50027.08175024686,137146.5745224866,228148.53608459042,5.0,0.0,5.0,5.0,10.066666666666668,2.7736858750286295,7.0,12.4,0.6086931785856516,0.2192550179027993,0.35714285714285715,0.7592592592592592,48.0,15.394804318340652,31.0,61.0,2.3333333333333335,1.5275252316519468,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.002215990114836241,0.00026580165958985493,0.0020292563238815567,0.002520303427034727,0.00011294238028916532,3.501841932318533e-06,0.0001102970312148402,0.00011691354366435794,0.9586666666667346,0.07686568371766167,0.9070000000001528,1.0470000000004802
4,rare_elements_20pct,20,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.910999999999755,0.023895606290902725,0.8899999999994179,0.9369999999998981
5,rare_elements_25pct,25,3,1000.0,0.0,1000.0,1000.0,50000.000000001106,8.233842612525425e-10,50000.00000000015,50000.000000001586,204169.33333333334,229.04657459419326,203943.0,204401.0,204169.33333333334,229.04657459419326,203943.0,204401.0,7.0,2.0,5.0,9.0,0.006999999999999999,0.0019999999999999996,0.005,0.009,139.9999999999973,40.000000000001286,99.99999999999686,179.99999999999943,4.655903725993152e-05,1.2903364274783831e-05,3.172647025911525e-05,5.519721549086676e-05,26.5209722146103,13.535994482186661,12.690588103646101,39.74199515342407,17.833463685625855,7.787207275464598,8.887293833889998,23.090851415880024,54.46338137641555,30.66581815457214,26.437366348318758,87.21936795791626,69.25269323492223,37.98323646772132,38.43693884089589,111.68867087218314,419881.6860762451,58113.159825982766,360717.96375663235,476883.97421897855,1054793.7626117247,314706.2049415216,692839.9715203687,1263736.4455527412,5.0,0.0,5.0,5.0,1.4000000000000001,0.4,1.0,1.8,1.9312169312169314,0.9971720322052657,1.2222222222222223,3.0714285714285716,7.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.00045116338786436414,1.7050035169292057e-05,0.00043933200454512904,0.00047070689944644505,2.599893116486049e-05,1.4964762690579332e-06,2.492647147625076e-05,2.7708538137834522e-05,0.9166666666669698,0.03927255190780823,0.875,0.9530000000004293
6,rare_elements_30pct,30,3,1000.0,0.0,1000.0,1000.0,50000.00000000101,1.456064375972956e-09,49999.99999999953,50000.00000000244,204087.66666666666,358.81099945978985,203839.0,204499.0,204087.66666666666,358.81099945978985,203839.0,204499.0,6.333333333333333,2.516611478423583,4.0,9.0,0.006333333333333333,0.0025166114784235826,0.004,0.009,126.66666666666315,50.33222956846683,80.00000000000077,179.99999999999122,4.307462332857809e-05,2.2159110212801612e-05,1.7519771514926106e-05,5.696485065965034e-05,23.799094437996114,8.582843786445162,15.767794363433495,32.8435486866947,17.288731383140355,5.614696324620156,11.766438392922282,22.99148031830555,48.274704872568456,23.522892308630983,21.11417555245571,62.09097345615737,52.552418561497085,26.893613871240447,21.521398040931672,69.10392647841945,555495.3097941243,235211.43278986405,382178.9870495229,823248.7701605668,1066113.5003958945,39009.67604538817,1021325.0864231251,1092661.4172324021,4.666666666666667,0.5773502691896257,4.0,5.0,1.1666666666666667,0.6506407098647712,0.5,1.8,1.0555555555555556,0.41943524640393054,0.6666666666666666,1.5,6.333333333333333,2.516611478423583,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.00026284628755546486,3.550765664804218e-05,0.00023206277225263085,0.00030169172444565785,1.3119458867882228e-05,5.15288410201357e-07,1.2799247605192301e-05,1.3713869353129072e-05,0.922000000000177,0.06802205524689568,0.8440000000000509,0.9690000000000509
7,rare_elements_35pct,35,3,1000.0,0.0,1000.0,1000.0,50000.00000000043,1.1953847004282783e-09,49999.99999999958,50000.00000000179,203888.66666666666,294.905634624592,203556.0,204118.0,203888.66666666666,294.905634624592,203556.0,204118.0,3.6666666666666665,1.5275252316519468,2.0,5.0,0.0036666666666666666,0.0015275252316519466,0.002,0.005,73.33333333333239,30.550504633037402,40.00000000000008,99.99999999999642,1.2672896849377408e-05,6.773623931902924e-06,5.46180119104166e-06,1.8901811928016184e-05,11.910038806071194,1.9174127685401787,9.831242143874988,13.609304588171653,11.791526654851623,1.8375115937106115,9.831242143874988,13.474813514272682,14.514544068292404,2.3471532943655316,12.472936507640407,17.079047143645585,15.704762868272761,3.1396175209821413,13.133360098581761,19.20363257592544,941743.2505436338,689164.9022683788,369406.23587149783,1706734.2915450719,1333299.2841738348,767504.3240650004,556873.177900725,2091559.3121415,4.333333333333333,0.5773502691896257,4.0,5.0,0.6666666666666666,0.3818813079129867,0.25,1.0,1.0740740740740742,0.12830005981991677,1.0,1.222222222222222,3.3333333333333335,1.5275252316519468,2.0,5.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0001735460856165574,8.375827681524686e-06,0.00016597125146547618,0.0001825412762123565,1.020761777982351e-05,1.1663137942833527e-06,8.956310664510605e-06,1.1264502996928921e-05,0.8849999999999151,0.047791212581405805,0.8429999999998472,0.9369999999998981
8,rare_elements_40pct,40,3,1000.0,0.0,1000.0,1000.0,50000.00000000046,8.533677849566884e-10,49999.99999999985,50000.00000000143,204040.0,222.42077241121163,203785.0,204194.0,204040.0,222.42077241121163,203785.0,204194.0,3.3333333333333335,1.1547005383792515,2.0,4.0,0.0033333333333333335,0.0011547005383792516,0.002,0.004,66.66666666666632,23.09401076758572,39.999999999998856,80.00000000000024,1.428496989333157e-05,9.72503915042384e-06,4.354496103397752e-06,2.379065326500697e-05,14.162821735017738,6.833763620344995,7.838092986115953,21.411587938506273,11.994247085647658,3.63845682690443,7.838092986115953,14.604447623860324,21.407358819112417,13.68423027182443,10.845817424420966,36.86646634810605,25.16179992854207,18.448080162349022,11.597748533997219,46.16859430586919,1086816.1190070554,359454.5084309624,867267.4220318728,1501641.808868061,1895694.0050246066,374405.1011371578,1567203.9777397064,2303352.054961951,4.666666666666667,0.5773502691896257,4.0,5.0,0.5666666666666668,0.2081665999466133,0.4,0.8,0.9722222222222223,0.45896421227384193,0.6666666666666666,1.5000000000000002,3.3333333333333335,1.1547005383792515,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.00011733960487324265,8.65358589532931e-06,0.00010778934219769331,0.00012466010670838097,6.566255231056552e-06,2.947714013775686e-07,6.225925072549372e-06,6.741080404510246e-06,0.9583333333333334,0.06305817419960684,0.8909999999996217,1.0160000000005311
9,rare_elements_50pct,50,3,1000.0,0.0,1000.0,1000.0,50000.000000001186,3.7415216296783264e-10,50000.00000000095,50000.000000001615,203820.66666666666,239.13245980697252,203645.0,204093.0,203820.66666666666,239.13245980697252,203645.0,204093.0,2.0,0.0,2.0,2.0,0.002,0.0,0.002,0.002,39.999999999999055,3.0170886227498025e-13,39.99999999999871,39.99999999999924,1.0807583436016339e-05,3.4674707018805727e-06,7.514360971076207e-06,1.4426342587814563e-05,19.45365018482941,6.241447263385031,13.525849747937173,25.967416658066213,19.45365018482941,6.241447263385031,13.525849747937173,25.967416658066213,28.566015588911252,13.089929288107378,14.940469039883466,41.04488184694201,30.84410693993171,14.823338343742998,15.294123862870038,44.814248144160956,1255118.9951769942,582480.2948670764,604066.5202857546,1726868.6921355461,1828275.0674360998,1086418.2233906349,659902.5706495016,2808041.696636829,5.0,0.0,5.0,5.0,0.4000000000000001,0.0,0.4,0.4,1.5833333333333337,0.7216878364870324,0.7500000000000001,2.0000000000000004,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,5.62746276727482e-05,3.911345826454642e-06,5.39823258635863e-05,6.079088843991656e-05,3.3458216183505625e-06,2.7217226537362765e-07,3.171577448791909e-06,3.659454120262797e-06,0.9273333333333843,0.04789919971499046,0.875,0.9690000000000509
