level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,street_n6,6,3,1000.0,0.0,1000.0,1000.0,50000.00000000082,9.465551999106922e-10,49999.99999999983,50000.00000000172,204086.66666666666,204.80559888180142,203868.0,204274.0,204086.66666666666,204.80559888180142,203868.0,204274.0,30.333333333333332,6.6583281184793925,26.0,38.0,0.030333333333333334,0.006658328118479393,0.026,0.038,606.6666666666564,133.16656236958372,520.0000000000018,759.9999999999858,0.00016477595284103937,2.9597157613278797e-05,0.00013693253528739862,0.00019586011520076783,19.72641786679034,2.2911369607345824,18.25767137165315,22.36641342022407,16.319748630553175,3.7241914826524405,12.030014123534784,18.725835320423357,35.53809608164593,7.3334498525341125,29.69572445880624,43.76771924365312,88.22237052330941,40.327314117937576,57.02691538038198,133.76045460210298,118436.29058984363,24588.028419637092,90427.9912356919,136468.1588557796,306883.2431248826,71867.06519877024,225308.4667449425,360863.12744736567,4.666666666666667,0.5773502691896257,4.0,5.0,6.083333333333333,1.3156113914577254,5.25,7.6,0.8531978093381601,0.5426803517670247,0.2368421052631579,1.259259259259259,29.0,5.196152422706632,26.0,35.0,1.3333333333333333,1.5275252316519468,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0011819771762068192,8.88546336825662e-05,0.0010995914386143523,0.0012761284117440307,0.00012585336226559203,7.59076841441598e-06,0.00012071565135316196,0.00013457223479954904,0.9579999999999321,0.0952522965601961,0.875,1.0619999999998981
1,street_n8,8,3,1000.0,0.0,1000.0,1000.0,50000.000000000226,9.232537512805337e-10,49999.99999999937,50000.0000000012,203948.66666666666,372.71615652307497,203590.0,204334.0,203948.66666666666,372.71615652307497,203590.0,204334.0,20.0,3.0,17.0,23.0,0.02,0.002999999999999999,0.017,0.023,399.9999999999989,60.00000000000702,339.9999999999918,460.00000000000585,0.00010164441581539129,2.7079283303229237e-05,7.440063283589552e-05,0.000128556145563792,18.369654121520433,4.373156616244534,13.392113910461195,21.595016974550056,12.280778836846972,0.46573077186268375,11.969908834435046,12.81624677486252,41.415136249945505,15.89438298911207,26.701181495818325,58.2724326861091,55.751333399598174,14.583721142956998,39.06636881781742,66.06710990425199,166291.99182631695,30668.06340488726,145407.19014148667,201501.28401474416,351877.1058478104,12120.026516971084,337931.9523073477,359871.72093521594,4.666666666666667,0.5773502691896257,4.0,5.0,4.216666666666667,0.9438396756511847,3.4,5.25,0.8351618425147836,0.7869752096094152,0.1746031746031746,1.7058823529411764,19.0,4.58257569495584,14.0,23.0,0.6666666666666666,1.1547005383792515,0.0,2.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.000977448458153074,3.291960312462174e-05,0.0009395712698578884,0.0009991599974896116,6.139073721319634e-05,2.358095751332588e-06,5.9853784326014425e-05,6.410573553937433e-05,0.9373333333336026,0.04119870548142529,0.9059999999999491,0.9840000000003783
2,street_n9,9,3,1000.0,0.0,1000.0,1000.0,50000.00000000102,1.6063451377746784e-09,49999.999999999236,50000.00000000235,204034.66666666666,301.0653306731503,203694.0,204265.0,204034.66666666666,301.0653306731503,203694.0,204265.0,28.333333333333332,5.773502691896257,25.0,35.0,0.028333333333333335,0.005773502691896259,0.025,0.035,566.6666666666575,115.47005383794242,499.9999999999765,700.0000000000108,0.00016856522475251377,9.083546052345875e-06,0.0001595085587190705,0.00017767541428751428,22.085846416214732,4.962433388127851,16.406594611104396,25.58525965740206,15.765403509372845,2.8483215243369595,12.735970444511622,18.389100197236985,49.98112707845869,12.669695856017267,38.72233813852072,63.70069749141118,112.67472088567835,39.143032136566994,73.91623692167923,152.19128904206445,117225.27378152516,20741.092856210038,96379.18487389841,137859.7513282701,282105.3591570686,70886.63195479313,214854.6346986197,356140.12171288335,4.666666666666667,0.5773502691896257,4.0,5.0,5.583333333333333,1.0103629710818451,5.0,6.75,2.0419753086419754,1.4643000609491406,0.9259259259259259,3.7,28.0,6.082762530298219,24.0,35.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009830541012174389,4.1044941747236585e-05,0.00093576165838139,0.0010093939968888453,6.078835236905404e-05,5.387921847756139e-06,5.515905709751101e-05,6.589711811356917e-05,0.9480000000003201,0.02389560629050308,0.9220000000004802,0.9690000000000509
3,street_n10,10,3,1000.0,0.0,1000.0,1000.0,50000.00000000161,3.979223813476075e-10,50000.00000000125,50000.00000000204,203971.66666666666,222.32708636901023,203809.0,204225.0,203971.66666666666,222.32708636901023,203809.0,204225.0,19.666666666666668,1.1547005383792515,19.0,21.0,0.019666666666666666,0.0011547005383792525,0.019,0.021,393.33333333332075,23.094010767584784,379.99999999998454,419.9999999999871,0.00010981292109424295,1.6920844905731598e-05,9.155704897715219e-05,0.00012497056214201823,20.054956104220363,2.344642111852032,17.347651385144626,21.423524938631697,16.88908548358207,1.9821003704768403,14.733147280756384,18.632388882804662,37.10314776510543,4.757252201065395,33.43392705521546,42.478105990123,60.53605436199965,22.81070229833124,39.61719428561628,84.8565489037428,172826.01981023536,16559.055799426395,153705.56979913046,182479.1022233866,380134.4956458607,21705.66504747582,357811.2400837408,401164.7652273117,5.0,0.0,5.0,5.0,3.9333333333333336,0.23094010767585052,3.8,4.2,0.47702589807852963,0.20705278838102567,0.3157894736842105,0.7105263157894738,18.666666666666668,2.0816659994661326,17.0,21.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009716851357285391,3.0735997438790785e-05,0.0009370233420188836,0.000995620696176565,6.117322991157282e-05,1.272724865662862e-06,5.971939236665539e-05,6.208614835719762e-05,0.9166666666666666,0.07216878364870322,0.875,1.0
4,street_n12,12,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.9269999999996799,0.008660254038033421,0.9219999999995707,0.9369999999998981
5,street_n14,14,3,1000.0,0.0,1000.0,1000.0,50000.00000000146,5.722314393606182e-10,50000.00000000082,50000.00000000191,203944.66666666666,139.40707777345213,203797.0,204074.0,203944.66666666666,139.40707777345213,203797.0,204074.0,26.333333333333332,6.3508529610858835,19.0,30.0,0.026333333333333334,0.006350852961085883,0.019,0.03,526.6666666666515,127.0170592217155,379.9999999999873,599.9999999999901,0.00017165142274353187,1.2960364234606317e-05,0.00016083963727635112,0.0001860183428932396,24.322878118781432,5.435223362899885,20.171554567320587,30.474878641834948,19.395952997384786,1.9829484688941528,17.266439764294773,21.18938284169417,48.542954571699134,19.758763333675876,34.25358775620917,71.09118385321925,91.86618245653032,50.5530002757052,60.37095629365649,150.17720568785444,136827.52755067198,40319.8135293061,109418.74949411322,183124.19368753556,349081.4503403038,109918.22010993863,267966.21046988975,474180.50099270896,5.0,0.0,5.0,5.0,5.266666666666667,1.2701705922171769,3.8,6.0,0.8728070175438596,0.6279286569956756,0.16666666666666666,1.368421052631579,26.0,6.928203230275509,18.0,30.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009342852764355492,2.9628282007306408e-05,0.0009093942602112585,0.0009670571978613131,4.270260842521691e-05,1.8671640432823347e-06,4.0613547291031354e-05,4.420884154564131e-05,0.9219999999998739,0.06802205524668845,0.8440000000000509,0.9690000000000509
6,street_n15,15,3,1000.0,0.0,1000.0,1000.0,50000.0000000014,7.623222336357427e-10,50000.00000000059,50000.0000000021,204101.33333333334,595.8408624232928,203429.0,204564.0,204101.33333333334,595.8408624232928,203429.0,204564.0,24.0,2.0,22.0,26.0,0.023999999999999997,0.002,0.022,0.026,479.99999999998636,39.99999999999568,439.9999999999867,519.9999999999781,0.00015696578495194276,8.291956519958135e-06,0.0001473994754555679,0.00016209655283790298,23.59141707835276,0.9945977343354647,22.444138085248106,24.21019898435361,18.45982395640264,1.1495445433227784,17.73143650672864,19.7850283208536,44.797637628573774,6.90440867257042,37.06154602201423,50.33467238000594,72.71424266238076,18.48864397922913,53.209896431304514,89.98408262105659,145617.00055485283,12646.08570725703,136643.66944229463,160080.28779753394,307856.0214003037,61594.41977312845,267385.6753186974,378741.8199378825,5.0,0.0,5.0,5.0,4.8,0.3999999999999999,4.4,5.2,0.5765831390831392,0.7210336413753957,0.03846153846153846,1.3958333333333335,23.333333333333332,1.1547005383792515,22.0,24.0,0.6666666666666666,1.1547005383792515,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.000927886334914594,1.4403811452424362e-05,0.0009174028309926939,0.0009443103001402167,4.1521050126512375e-05,6.037879869648892e-07,4.098171755427808e-05,4.217333922376141e-05,0.9216666666667758,0.0465008960486399,0.875,0.9679999999998472
7,street_n16,16,3,1000.0,0.0,1000.0,1000.0,50000.00000000043,9.850887100753628e-10,49999.99999999929,50000.000000001,204240.33333333334,378.0639275748658,203844.0,204597.0,204240.33333333334,378.0639275748658,203844.0,204597.0,28.666666666666668,2.516611478423583,26.0,31.0,0.028666666666666663,0.002516611478423584,0.026,0.031,573.333333333329,50.33222956848049,519.9999999999897,620.0000000000089,0.00018452706904667469,4.15158489383408e-05,0.00014641452629379374,0.00022876550229920315,22.995150052911285,3.2314842398705057,20.272780563756058,26.566316396036495,18.717298338538967,0.8406163412303475,17.74767305981368,19.24091751454398,45.078797578636966,8.413691359054333,40.02092307498678,54.79130159178749,97.63717478482674,50.46963790589988,49.04273744672537,149.79332102113403,123229.8015688203,12623.802867646596,115420.17280090699,137793.7750529001,242186.91691506302,9609.853483530904,235320.09588864818,253169.12605575557,4.666666666666667,0.5773502691896257,4.0,5.0,5.416666666666667,0.3329164059239695,5.2,5.8,1.5288970288970287,0.22726727433250535,1.3174603174603174,1.769230769230769,27.333333333333332,3.511884584284246,24.0,31.0,1.3333333333333333,1.1547005383792515,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009304888116432542,3.0726178605354095e-05,0.000912210049848129,0.0009659628313671975,4.2932700798606024e-05,1.057526736871708e-06,4.18754222608974e-05,4.3990475560008376e-05,0.9270000000002862,0.05467174773152185,0.875,0.9840000000003783
8,street_n18,18,3,1000.0,0.0,1000.0,1000.0,50000.000000001455,4.6374361020279294e-10,50000.00000000097,50000.00000000189,204078.66666666666,212.76826204425635,203833.0,204204.0,204078.66666666666,212.76826204425635,203833.0,204204.0,20.0,3.605551275463989,17.0,24.0,0.02,0.003605551275463989,0.017,0.024,399.9999999999881,72.111025509275,339.99999999998977,479.99999999998187,0.00011972150419093615,4.8481222379243586e-05,8.799400663388143e-05,0.0001755283793801613,21.085144111023666,4.881758851818449,16.672548625367007,26.3292569070242,16.648288155692473,3.2411164410141176,13.065914618317038,19.37744382751407,39.37753749308953,11.523501345786066,29.535018227179528,52.05345341381616,86.1288715749203,44.08747319965274,37.74281880189665,124.02582863532007,162450.75724105843,15351.697967525844,148318.85853565138,178784.4846295817,355757.71882198524,22078.30690883335,336698.489212928,379950.5856871096,5.0,0.0,5.0,5.0,4.0,0.7211102550927978,3.4,4.8,0.4670837633298934,0.28245189622387956,0.14583333333333334,0.676470588235294,20.0,3.605551275463989,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0008284287201536922,0.0001128009902241359,0.0007008184950769529,0.0009148344131590226,3.259019429990187e-05,2.161097339023424e-06,3.018959663131529e-05,3.438056925972189e-05,0.9373333333336026,0.04119870548142529,0.9059999999999491,0.9840000000003783
9,street_n20,20,3,1000.0,0.0,1000.0,1000.0,50000.00000000056,7.511288364523771e-10,49999.99999999974,50000.00000000121,204219.0,282.62342436535585,203985.0,204533.0,204219.0,282.62342436535585,203985.0,204533.0,18.333333333333332,7.094598884597588,12.0,26.0,0.018333333333333333,0.007094598884597587,0.012,0.026,366.6666666666627,141.89197769195,239.9999999999942,519.9999999999923,0.00010421077943326559,6.599976128933529e-05,4.451091725288279e-05,0.00017508403720452607,20.526487201574255,9.786894107447226,9.425841300610474,27.91121515271637,15.571508752279138,7.805398725648558,6.8529192809946835,21.90916075842688,34.52077893469347,17.387851561134262,17.657006839849057,52.38915134950366,80.27446819500376,42.25849391743607,31.797824279405177,109.33892257744446,207900.86162291118,80822.46620286314,130537.52972657722,291787.1423967374,423092.0728154113,206455.7622515154,284648.85290339304,660388.3325915188,4.666666666666667,0.5773502691896257,4.0,5.0,3.6999999999999997,1.4106735979665885,2.4,5.2,0.6085164835164836,0.1755706113844447,0.4761904761904762,0.8076923076923077,18.333333333333332,7.094598884597588,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.00082488577280388,0.0001099381674836369,0.0006988019877636854,0.0009007167244024895,3.128925096671369e-05,2.5612208971455576e-06,2.833293307653127e-05,3.2838056094402594e-05,0.9116666666668607,0.05907904309778818,0.8440000000000509,0.9530000000004293
