study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
layer_mean_duration_study,0,street_x0.25,0.25,1,cbfdc86564fb80df8a881cb7d8aeee191f02000a3a182404937fc471577ab1bc,1000.0,50000.00000000117,233386,233386,21,0.021,419.99999999999017,0.00010180360111644808,17.452045905676815,13.284446550766006,32.79688950115815,54.74614837486297,170449.42615701962,349208.7700362891,5,4.2,0.8809523809523809,21,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.9690000000000509
layer_mean_duration_study,0,street_x0.25,0.25,2,313e546387ed2dfc57f8b40e660eb2bc62a81d8a760a6151c8b72759a415719d,1000.0,50000.000000001986,233183,233183,30,0.03,599.9999999999761,0.0001160635317400536,13.927623808806432,8.250102500547655,31.059301821450944,85.67411806597374,119959.70830944966,247642.9002205238,5,6.0,1.9166666666666667,27,3,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.0460000000002765
layer_mean_duration_study,0,street_x0.25,0.25,3,fa0a1f00cb172794e5e0a875396a3359669178887342b403a08b2e54fe1cec2c,1000.0,50000.00000000154,233454,233454,30,0.03,599.9999999999815,0.00016880930542269198,20.257116650723038,15.950518578407355,39.315717352763755,79.74993873096537,119676.88713233215,290699.5158187222,5,6.0,0.4166666666666667,30,0,0,0,100,0.000997249832160345,6.160850492514242e-05,0.9380000000001019
layer_mean_duration_study,1,street_x0.4,0.4,1,fe23d311b7b37440e2224267882e27b8b60c3f1110be981951dbd1ed72205579,1000.0,49999.99999999943,218459,218459,17,0.017,340.00000000000387,9.597255033081536e-05,20.323598893584432,12.519647818131489,48.70686598838074,77.34985547044198,201463.78160274937,539426.9197190152,4,3.25,1.512820512820513,17,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.9529999999995198
layer_mean_duration_study,1,street_x0.4,0.4,2,ce9080b8c891c3ca94e362f4b078930946e9f89d9b31ea8e8c18248f0bc16916,1000.0,49999.99999999904,218559,218559,19,0.019,380.00000000000733,0.00011208540902153295,21.23723539355361,16.648233564570546,37.14253660910763,73.78480375232175,180035.15961886419,318181.62065883604,4,3.75,1.4888888888888887,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.0
layer_mean_duration_study,1,street_x0.4,0.4,3,254b9c023c580980ec01faf00d60f300fa382ace41b67458c45f5055fff22d2f,1000.0,50000.00000000008,219038,219038,39,0.039,779.9999999999987,0.00018839618564623178,17.39041713657524,14.778866356704384,34.22994131839951,68.49986813240685,85167.08686929358,268552.5693811226,5,7.8,0.2820512820512821,39,0,0,0,100,0.000997249832160345,6.160850492514242e-05,1.0619999999998981
layer_mean_duration_study,2,street_x0.55,0.55,1,d0b601c34c106ffba27e9c75bcce80d915f80d6c702d30b00d54a793408dc745,1000.0,50000.00000000096,212416,212416,30,0.03,599.9999999999885,0.00019687635089871036,23.625162107845245,24.62393115228042,38.367334085074255,44.07143919356167,116773.81554216705,236835.83887648283,5,6.0,3.4166666666666665,30,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.110000000000582
layer_mean_duration_study,2,street_x0.55,0.55,2,111522fc9da25d51318a5f4126e410c2c82ff5852c0a2ac814e091429231ccda,1000.0,49999.99999999967,211693,211693,24,0.024,480.0000000000032,0.00012995017218046996,19.492525827070494,15.091429559804965,41.2458882510662,70.33010313427076,144338.1514591285,337242.18375265715,4,4.75,1.8771929824561402,22,2,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.110000000000582
layer_mean_duration_study,2,street_x0.55,0.55,3,49ed3ff7eaca80dd389908514346650446a07b8c6bec1503fa536f0439bcbff4,1000.0,50000.0000000009,212187,212187,22,0.022,439.99999999999204,0.00011090099116708088,18.147434918249598,13.6691493835242,40.1653630728368,60.99120921315625,155204.1592179495,269092.46325607377,5,4.4,0.06818181818181818,21,1,0,0,100,0.000997249832160345,6.160850492514242e-05,1.0320000000001528
layer_mean_duration_study,3,street_x0.7,0.7,1,0ee6cc8317794eb93becad1ccba15e638b83dcd46a48ef3c4d1bf7b6b8eac75f,1000.0,50000.00000000068,207944,207944,35,0.035,699.9999999999906,0.00018976669042622234,19.518859586697154,14.969994168262929,41.04538290044293,71.0152294212021,95022.75711302596,220798.5024486899,5,7.0,0.7857142857142857,34,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.9059999999999491
