level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,street_x0.25,0.25,3,1000.0,0.0,1000.0,1000.0,50000.00000000157,4.079946331205896e-10,50000.00000000117,50000.000000001986,233341.0,140.99290762304324,233183.0,233454.0,233341.0,140.99290762304324,233183.0,233454.0,27.0,5.196152422706632,21.0,30.0,0.027,0.005196152422706631,0.021,0.03,539.9999999999826,103.92304845412608,419.99999999999017,599.9999999999815,0.00012889214609306456,3.5296899468050405e-05,0.00010180360111644808,0.00016880930542269198,17.212262121735428,3.171552002766047,13.927623808806432,20.257116650723038,12.495022543240339,3.910434073192317,8.250102500547655,15.950518578407355,34.39063622512428,4.352829059535929,31.059301821450944,39.315717352763755,73.39006839060069,16.415565490206372,54.74614837486297,85.67411806597374,136695.3405329338,29232.237669961974,119676.88713233215,170449.42615701962,295850.3953585117,50978.47730055611,247642.9002205238,349208.7700362891,5.0,0.0,5.0,5.0,5.3999999999999995,1.0392304845413263,4.2,6.0,1.0714285714285714,0.7679263534700066,0.4166666666666667,1.9166666666666667,26.0,4.58257569495584,21.0,30.0,1.0,1.7320508075688772,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.9843333333334764,0.05560875230883069,0.9380000000001019,1.0460000000002765
1,street_x0.4,0.4,3,1000.0,0.0,1000.0,1000.0,49999.99999999951,5.253993797162588e-10,49999.99999999904,50000.00000000008,218685.33333333334,309.48397912223714,218459.0,219038.0,218685.33333333334,309.48397912223714,218459.0,219038.0,25.0,12.165525060596439,17.0,39.0,0.024999999999999998,0.01216552506059644,0.017,0.039,500.00000000000335,243.310501211925,340.00000000000387,779.9999999999987,0.00013215138166619336,4.9371191345373335e-05,9.597255033081536e-05,0.00018839618564623178,19.650417141237764,2.0098216162945723,17.39041713657524,21.23723539355361,14.648915913135474,2.067358315523159,12.519647818131489,16.648233564570546,40.026447971962625,7.657221789701596,34.22994131839951,48.70686598838074,73.2115091183902,4.4527597087442965,68.49986813240685,77.34985547044198,155555.34269696905,61892.45817447211,85167.08686929358,201463.78160274937,375387.0365863246,144213.63710246538,268552.5693811226,539426.9197190152,4.333333333333333,0.5773502691896257,4.0,5.0,4.933333333333334,2.4951619853895926,3.25,7.8,1.0945868945868946,0.7037782121414163,0.2820512820512821,1.512820512820513,25.0,12.165525060596439,17.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.004999999999806,0.05467174773152185,0.9529999999995198,1.0619999999998981
2,street_x0.55,0.55,3,1000.0,0.0,1000.0,1000.0,50000.00000000052,7.273167962312194e-10,49999.99999999967,50000.00000000096,212098.66666666666,369.5055254435762,211693.0,212416.0,212098.66666666666,369.5055254435762,211693.0,212416.0,25.333333333333332,4.163331998932265,22.0,30.0,0.025333333333333333,0.004163331998932265,0.022,0.03,506.66666666666123,83.26663997864155,439.99999999999204,599.9999999999885,0.0001459091714154204,4.515482103476478e-05,0.00011090099116708088,0.00019687635089871036,20.42170761772178,2.8546292037613754,18.147434918249598,23.625162107845245,17.79483669853653,5.95677081299734,13.6691493835242,24.62393115228042,39.92619513632575,1.4541043628394101,38.367334085074255,41.2458882510662,58.4642505136629,13.310465739014647,44.07143919356167,70.33010313427076,138772.04207308168,19810.578210460357,116773.81554216705,155204.1592179495,281056.8286284046,51261.27243758475,236835.83887648283,337242.18375265715,4.666666666666667,0.5773502691896257,4.0,5.0,5.05,0.841130192063036,4.4,6.0,1.7873471557682084,1.676049491979004,0.06818181818181818,3.4166666666666665,24.333333333333332,4.932882862316247,21.0,30.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.084000000000439,0.045033320997038655,1.0320000000001528,1.110000000000582
3,street_x0.7,0.7,3,1000.0,0.0,1000.0,1000.0,50000.00000000098,1.3218835162851597e-09,49999.99999999984,50000.00000000243,208107.66666666666,354.10497501917894,207865.0,208514.0,208107.66666666666,354.10497501917894,207865.0,208514.0,25.666666666666668,8.32666399786453,19.0,35.0,0.025666666666666667,0.008326663997864534,0.019,0.035,513.3333333333231,166.53327995728844,380.0000000000012,699.9999999999906,0.00015469181701973766,3.14363959731222e-05,0.00012905734793306996,0.00018976669042622234,22.235611500319923,2.504677378197853,19.518859586697154,24.452971187318518,17.308323569130152,3.1761988757303645,14.969994168262929,20.924404902383685,46.14897086651374,4.465768989724068,41.04538290044293,49.33961935099215,87.34502523815415,17.53429438115057,71.0152294212021,105.87596414005384,144910.90162633537,46016.272261583115,95022.75711302596,185694.07394001703,293948.57398398506,64089.3331224201,220798.5024486899,340231.4877825122,4.666666666666667,0.5773502691896257,4.0,5.0,4.95,1.899341991322258,3.25,7.0,1.295163773424643,0.44275063224218497,0.7857142857142857,1.5869565217391306,25.0,8.18535277187245,18.0,34.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.9843333333334764,0.09783830197488844,0.9059999999999491,1.094000000000051
4,street_x0.85,0.85,3,1000.0,0.0,1000.0,1000.0,50000.000000000466,1.5245923825416227e-09,49999.999999998836,50000.000000001855,205814.0,291.2438840559575,205597.0,206145.0,205814.0,291.2438840559575,205597.0,206145.0,21.333333333333332,6.6583281184793925,14.0,27.0,0.021333333333333333,0.006658328118479393,0.014,0.027,426.66666666666424,133.16656236959167,279.9999999999896,539.9999999999924,0.0001308804487646315,4.114823050493905e-05,8.754237542299557e-05,0.00016941766325535151,22.11233084673297,0.7590003224983694,21.237074235476978,22.589021767380203,15.20553721576774,1.4690358235605931,14.354929002933204,16.901831291499548,47.611313272802626,3.305882476470384,44.304479095594445,50.916243225894874,97.75298856924444,13.459412235313104,82.55966531531885,108.1830181737896,166990.11960107423,49486.30709401248,128033.71780124924,222671.82390757508,400929.7311089051,74035.3930932965,331003.79203319305,478483.91703892103,4.666666666666667,0.5773502691896257,4.0,5.0,4.233333333333333,1.3203534880225576,2.8,5.4,1.511463844797178,1.2684083994038393,0.07142857142857142,2.462962962962963,21.333333333333332,6.6583281184793925,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.9270000000002862,0.04992995093131491,0.8910000000005311,0.9840000000003783
5,street_x1,1,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.0623333333332994,0.08258530942807055,1.0,1.155999999999949
6,street_x1.25,1.25,3,1000.0,0.0,1000.0,1000.0,50000.00000000151,3.962113571792169e-10,50000.00000000107,50000.000000001826,201919.0,252.7983386021356,201693.0,202192.0,201919.0,252.7983386021356,201693.0,202192.0,22.0,6.244997998398398,17.0,29.0,0.022000000000000002,0.006244997998398398,0.017,0.029,439.9999999999866,124.89995996796355,339.99999999998755,579.9999999999808,0.0001332258870626041,2.8410196368893012e-06,0.00013055503486793945,0.00013621095069372435,22.82666525877838,5.452472080519819,16.908945603358884,27.646948560269532,17.598351502267178,5.991394137065033,10.69071718835039,21.38420005014632,48.88925153852131,9.50092710727374,40.08838477255776,58.962089528329685,73.43335969094187,16.469196712865145,63.6998616871424,92.44856100482866,162783.99199557013,41920.23291407528,118278.82701370612,201522.13316745436,364847.30183467525,54879.81126509462,310641.263151652,420376.94095788704,5.0,0.0,5.0,5.0,4.3999999999999995,1.2489995996796797,3.4,5.8,0.7641142663962137,0.3172112742594183,0.5294117647058824,1.125,22.0,6.244997998398398,17.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.8953333333335346,0.08834213792569266,0.7970000000004802,0.9679999999998472
7,street_x1.5,1.5,3,1000.0,0.0,1000.0,1000.0,50000.00000000076,1.0019445399691322e-09,49999.9999999996,50000.000000001346,200667.0,391.05370475166194,200366.0,201109.0,200667.0,391.05370475166194,200366.0,201109.0,27.666666666666668,1.5275252316519468,26.0,29.0,0.02766666666666667,0.0015275252316519481,0.026,0.029,553.3333333333245,30.55050463302818,520.0000000000042,579.9999999999843,0.00016363017805624957,1.6408532624030183e-05,0.0001484795481973318,0.00018105860183684853,21.260084477695553,1.057346198532838,20.55870667347671,22.476240228022576,17.190087891816802,1.4289936572840705,16.32474734882271,18.839480062946677,42.51238631334854,3.381436144458218,38.68448772566626,45.09304746463894,74.85146021819673,16.007518882124074,56.37005476094782,84.35465105157346,128038.92123422601,6045.208166663044,122950.90235059938,134721.6007109882,301469.7940598657,14978.605458502761,285741.3477069617,315564.63542188756,4.666666666666667,0.5773502691896257,4.0,5.0,5.466666666666666,0.4163331998932264,5.0,5.8,0.8700191570881226,0.2918352569394865,0.5517241379310345,1.125,27.333333333333332,1.1547005383792515,26.0,28.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.8333333333336365,0.04972256362389582,0.7970000000004802,0.8900000000003274
8,street_x2,2,3,1000.0,0.0,1000.0,1000.0,50000.00000000032,3.991400508126769e-10,50000.00000000008,50000.00000000078,199085.66666666666,341.5616098646529,198800.0,199464.0,199085.66666666666,341.5616098646529,198800.0,199464.0,22.333333333333332,4.618802153517006,17.0,25.0,0.022333333333333334,0.004618802153517006,0.017,0.025,446.6666666666636,92.3760430703379,339.9999999999995,499.9999999999991,0.00011816996289623132,5.243694048685259e-05,7.212073165187172e-05,0.00017524210345010538,18.645554713193707,5.707045097471128,15.272625526278716,25.234862896815176,15.901019474724308,1.868668754242582,14.381264755968004,17.98742693522945,35.21110039815152,10.610026546137355,28.45603076608387,47.44015706125647,73.80933094098388,40.59445898012349,43.707027094089426,119.97797918436117,160688.15743759042,42141.327445583935,133736.43279398754,209250.9814820529,358419.1045608646,72184.2634339595,280891.1068285025,423690.1791467739,5.0,0.0,5.0,5.0,4.466666666666667,0.9237604307034013,3.4,5.0,1.2078431372549019,0.38829470727800985,0.823529411764706,1.6,22.333333333333332,4.618802153517006,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.9216666666664727,0.08258530942824309,0.8279999999995198,0.9839999999994689
9,street_x3,3,3,1000.0,0.0,1000.0,1000.0,50000.00000000072,9.461822687456113e-10,49999.99999999962,50000.0000000013,197564.0,323.7638027945681,197315.0,197930.0,197564.0,323.7638027945681,197315.0,197930.0,21.0,11.357816691600547,13.0,34.0,0.021,0.01135781669160055,0.013,0.034,419.9999999999968,227.1563338320179,259.9999999999937,680.0000000000051,0.00014698328073371362,0.0001230477630067849,3.7778297207227704e-05,0.00028030334144257926,22.59540181060146,10.557200361852836,10.461682303539979,29.679177329214273,16.735807883126352,8.597390007418584,6.853664896218106,22.496972316061147,42.513051810883915,17.385256192017582,22.438634357135747,52.652514053951016,73.59780004085042,40.050902752297056,27.353227177169174,97.11305182194337,196137.6786534303,88020.90648833485,97630.4386784777,267068.99993546295,445379.89748790645,170522.5969926851,248911.3436528354,554929.5003219388,4.666666666666667,0.5773502691896257,4.0,5.0,4.016666666666667,1.957251474219226,2.6,6.25,0.7356837606837607,0.7899444917346505,0.11538461538461538,1.625,20.333333333333332,11.015141094572204,13.0,33.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,0.8803333333332072,0.05050082507592018,0.8440000000000509,0.9380000000001019
