study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
minimum_duration_study,0,0.001_seconds,0.001,1,db55ab0875238e5e063924fcd6d2e6b3b21f1e4ba7ad409da86d68db3e1ff965,1000.0,49999.99999999888,204053,204053,33,0.033,660.0000000000148,0.00017187899172513022,18.750435460923295,15.606820977525786,39.28340297974646,48.20439928455744,101509.77556873692,243231.15370248834,4,6.5,1.0769230769230769,32,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.280999999999949
minimum_duration_study,0,0.001_seconds,0.001,2,cfb7310528c228a2d299112d50832fa8e146d858ea9de7da4428312ee11d1fdc,1000.0,50000.00000000034,203830,203830,23,0.023,459.9999999999969,0.00013890758115328935,21.742056180514854,15.019023687811568,35.37179260626435,56.750599808525294,132112.1398996412,403378.59116393427,5,4.6,2.7826086956521743,23,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.2969999999995707
minimum_duration_study,0,0.001_seconds,0.001,3,30c750cb94dbf71b3f441bf82933829bcdfc7bfab39c1b6e9d5446b99c00f6bf,1000.0,49999.99999999928,204235,204235,15,0.015,300.0000000000043,7.714067253753052e-05,18.513761409007323,20.05301214242354,27.66876741228625,46.49509204557398,196769.27786167423,342557.51919483196,4,3.25,1.3076923076923077,15,0,0,0,100,0.000997249832160345,6.160850492514242e-05,1.375
minimum_duration_study,1,0.01_seconds,0.01,1,a1cf0dee9b3d37e2865a32f34df8319cf09c94ef1e27741ecc5d5616c5628e44,1000.0,49999.99999999888,204053,204053,33,0.033,660.0000000000148,0.00017187899172513022,18.750435460923295,15.606820977525786,39.28340297974646,48.20439928455744,101509.77556873692,243231.15370248834,4,6.5,1.0769230769230769,32,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.344000000000051
minimum_duration_study,1,0.01_seconds,0.01,2,84dda2c0d809ffe160a0842bd2b54b973b9cfc56c205794943867504fd8f9013,1000.0,49999.99999999971,203757,203757,26,0.026,520.000000000003,0.0001158297804169989,16.037969596199847,13.117710290876857,27.214334294083528,63.11419111955911,134792.08203091382,401675.7034312171,4,5.25,2.9682539682539684,25,1,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.0780000000004293
minimum_duration_study,1,0.01_seconds,0.01,3,9ee37aa57f27ecfaa980169fd333de82a609b2b86b8034ae390c78621bb8f119,1000.0,49999.99999999931,204235,204235,15,0.015,300.00000000000415,7.714067253753052e-05,18.513761409007323,20.05301214242354,27.66876741228625,46.49509204557398,196769.27786167423,342557.51919483196,4,3.25,1.3076923076923077,15,0,0,0,100,0.000997249832160345,6.160850492514242e-05,1.1090000000003783
minimum_duration_study,2,0.1_seconds,0.1,1,272c0d8e535b70d09bf87632b597bf5609a32e0a37b9d6ade045f524586d6922,1000.0,49999.999999999105,203909,203909,18,0.018,360.0000000000064,0.00011321089500925155,22.64217900185031,22.88197502255207,32.82379499873496,48.80514225712977,195248.16304937855,490510.6049216194,4,3.25,0.28205128205128205,18,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.25
minimum_duration_study,2,0.1_seconds,0.1,2,14782dc157209b09e356f0bcfd4dd804104d04dae0061342477cb27baf73fd37,1000.0,50000.00000000118,203773,203773,26,0.026,519.9999999999877,0.00014860989717258537,20.576754993127206,19.437676280736923,32.87327374785673,48.18392012442928,123758.8901865465,277042.8361683674,5,5.2,2.25,26,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.4529999999995198
minimum_duration_study,2,0.1_seconds,0.1,3,bc436aa3e926cded77b22552bd825bb3d11ca7522b22a0c8c9ad7259390116e3,1000.0,49999.99999999983,204301,204301,22,0.022,440.0000000000015,9.428008526689761e-05,15.427650316401428,8.486179096333217,34.79197416042444,38.60051579494029,163028.2925412709,342882.64995432884,4,4.5,3.0370370370370368,21,1,0,0,100,0.000997249832160345,6.160850492514242e-05,1.3590000000003783
minimum_duration_study,3,0.5_seconds,0.5,1,2cb1f32d3c13e9a6a3013c2845b755feefb23fe8424488a95aefc00385b0b89d,1000.0,50000.00000000035,203930,203930,23,0.023,459.99999999999676,0.00011626929131060024,18.1986716833983,17.082059901673347,33.93477936070413,45.22409310564399,142045.47163509394,338608.9659089869,5,4.6,0.717391304347826,23,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.0159999999996217
