level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,0.001_seconds,0.001,3,1000.0,0.0,1000.0,1000.0,49999.9999999995,7.558012240823332e-10,49999.99999999888,50000.00000000034,204039.33333333334,202.84558987893558,203830.0,204235.0,204039.33333333334,202.84558987893558,203830.0,204235.0,23.666666666666668,9.018499505645789,15.0,33.0,0.02366666666666667,0.00901849950564579,0.015,0.033,473.33333333333866,180.36999011292147,300.0000000000043,660.0000000000148,0.0001293090818053167,4.809298985218796e-05,7.714067253753052e-05,0.00017187899172513022,19.668751016815158,1.7994302926427717,18.513761409007323,21.742056180514854,16.89295226925363,2.7524280580903127,15.019023687811568,20.05301214242354,34.10798766609902,5.90955514707475,27.66876741228625,39.28340297974646,50.48336371288557,5.494462577739281,46.49509204557398,56.750599808525294,143463.73111001743,48633.70396679807,101509.77556873692,196769.27786167423,329722.4213537515,80841.54398457216,243231.15370248834,403378.59116393427,4.333333333333333,0.5773502691896257,4.0,5.0,4.783333333333333,1.6327379867367984,3.25,6.5,1.722408026755853,0.9253824632083812,1.0769230769230769,2.7826086956521743,23.333333333333332,8.504900548115382,15.0,32.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.3176666666665067,0.05029247790021956,1.280999999999949,1.375
1,0.01_seconds,0.01,3,1000.0,0.0,1000.0,1000.0,49999.9999999993,4.1481467419892974e-10,49999.99999999888,49999.99999999971,204015.0,241.25505176057973,203757.0,204235.0,204015.0,241.25505176057973,203757.0,204235.0,24.666666666666668,9.073771725877465,15.0,33.0,0.024666666666666667,0.009073771725877467,0.015,0.033,493.3333333333406,181.4754345175541,300.00000000000415,660.0000000000148,0.00012161648155988654,4.763351460065385e-05,7.714067253753052e-05,0.00017187899172513022,17.76738882204349,1.5023886966264075,16.037969596199847,18.750435460923295,16.25918113694206,3.5133720662935675,13.117710290876857,20.05301214242354,31.38883489537208,6.840671114287458,27.214334294083528,39.28340297974646,52.60456081656351,9.141645346355482,46.49509204557398,63.11419111955911,144357.045153775,48344.69550975373,101509.77556873692,196769.27786167423,329154.7921095125,80068.0563937802,243231.15370248834,401675.7034312171,4.0,0.0,4.0,4.0,5.0,1.6393596310755,3.25,6.5,1.7842897842897845,1.0318149064391045,1.0769230769230769,2.9682539682539684,24.0,8.54400374531753,15.0,32.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.1770000000002863,0.14545446022704248,1.0780000000004293,1.344000000000051
2,0.1_seconds,0.1,3,1000.0,0.0,1000.0,1000.0,50000.00000000004,1.052082672770677e-09,49999.999999999105,50000.00000000118,203994.33333333334,274.1483783160742,203773.0,204301.0,203994.33333333334,274.1483783160742,203773.0,204301.0,22.0,4.0,18.0,26.0,0.022000000000000002,0.004,0.018,0.026,439.9999999999986,79.99999999999065,360.0000000000064,519.9999999999877,0.0001187002924829115,2.757774880034121e-05,9.428008526689761e-05,0.00014860989717258537,19.548861437126316,3.7154784227798054,15.427650316401428,22.64217900185031,16.93527679987407,7.5170630873168705,8.486179096333217,22.88197502255207,33.496347635672045,1.122318183665016,32.82379499873496,34.79197416042444,45.196526058833115,5.720751068310334,38.60051579494029,48.80514225712977,160678.44859239864,35802.51888557776,123758.8901865465,195248.16304937855,370145.36368143855,109314.06013842739,277042.8361683674,490510.6049216194,4.333333333333333,0.5773502691896257,4.0,5.0,4.316666666666666,0.9878427675158297,3.25,5.2,1.8563627730294396,1.4190487403138807,0.28205128205128205,3.0370370370370368,21.666666666666668,4.041451884327381,18.0,26.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.3539999999999661,0.1015923225443456,1.25,1.4529999999995198
3,0.5_seconds,0.5,3,1000.0,0.0,1000.0,1000.0,49999.999999999876,4.115260014770108e-10,49999.9999999996,50000.00000000035,203851.66666666666,339.3498686213586,203480.0,204145.0,203851.66666666666,339.3498686213586,203480.0,204145.0,25.0,5.291502622129181,21.0,31.0,0.024999999999999998,0.005291502622129181,0.021,0.031,500.00000000000136,105.83005244258523,420.00000000000335,620.000000000004,0.0001387112638869345,2.027665701349229e-05,0.00011626929131060024,0.0001557124940977317,20.54415836143676,5.375240676418241,16.740232984157984,26.693570416754007,15.63246841627794,1.8715407121269703,13.51962439226918,17.082059901673347,45.50364127939101,22.313578668949148,31.350247170659713,71.2258973068092,69.98370290578653,45.06232799349202,42.72975077852607,121.99726483318955,139744.30253521787,32608.54629207454,106046.12580302004,171141.31016753966,345685.47094420856,41378.26452731099,308301.8090068848,390145.637916754,4.333333333333333,0.5773502691896257,4.0,5.0,5.116666666666666,0.982768199187038,4.5,6.25,1.5255501878690285,0.9691424143185484,0.717391304347826,2.6,24.333333333333332,5.131601439446884,20.0,30.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.1823333333334933,0.1570233528283856,1.0159999999996217,1.3280000000004293
4,1_seconds,1,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.4006666666667418,0.0772031950981378,1.3119999999998981,1.4530000000004293
5,2_seconds,2,3,1000.0,0.0,1000.0,1000.0,50000.0000000012,2.8379343908571316e-10,50000.00000000087,50000.0000000014,203833.66666666666,277.1016660601905,203539.0,204089.0,203833.66666666666,277.1016660601905,203539.0,204089.0,23.333333333333332,5.507570547286102,17.0,27.0,0.023333333333333334,0.005507570547286101,0.017,0.027,466.66666666665566,110.15141094572054,339.999999999991,539.9999999999906,0.00014052965078680305,3.120479620880203e-05,0.00011889562459107159,0.00017630094186169446,22.061724474349862,4.037552768960614,17.500484202596734,25.177896972226925,18.49675004405435,1.015336810672915,17.459597686422057,19.48876584880054,39.54573398184924,7.20072369810574,32.312749391421676,46.71375724446844,81.70753706828691,26.987232923461754,62.71959339547902,112.60020599525888,157012.5257095102,46918.351173644514,129621.27101410746,211188.0375865937,421313.717637816,97082.9292276119,364123.04008400196,533407.6489065444,5.0,0.0,5.0,5.0,4.666666666666667,1.1015141094572207,3.4,5.4,1.8616976705211998,1.1351338721461464,0.611111111111111,2.8269230769230766,22.666666666666668,5.131601439446884,17.0,27.0,0.6666666666666666,1.1547005383792515,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.176999999999983,0.11658044432932753,1.0630000000001019,1.2960000000002765
6,5_seconds,5,3,1000.0,0.0,1000.0,1000.0,50000.00000000389,7.055178113627201e-10,50000.00000000337,50000.00000000469,203638.66666666666,441.1806130524474,203345.0,204146.0,203638.66666666666,441.1806130524474,203345.0,204146.0,24.333333333333332,6.8068592855540455,19.0,32.0,0.024333333333333332,0.006806859285554047,0.019,0.032,486.6666666666294,136.1371857110745,379.99999999997254,639.9999999999569,0.00012384714085675552,4.9726898160729565e-05,9.489274857132436e-05,0.00018126612057006342,17.997608894460143,2.4331313287206604,15.52790431167126,20.392438564132135,15.980040565676367,5.847904547330383,10.865518765116576,22.35557825770229,32.34872756700497,3.0907140698319227,29.58154116577935,35.6841207130812,58.36694058449939,11.43406604580279,50.484095476567745,71.48079090286046,149321.56362722456,33525.68894372146,111995.77157856149,176876.0711537607,321720.7538942205,79103.73652979708,270083.2237996848,412789.61662170256,5.0,0.0,5.0,5.0,4.866666666666667,1.3613718571108093,3.8,6.4,1.1147577751196172,0.5144596937536964,0.5227272727272726,1.453125,23.333333333333332,6.110100926607787,18.0,30.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.1619999999999588,0.05943063183230995,1.094000000000051,1.2039999999997235
7,10_seconds,10,3,1000.0,0.0,1000.0,1000.0,50000.00000001217,1.3925620248949479e-09,50000.000000011365,50000.00000001378,202160.0,489.96020246546556,201756.0,202705.0,202160.0,489.96020246546556,201756.0,202705.0,27.333333333333332,4.041451884327381,25.0,32.0,0.027333333333333334,0.00404145188432738,0.025,0.032,546.666666666532,80.82903768651137,499.99999999988626,639.9999999998236,0.00014170728274415893,3.145207211363812e-05,0.00012207252793390783,0.00017798387674572747,19.124087171852853,6.026080479403534,13.73315939256463,25.629678251384757,15.688402645299599,5.537976339870651,10.088463501568185,21.16226322669536,37.15232810534072,5.993058497076887,32.95136685329492,44.01523390857038,65.81808598327916,33.89862379166534,41.86875303182751,104.60578629246447,131230.456904004,17617.66385600258,110967.85569003044,142927.74722223007,341632.67991536245,12512.978433405968,328151.28300908563,352874.8872673541,5.0,0.0,5.0,5.0,5.466666666666666,0.8082903768654762,5.0,6.4,1.40625,1.2109364919350645,0.3,2.7,26.333333333333332,2.309401076758503,25.0,29.0,1.0,1.7320508075688772,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.1246666666662957,0.19597023583509596,0.9369999999998981,1.3279999999995198
8,20_seconds,20,3,1000.0,0.0,1000.0,1000.0,50000.00000001394,9.744623509562974e-10,50000.00000001283,50000.00000001464,196393.33333333334,295.36813188516686,196063.0,196632.0,196393.33333333334,295.36813188516686,196063.0,196632.0,17.333333333333332,4.725815626252609,12.0,21.0,0.017333333333333336,0.004725815626252608,0.012,0.021,346.6666666665703,94.51631252502615,239.9999999999311,419.99999999987705,0.0001152828137906612,4.6315105249999274e-05,6.254428858213133e-05,0.00014933809899705618,23.249048438943316,3.886309449442872,18.763286574639398,25.600816970923916,18.870309707747463,2.146575382941998,16.422330988920294,20.43095322023146,48.50105976387082,14.527028136236966,32.195059078605844,60.06291661714204,67.0716316725205,30.56623649631823,35.484758865553886,96.5031366070034,207593.5892396896,71972.1973240974,148471.50617440353,287735.5724220773,362582.73846456315,75016.40775828587,281017.111170521,428619.2204798524,5.0,0.0,5.0,5.0,3.466666666666667,0.9451631252505218,2.4,4.2,1.8263366750208856,1.2714700150605511,0.8421052631578948,3.2619047619047614,16.666666666666668,4.932882862316247,11.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.3853333333336195,0.15964439649823012,1.2030000000004293,1.5
9,30_seconds,30,3,1000.0,0.0,1000.0,1000.0,49999.999999991625,5.953998110057301e-10,49999.999999990956,49999.999999992084,186876.0,192.36163858732334,186695.0,187078.0,186876.33333333334,192.3079128203864,186695.0,187078.0,22.0,3.605551275463989,18.0,25.0,0.022000000000000002,0.0036055512754639904,0.018,0.025,440.00000000007367,72.11102550929171,360.00000000005866,500.0000000000791,0.00013502156922639227,3.268208708697207e-05,9.818275082691495e-05,0.00016053286890457003,21.886699017788917,1.9515106783078415,19.63655016538299,23.116733122258083,16.331463687868865,2.62381046653375,13.344911369116744,18.26605640008347,44.82673444643928,10.684680021685555,33.36293202289381,54.50810557976366,89.5616825792046,12.625110776296587,77.50209304876626,102.68500590091571,155661.85101598914,43058.569629381826,113841.10447548649,199859.75931304396,340807.02180710406,95968.83344976255,271584.40471490833,450359.56703827874,4.0,0.0,4.0,4.0,4.833333333333333,1.506928443335427,3.25,6.25,1.290940170940171,0.8422132536268372,0.36,2.0,20.333333333333332,3.7859388972001824,16.0,23.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.2236666666667588,0.024006943439874376,1.2030000000004293,1.25
