factor,level,level_value,replicates,feasible_runs,errors,error_example,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,total_events_mean,total_events_sd,total_events_min,total_events_max,duration_s_mean_mean,duration_s_mean_sd,duration_s_mean_min,duration_s_mean_max,duration_s_median_mean,duration_s_median_sd,duration_s_median_min,duration_s_median_max,duration_s_p90_mean,duration_s_p90_sd,duration_s_p90_min,duration_s_p90_max,duration_mi_mean_mean,duration_mi_mean_sd,duration_mi_mean_min,duration_mi_mean_max,inter_arrival_mi_mean_mean,inter_arrival_mi_mean_sd,inter_arrival_mi_mean_min,inter_arrival_mi_mean_max,inter_arrival_s_mean_mean,inter_arrival_s_mean_sd,inter_arrival_s_mean_min,inter_arrival_s_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,episodes_element_mean,episodes_element_sd,episodes_element_min,episodes_element_max,episodes_hidden_triggering_mean,episodes_hidden_triggering_sd,episodes_hidden_triggering_min,episodes_hidden_triggering_max,episodes_full_scenario_mean,episodes_full_scenario_sd,episodes_full_scenario_min,episodes_full_scenario_max
_baseline_,baseline,,5,5,0,,37165.996751949846,1125.1307352379897,35522.99989774647,38491.99842156724,0.020353131693602557,0.00020810342598457166,0.020127016755296566,0.020662536533772237,74332.0,2250.2612070601936,71046,76984,9999327.2,1479.2468353861705,9998217,10001741,39.641120970694296,0.8494879436738354,38.8419183535638,40.99284150607284,21.211996958630333,0.3391381402078383,20.696729511022568,21.606166820973158,70.8402555991337,1.7919711683131219,68.95635976251221,73.66892880946398,0.5505711245934221,0.011798443662137557,0.5394710882444742,0.5693450209180103,26.9259128450743,0.8240626154972551,25.979244814247775,28.15076804956387,1938.6657248449665,59.332508315731154,1870.5056266256615,2026.8552995682014,4.870174262645501,0.39653678922320096,4.270139014724459,5.315538323097089,33246.2,2168.170242393341,29796,35678,4931.2,477.45701377192063,4372,5544,36154.6,434.8238723897298,35706,36696
allow_self_transition,off,0.0,5,5,0,,54306.49512664869,1954.273529354733,52693.99984831947,57531.486305040606,0.024441653761521735,0.00037166068217634656,0.024034613543890967,0.02484825301111924,108613.0,3908.5561912296976,105388,115063,9999327.2,1479.2468353861705,9998217,10001741,32.59547905648431,0.8389937587970088,31.25122640976499,33.575731496145416,17.869575672596692,0.21202100053563183,17.69487626850605,18.238938588649035,59.39906893759966,1.6042664854200555,57.4385408192873,61.06563534960152,0.4527149868956604,0.011652691094599705,0.43404481124644817,0.4663296041134074,18.432339684893797,0.642563855662341,17.38171509663795,18.977165988098598,1327.1284573120934,46.26459760771275,1251.4834869576298,1366.3559511428316,6.518772871455172,0.4354605570579675,6.062157336321247,7.103877585666107,40022.0,2487.0271409857996,36264,43023,4995.0,529.9759428502392,4348,5658,63596.0,2724.5940064530714,60130,67692
average_speed_mph,100,100.0,5,5,0,,18520.09687496192,668.3524750012677,17450.992761884172,19280.49850847458,0.0202192904825657,0.0003955596448934863,0.019705050251558075,0.020794647380241806,37040.2,1336.7003029849286,34902,38561,4999789.6,1519.0652718036838,4998603,5002428,39.510722067999765,0.7670683243599263,39.010142940053406,40.85470862522315,21.221652137115598,0.34856917285129946,20.67291009053588,21.537891812622547,70.7968158445135,2.090219135882328,68.21074787154794,73.87591727320105,1.0975200574444854,0.021307453454335473,1.083615081667872,1.1348530173670288,54.05149079036577,2.0010765799244816,51.86150553119594,57.302199852979875,1945.8536684531932,72.03875687736814,1867.0141991231474,2062.879194707504,5.157867824518506,0.2927507470656075,4.713537600845915,5.495472894816182,16573.2,1131.2169111182877,14749,17844,2470.8,249.0566200686101,2219,2792,17996.2,366.0419374880425,17361,18303
average_speed_mph,25,25.0,5,5,0,,73988.99799534622,2067.5606557982014,71063.49791491184,76215.99855373675,0.02028987148752103,0.00027399897385643686,0.020017475583155885,0.02067113289007716,147978.0,4135.122065912928,142127,152432,19997934.6,1189.9455029538117,19996523,19999158,39.69936200195489,0.6441113094790792,39.14141444792123,40.758269598003594,21.27374461144209,0.3570700753921172,20.75880827009678,21.689536049962044,71.00949485957624,1.8588926870735571,69.05637863278388,73.77954859137537,0.2756900139026837,0.004472995204746676,0.2718153781103745,0.28304353887505845,13.523953014171287,0.38100822964553993,13.120365523032648,14.07185514876262,1947.4492340401775,54.865185069090636,1889.3326353158836,2026.3471414216674,4.925119119890043,0.7174957741879334,3.8834867569287486,5.572425473647233,66620.6,4192.378418034326,59902,71249,9810.4,1026.349014711857,8572,11092,71547.0,1062.5751738112463,70562,73108
average_speed_mph,75,75.0,5,5,0,,24713.498112727208,836.551862888515,23522.996535383543,25830.498299442992,0.0202285860869522,0.000423477850968818,0.01973771147732302,0.02089893888389352,49427.0,1673.1029555888065,47046,51661,6665760.8,1923.9284550107366,6664231,6668887,39.491925489515765,0.5877156638802684,39.030637589958516,40.46736067410988,21.168219909770414,0.30740102859826035,20.671832129359245,21.51754646212794,70.70828420035542,1.7802756916669076,68.60727696940303,73.30686149001122,0.822748447698352,0.012244076330963869,0.8131382831243292,0.8430700140445005,40.50046879323386,1.3789335863146968,38.71360731701248,42.51131618072198,1944.0225020752519,66.18881214331786,1858.253151216404,2040.5431766750419,4.995138449561851,0.654376487785537,4.331401368200354,6.08968839085188,22058.6,1493.8012920064034,19665,23739,3307.0,341.94809547649186,2942,3744,24061.4,304.214233723539,23637,24395
base_weights_shape,flatter,,5,5,0,,37136.09676483345,1430.311370627164,35156.49989880145,38755.49841076195,0.020223321028824508,0.0003672627332341718,0.019788187729459106,0.02068807545918115,74272.2,2860.6219079074394,70313,77511,9999327.2,1479.2468353861705,9998217,10001741,39.43680476441811,0.821514476988889,38.64394993076679,40.710752263893475,21.259797038696707,0.3622669596038636,20.885198786854744,21.815839569084346,70.35846793139353,1.7291606753335942,68.80015717400238,73.11507732272149,0.5477333995057896,0.011409923291664518,0.5367215268163035,0.565427114776378,26.959849852112047,1.0477246748365725,25.80261102011393,28.44421057391986,1941.1091893516837,75.436176588157,1857.7879934480259,2047.9831613218296,5.2505852485107365,0.4854505337345122,4.574332503855678,5.809191535611508,33363.4,2229.116035562079,29738,35731,4910.4,502.79101026171895,4298,5516,35998.4,1086.3626466332503,34741,37367
base_weights_shape,steeper,,5,0,5,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0223534) is not smaller than the very_rare weight (0.008). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concentration_scale,1000,1000.0,5,5,0,,33666.39706750438,6072.309160120958,27987.49991943753,43084.49823324363,0.018565643983879304,0.003740969498307125,0.0139814304070673,0.02251574631553527,67332.8,12144.618693067312,55975,86169,9999327.2,1479.2468353861705,9998217,10001741,39.82498758116585,3.761006400646428,36.06493525056451,44.10218708995139,20.14787925221026,1.6826436590530465,17.96711167693138,22.47758387029171,67.59369511356577,9.049794767199542,55.67062761187553,78.99938209168613,0.5531248275165739,0.0522362000092726,0.5009018784806478,0.6125303762503067,30.417130637322906,4.984446890612035,23.210192773063415,35.73022718801813,2190.033405886808,358.8801761239405,1671.1338796604066,2572.576357536801,5.5292399575464115,1.2472122153317797,4.080016006253761,7.5005465020502236,28118.2,10141.273130135092,19499,42962,3554.0,2254.045252429507,684,6411,35660.6,942.5034747946556,34173,36796
concentration_scale,100000,100000.0,5,5,0,,36698.89678459092,676.1045590419591,35821.9998968858,37699.498454065106,0.019884497806685376,0.0002704113304869729,0.01944882864549884,0.02011962731145416,73397.8,1352.2097470437047,71644,75399,9999327.2,1479.2468353861705,9998217,10001741,39.211369614161306,0.7276440776452145,38.48755645194384,40.12593504054252,21.17059626635164,0.30145948924456917,20.798074178397655,21.562878280878067,70.51149175144734,1.0090125195961492,69.12989440523093,71.77171994447708,0.5446023557522809,0.0101061677450015,0.5345493951664112,0.5573046533407081,27.255839556514438,0.5000525956181826,26.525199991289632,27.91579848765165,1962.4204480686512,36.00378688443383,1909.814399372672,2009.9374911105247,4.786232963989218,0.6049928150562619,4.151794502173624,5.734163531632816,32525.8,1161.9370464874592,31171,34126,4811.2,218.0153664309009,4560,5089,36060.8,612.8655643777026,35384,36925
concentration_scale,5000,5000.0,5,5,0,,37452.69672793638,2061.7847173198793,34479.999900748764,39858.998365510975,0.02047682893065881,0.0004890859117260826,0.01996059992488607,0.021107566987911542,74905.4,4123.569303406941,68960,79718,9999327.2,1479.2468353861705,9998217,10001741,39.62635997275181,1.4092410727612878,38.33771955577207,41.89963979120462,21.247465239302255,0.3876370133557184,20.67239362106193,21.717363096773624,70.6077699291706,3.3332353809487003,67.7550408706069,76.16674122884868,0.5503661107327424,0.019572792676748243,0.5324683271642535,0.5819394415438869,26.76628505295663,1.5012147010005785,25.088424402487295,29.002312454311408,1927.172523812495,108.087458471962,1806.3665569789134,2088.166496710012,4.651679133284636,0.3519623940631801,4.344212595630754,5.228065002159987,33695.4,4091.139853390495,27004,38026,4964.6,986.2777499264596,3714,6190,36245.4,481.8068077559718,35766,36974
