factor,level,level_value,replicate,feasible,error,episodes_per_million_miles,unknown_time_fraction,total_unknown_episodes,total_events,duration_s_mean,duration_s_median,duration_s_p90,duration_mi_mean,inter_arrival_mi_mean,inter_arrival_s_mean,dispersion_index,episodes_element,episodes_hidden_triggering,episodes_full_scenario,wall_seconds
_baseline_,baseline,,0,True,,37847.498942680126,0.020408476852147084,75695,9998505,38.998657973829935,21.116497367620468,69.97474532723433,0.5416480274144334,26.421651242826304,1902.3588894831169,5.315538323097089,34212,4990,36493,45.93853849999141
_baseline_,baseline,,1,True,,36789.99124240536,0.020201061832256048,73580,9999758,39.7299231567779,21.606166820973158,70.28007553219798,0.5518044882892833,27.18042719065454,1956.9907577266513,4.767326712387707,33434,4372,35774,43.97476020001341
_baseline_,baseline,,2,True,,35522.99989774647,0.020127016755296566,71046,9998415,40.99284150607284,21.262802289063984,73.66892880946398,0.5693450209180103,28.15076804956387,2026.8552995682014,5.114775521613359,29796,5544,35706,46.774966199998744
_baseline_,baseline,,3,True,,37177.49525535002,0.02036656649454086,74355,9998217,39.64226386322699,20.696729511022568,68.95635976251221,0.5505869981009092,26.897472928079022,1936.6180508212005,4.883091741404893,33111,4548,36696,45.660453899996355
_baseline_,baseline,,4,True,,38491.99842156724,0.020662536533772237,76984,10001741,38.8419183535638,21.377788804471493,71.32116856425999,0.5394710882444742,25.979244814247775,1870.5056266256615,4.270139014724459,35678,5202,36104,46.30590629996732
allow_self_transition,off,0.0,0,True,,54735.49847089156,0.0247737722327145,109471,9998505,32.764855798717726,17.813762091100216,59.537563145160675,0.4550674416485559,18.269663519703162,1315.4157734183668,6.815965394841497,40343,5165,63963,74.09147609997308
allow_self_transition,off,0.0,1,True,,57531.486305040606,0.02484825301111924,115063,9999758,31.25122640976499,17.69487626850605,57.4385408192873,0.43404481124644817,17.38171509663795,1251.4834869576298,6.18607280774347,43023,4348,67692,75.10499540000455
allow_self_transition,off,0.0,2,True,,52693.99984831947,0.024443466881691918,105388,9998415,33.575731496145416,17.80749800801277,61.06563534960152,0.4663296041134074,18.977165988098598,1366.3559511428316,6.425791232703541,36264,5658,63466,71.3820362999686
allow_self_transition,off,0.0,3,True,,53349.49319145439,0.024108163138192053,106699,9998217,32.7000177588037,17.792803406715393,58.12730203866958,0.45416691331707076,18.74407215197397,1349.573194941784,6.062157336321247,39399,4571,62729,72.63062509999145
allow_self_transition,off,0.0,4,True,,53221.99781753745,0.024034613543890967,106444,10001741,32.68556381898972,18.238938588649035,60.82630333527921,0.45396616415281965,18.78908166805532,1352.8138800998543,7.103877585666107,41081,5233,60130,70.04046390001895
average_speed_mph,100,100.0,0,True,,18771.499539836215,0.02031785376635492,37543,4998603,39.1291764260456,21.123811835423112,70.0167923346162,1.086921567390167,53.2714992596583,1917.773973347469,5.070039085500218,16976,2487,18080,23.331144600000698
average_speed_mph,100,100.0,1,True,,18529.499182130854,0.020202409190544137,37059,4999588,39.42888962406863,21.537891812622547,70.36679859906445,1.0952469340026185,53.96721822445349,1942.819856080187,4.713537600845915,16683,2231,18145,22.642345900007058
average_speed_mph,100,100.0,2,True,,17450.992761884172,0.019705050251558075,34902,4999304,40.85470862522315,21.284988701343536,73.87591727320105,1.1348530173670288,57.302199852979875,2062.879194707504,5.495472894816182,14749,2792,17361,23.632463400019333
average_speed_mph,100,100.0,3,True,,18567.994382483783,0.020076491824129555,37136,4999025,39.13069272460806,20.67291009053588,68.21074787154794,1.08696368679474,53.85503108354121,1938.7811190076593,5.206328930304257,16614,2219,18303,24.29282199998852
average_speed_mph,100,100.0,4,True,,19280.49850847458,0.020794647380241806,38561,5002428,39.010142940053406,21.488658245652914,71.51382314413786,1.083615081667872,51.86150553119594,1867.0141991231474,5.30396061112596,17844,2625,18092,25.913082000042778
average_speed_mph,25,25.0,0,True,,75714.49568134753,0.020479640139211174,151429,19998770,39.14141444792123,21.168442461639643,70.01876909136776,0.2718153781103745,13.207497559647685,1901.8796485890348,5.09142729410214,68328,9993,73108,92.09628869994776
average_speed_mph,25,25.0,1,True,,73279.99805001439,0.02013222836905285,146560,19996523,39.77022949451374,21.689536049962044,70.27863943055273,0.2761821492682222,13.646280750147495,1965.0644280204529,3.8834867569287486,67426,8572,70562,91.82777199998964
average_speed_mph,25,25.0,2,True,,71063.49791491184,0.020017475583155885,142127,19996815,40.758269598003594,21.23460626602173,73.77954859137537,0.28304353887505845,14.07185514876262,2026.3471414216674,5.539898829955076,59902,11092,71133,95.02331489999779
average_speed_mph,25,25.0,3,True,,73670.99977672058,0.020148880456108104,147342,19999158,39.58434466503381,20.75880827009678,69.05637863278388,0.2748912823963789,13.573766089265982,1954.6223168538486,4.538357244817019,66198,8998,72146,94.27856299997075
average_speed_mph,25,25.0,4,True,,76215.99855373675,0.02067113289007716,152432,19998407,39.242551804302046,21.51733000949025,71.91413855180143,0.27251772086338444,13.120365523032648,1889.3326353158836,5.572425473647233,71249,10397,70786,97.82926239998778
average_speed_mph,75,75.0,0,True,,25021.496570434938,0.020272397904901006,50043,6664924,39.050342685230454,21.191405303776264,69.97688199281696,0.8135488059427807,39.96383374797329,1918.2640199026432,4.940831387519296,22656,3323,24064,28.94930659997044
average_speed_mph,75,75.0,1,True,,24518.99944247782,0.020108151383464265,49038,6666304,39.55501705274276,21.51754646212794,70.13657740540805,0.8240628552653264,40.7844614427723,1957.6541492530864,4.821382084778475,22184,2942,23912,29.594185699999798
average_speed_mph,75,75.0,2,True,,23522.996535383543,0.01973771147732302,47046,6664231,40.46736067410988,21.204258722718805,73.30686149001122,0.8430700140445005,42.51131618072198,2040.5431766750419,4.792389016459246,19665,3744,23637,30.85649250005372
average_speed_mph,75,75.0,3,True,,24673.499715896734,0.02012573078517919,49347,6664458,39.35626944553723,20.671832129359245,68.60727696940303,0.8199222801148234,40.529125277689246,1945.3980133290831,4.331401368200354,22049,2999,24299,30.39033590001054
average_speed_mph,75,75.0,4,True,,25830.498299442992,0.02089893888389352,51661,6668887,39.030637589958516,21.256056930869818,71.51382314413786,0.8131382831243292,38.71360731701248,1858.253151216404,6.08968839085188,23739,3527,24395,32.5493209999986
base_weights_shape,flatter,,0,True,,38259.49893117036,0.020510511328996766,76519,9998505,38.8112855757199,21.001403227448463,69.15819229725746,0.5390456329953669,26.137150177637483,1881.8748127895255,5.585871765287578,34146,5006,37367,53.03283169999486
base_weights_shape,flatter,,1,True,,36543.99130096389,0.020037283970832116,73088,9999758,39.66113534778317,21.815839569084346,69.8634245477617,0.5508491020527077,27.363757426235296,1970.1905346884662,5.809191535611508,34049,4298,34741,52.91188070003409
base_weights_shape,flatter,,2,True,,35156.49989880145,0.019788187729459106,70313,9998415,40.710752263893475,21.35172401368618,73.11507732272149,0.565427114776378,28.44421057391986,2047.9831613218296,5.005402690782429,29738,5516,35059,55.53944059996866
base_weights_shape,flatter,,3,True,,36964.995282469594,0.020092546655653413,73930,9998217,39.35690070392722,20.885198786854744,68.80015717400238,0.5466236208881917,27.051520062653655,1947.709444510571,4.574332503855678,33153,4508,36269,55.51052660000278
base_weights_shape,flatter,,4,True,,38755.49841076195,0.02068807545918115,77511,10001741,38.64394993076679,21.244819596409798,70.85548831522465,0.5367215268163035,25.80261102011393,1857.7879934480259,5.278127747016488,35731,5224,36556,56.517572700046
base_weights_shape,steeper,,0,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0223534) is not smaller than the very_rare weight (0.008). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
base_weights_shape,steeper,,1,False,"ConfigError: Layer 'temporal_modifications': element count n=30 in the configured range is infeasible: Calculated unknown weight (0.0223534) is not smaller than the very_rare weight (0.008). Fix this by one of: (1) increase the proportion of unknown elements, (2) lower target_unknown_element_probability, or (3) use unknown_weight_mode='fixed'.",,,,,,,,,,,,,,,
