study,levels,episodes_per_hour_range,episodes_per_hour_range_percent,episodes_per_hour_snr,unknown_time_fraction_range,unknown_time_fraction_range_percent,unknown_time_fraction_snr,maximum_primary_snr,rank
element_class_percentages_study,10,0.8006666666666666,3399.858457183298,122.55513416994782,0.004849948601990049,3489.0795616026544,89.2487128652269,122.55513416994782,1
selection_class_percentages_study,20,0.301,1278.1316348195328,46.07297508553825,0.001598978545798051,1150.3139149342599,29.42438958075398,46.07297508553825,2
combination_counts_study,10,0.12533333333333332,532.2009907997168,19.184317422106737,0.0006571841955709904,472.781906190545,12.093497969445242,19.184317422106737,3
duration_profile_mean_multiplier_study,30,0.057999999999999996,246.28450106157106,8.877849019804712,0.00034773680548257795,250.16376056612694,6.399049732702618,8.877849019804712,4
combination_size_study,12,0.042333333333333334,179.7593772116065,6.479809342041372,0.00023554160899756792,169.44992231942507,4.334434682588543,6.479809342041372,5
layer_mean_duration_study,60,0.04066666666666667,172.6822363765039,6.224698738023995,8.461469924582665e-05,60.872277621381485,1.5570789748307128,6.224698738023995,6
layer_element_count_study,60,0.035666666666666666,151.45081387119603,5.459366925971864,0.00021952918454189917,157.93049655127237,4.039774184138368,5.459366925971864,7
target_total_hours_study,10,0.02066666666666667,87.75654635527248,3.1633714898154732,0.00017680011029855855,127.19096674110719,3.2534741238498746,3.2534741238498746,8
unknown_scenarios_enabled_study,2,0.02,84.92569002123142,3.061327248208522,0.00013333629167692213,95.92285780491527,2.4536533037700394,3.061327248208522,9
conditional_transition_study,12,0.016000000000000004,67.94055201698515,2.449061798566818,6.724709768843711e-05,48.37793003116539,1.2374805188971572,2.449061798566818,10
concentration_scale_study,10,0.012,50.955414012738856,1.8367963489251131,8.472558666320616e-05,60.952050636183955,1.5591195241408662,1.8367963489251131,11
duration_profile_coefficient_of_variation_study,30,0.012,50.955414012738856,1.8367963489251131,9.140269106885775e-05,65.75559608053912,1.681991542542591,1.8367963489251131,12
duration_profile_element_spread_study,10,0.01133333333333333,48.12455767869779,1.734752107318162,7.158696089455287e-05,51.50005136795579,1.317342644652069,1.734752107318162,13
allow_self_transition_study,2,0.010000000000000002,42.462845010615716,1.5306636241042613,9.884250898464428e-06,7.110784179740399,0.18188990084615392,1.5306636241042613,14
minimum_duration_study,10,0.009999999999999998,42.4628450106157,1.5306636241042606,2.6424468953497728e-05,19.00990755118975,0.4862628526164452,1.5306636241042606,15
duration_distribution_study,10,0.009666666666666664,41.04741684359517,1.479641503300785,5.617696008743731e-05,40.41401246883724,1.0337679410515312,1.479641503300785,16
rescale_transition_class_masses_study,2,0.00466666666666667,19.815994338287343,0.7143096912486555,3.800110283568722e-05,27.33820130958761,0.69929597071453,0.7143096912486555,17
average_speed_study,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
layer_variance_duration_study,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
mileage_window_study,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
