level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,seed_set_01,0,1,1000.0,0.0,1000.0,1000.0,50000.00000000256,0.0,50000.00000000256,50000.00000000256,203641.0,0.0,203641.0,203641.0,203641.0,0.0,203641.0,203641.0,20.0,0.0,20.0,20.0,0.02,0.0,0.02,0.02,399.9999999999795,0.0,399.9999999999795,399.9999999999795,0.00010931980477737347,0.0,0.00010931980477737347,0.00010931980477737347,19.677564859927223,0.0,19.677564859927223,19.677564859927223,17.06478107406292,0.0,17.06478107406292,17.06478107406292,35.22394707105125,0.0,35.22394707105125,35.22394707105125,62.152697924291715,0.0,62.152697924291715,62.152697924291715,170738.7334150675,0.0,170738.7334150675,170738.7334150675,404848.88046831195,0.0,404848.88046831195,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.0,4.0,4.0,0.875,0.0,0.875,0.875,19.0,0.0,19.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0010007959226450746,0.0,0.0010007959226450746,0.0010007959226450746,5.9436808561073915e-05,0.0,5.9436808561073915e-05,5.9436808561073915e-05,1.1090000000003783,0.0,1.1090000000003783,1.1090000000003783
1,seed_set_02,1,1,1000.0,0.0,1000.0,1000.0,50000.000000000495,0.0,50000.000000000495,50000.000000000495,203588.0,0.0,203588.0,203588.0,203588.0,0.0,203588.0,203588.0,19.0,0.0,19.0,19.0,0.019,0.0,0.019,0.019,379.99999999999625,0.0,379.99999999999625,379.99999999999625,0.0001252969956036274,0.0,0.0001252969956036274,0.0001252969956036274,23.7404833775294,0.0,23.7404833775294,23.7404833775294,20.138240986038,0.0,20.138240986038,20.138240986038,45.649132425989954,0.0,45.649132425989954,45.649132425989954,70.38747008901555,0.0,70.38747008901555,70.38747008901555,169609.16279335678,0.0,169609.16279335678,169609.16279335678,381725.9279384272,0.0,381725.9279384272,381725.9279384272,5.0,0.0,5.0,5.0,3.8,0.0,3.8,3.8,0.5789473684210527,0.0,0.5789473684210527,0.5789473684210527,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009799800507877046,0.0,0.0009799800507877046,0.0009799800507877046,5.560061326941382e-05,0.0,5.560061326941382e-05,5.560061326941382e-05,1.094000000000051,0.0,1.094000000000051,1.094000000000051
2,seed_set_03,2,1,1000.0,0.0,1000.0,1000.0,50000.000000001164,0.0,50000.000000001164,50000.000000001164,204129.0,0.0,204129.0,204129.0,204129.0,0.0,204129.0,204129.0,21.0,0.0,21.0,21.0,0.021,0.0,0.021,0.021,419.9999999999902,0.0,419.9999999999902,419.9999999999902,0.00016539207464976547,0.0,0.00016539207464976547,0.00016539207464976547,28.352927082816937,0.0,28.352927082816937,28.352927082816937,19.74707221472636,0.0,19.74707221472636,19.74707221472636,62.151035813614726,0.0,62.151035813614726,62.151035813614726,92.31681306799874,0.0,92.31681306799874,92.31681306799874,167876.91833829816,0.0,167876.91833829816,167876.91833829816,319515.83062462625,0.0,319515.83062462625,319515.83062462625,5.0,0.0,5.0,5.0,4.2,0.0,4.2,4.2,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,20.0,0.0,20.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.000997249832160345,0.0,0.000997249832160345,0.000997249832160345,6.160850492514242e-05,0.0,6.160850492514242e-05,6.160850492514242e-05,1.2970000000004802,0.0,1.2970000000004802,1.2970000000004802
3,seed_set_04,3,1,1000.0,0.0,1000.0,1000.0,50000.00000000094,0.0,50000.00000000094,50000.00000000094,204168.0,0.0,204168.0,204168.0,204168.0,0.0,204168.0,204168.0,26.0,0.0,26.0,26.0,0.026,0.0,0.026,0.026,519.9999999999902,0.0,519.9999999999902,519.9999999999902,0.00015826674064576461,0.0,0.00015826674064576461,0.00015826674064576461,21.913856397105867,0.0,21.913856397105867,21.913856397105867,18.66662964061834,0.0,18.66662964061834,18.66662964061834,46.623524385737255,0.0,46.623524385737255,46.623524385737255,73.5740823589731,0.0,73.5740823589731,73.5740823589731,120613.96279184241,0.0,120613.96279184241,120613.96279184241,330851.44725162524,0.0,330851.44725162524,330851.44725162524,5.0,0.0,5.0,5.0,5.2,0.0,5.2,5.2,3.7884615384615383,0.0,3.7884615384615383,3.7884615384615383,25.0,0.0,25.0,25.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009163499835742061,0.0,0.0009163499835742061,0.0009163499835742061,6.553407650730292e-05,0.0,6.553407650730292e-05,6.553407650730292e-05,1.1719999999995707,0.0,1.1719999999995707,1.1719999999995707
4,seed_set_05,4,1,1000.0,0.0,1000.0,1000.0,49999.99999999994,0.0,49999.99999999994,49999.99999999994,204207.0,0.0,204207.0,204207.0,204207.0,0.0,204207.0,204207.0,26.0,0.0,26.0,26.0,0.026,0.0,0.026,0.026,520.0000000000006,0.0,520.0000000000006,520.0000000000006,0.00018196295557018958,0.0,0.00018196295557018958,0.00018196295557018958,25.19487077125702,0.0,25.19487077125702,25.19487077125702,22.05392450493673,0.0,22.05392450493673,22.05392450493673,46.936518609123596,0.0,46.936518609123596,46.936518609123596,74.66249772091396,0.0,74.66249772091396,74.66249772091396,137418.20997109942,0.0,137418.20997109942,137418.20997109942,320958.0742014175,0.0,320958.0742014175,320958.0742014175,4.0,0.0,4.0,4.0,5.5,0.0,5.5,5.5,0.7878787878787878,0.0,0.7878787878787878,0.7878787878787878,26.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009631264593177637,0.0,0.0009631264593177637,0.0009631264593177637,6.562652605482841e-05,0.0,6.562652605482841e-05,6.562652605482841e-05,1.25,0.0,1.25,1.25
5,seed_set_06,5,1,1000.0,0.0,1000.0,1000.0,49999.99999999986,0.0,49999.99999999986,49999.99999999986,204174.0,0.0,204174.0,204174.0,204174.0,0.0,204174.0,204174.0,26.0,0.0,26.0,26.0,0.026,0.0,0.026,0.026,520.0000000000014,0.0,520.0000000000014,520.0000000000014,0.00013976891658213896,0.0,0.00013976891658213896,0.00013976891658213896,19.352619219065392,0.0,19.352619219065392,19.352619219065392,15.860226138844155,0.0,15.860226138844155,15.860226138844155,38.8615753017948,0.0,38.8615753017948,38.8615753017948,90.72303197789006,0.0,90.72303197789006,90.72303197789006,135213.35154469905,0.0,135213.35154469905,135213.35154469905,327561.24913834233,0.0,327561.24913834233,327561.24913834233,4.0,0.0,4.0,4.0,5.5,0.0,5.5,5.5,2.9696969696969693,0.0,2.9696969696969693,2.9696969696969693,25.0,0.0,25.0,25.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0011080871454445718,0.0,0.0011080871454445718,0.0011080871454445718,6.313526479338761e-05,0.0,6.313526479338761e-05,6.313526479338761e-05,1.3130000000001019,0.0,1.3130000000001019,1.3130000000001019
6,seed_set_07,6,1,1000.0,0.0,1000.0,1000.0,50000.00000000041,0.0,50000.00000000041,50000.00000000041,204322.0,0.0,204322.0,204322.0,204322.0,0.0,204322.0,204322.0,17.0,0.0,17.0,17.0,0.017,0.0,0.017,0.017,339.99999999999727,0.0,339.99999999999727,339.99999999999727,0.00010859379952541026,0.0,0.00010859379952541026,0.00010859379952541026,22.9963340171457,0.0,22.9963340171457,22.9963340171457,15.00886646809522,0.0,15.00886646809522,15.00886646809522,46.16171137111961,0.0,46.16171137111961,46.16171137111961,83.59033147059381,0.0,83.59033147059381,83.59033147059381,203881.18609949152,0.0,203881.18609949152,203881.18609949152,435034.23090142873,0.0,435034.23090142873,435034.23090142873,5.0,0.0,5.0,5.0,3.4,0.0,3.4,3.4,1.2647058823529411,0.0,1.2647058823529411,1.2647058823529411,16.0,0.0,16.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0008112773957672895,0.0,0.0008112773957672895,0.0008112773957672895,6.174509743684655e-05,0.0,6.174509743684655e-05,6.174509743684655e-05,1.1720000000004802,0.0,1.1720000000004802,1.1720000000004802
7,seed_set_08,7,1,1000.0,0.0,1000.0,1000.0,50000.00000000068,0.0,50000.00000000068,50000.00000000068,204473.0,0.0,204473.0,204473.0,204473.0,0.0,204473.0,204473.0,16.0,0.0,16.0,16.0,0.016,0.0,0.016,0.016,319.9999999999957,0.0,319.9999999999957,319.9999999999957,5.589195507500941e-05,0.0,5.589195507500941e-05,5.589195507500941e-05,12.575689891877118,0.0,12.575689891877118,12.575689891877118,7.455552402272588,0.0,7.455552402272588,7.455552402272588,31.8974070144468,0.0,31.8974070144468,31.8974070144468,52.166671043029055,0.0,52.166671043029055,52.166671043029055,217653.94504312667,0.0,217653.94504312667,217653.94504312667,388115.95927419176,0.0,388115.95927419176,388115.95927419176,5.0,0.0,5.0,5.0,3.2,0.0,3.2,3.2,2.40625,0.0,2.40625,2.40625,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0007717266210928763,0.0,0.0007717266210928763,0.0007717266210928763,6.986883742989975e-05,0.0,6.986883742989975e-05,6.986883742989975e-05,1.2820000000001528,0.0,1.2820000000001528,1.2820000000001528
8,seed_set_09,8,1,1000.0,0.0,1000.0,1000.0,50000.00000000108,0.0,50000.00000000108,50000.00000000108,204867.0,0.0,204867.0,204867.0,204867.0,0.0,204867.0,204867.0,32.0,0.0,32.0,32.0,0.032,0.0,0.032,0.032,639.9999999999862,0.0,639.9999999999862,639.9999999999862,0.00017543166790567435,0.0,0.00017543166790567435,0.00017543166790567435,19.736062639388365,0.0,19.736062639388365,19.736062639388365,11.753710107441293,0.0,11.753710107441293,11.753710107441293,54.19993005094584,0.0,54.19993005094584,54.19993005094584,67.49809615826234,0.0,67.49809615826234,67.49809615826234,110084.09171098501,0.0,110084.09171098501,110084.09171098501,224728.129363747,0.0,224728.129363747,224728.129363747,5.0,0.0,5.0,5.0,6.4,0.0,6.4,6.4,0.35937499999999994,0.0,0.35937499999999994,0.35937499999999994,30.0,0.0,30.0,30.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009852339301631788,0.0,0.0009852339301631788,0.0009852339301631788,6.408667167146267e-05,0.0,6.408667167146267e-05,6.408667167146267e-05,1.0779999999995198,0.0,1.0779999999995198,1.0779999999995198
9,seed_set_10,9,1,1000.0,0.0,1000.0,1000.0,50000.000000000124,0.0,50000.000000000124,50000.000000000124,204116.0,0.0,204116.0,204116.0,204116.0,0.0,204116.0,204116.0,14.0,0.0,14.0,14.0,0.014,0.0,0.014,0.014,279.9999999999993,0.0,279.9999999999993,279.9999999999993,8.674357313569494e-05,0.0,8.674357313569494e-05,8.674357313569494e-05,22.305490234892982,0.0,22.305490234892982,22.305490234892982,20.630298160074744,0.0,20.630298160074744,20.630298160074744,39.63905959881377,0.0,39.63905959881377,39.63905959881377,58.60629691416398,0.0,58.60629691416398,58.60629691416398,250834.92111634804,0.0,250834.92111634804,250834.92111634804,579357.7330709107,0.0,579357.7330709107,579357.7330709107,5.0,0.0,5.0,5.0,2.8,0.0,2.8,2.8,1.5000000000000002,0.0,1.5000000000000002,1.5000000000000002,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009213896600881094,0.0,0.0009213896600881094,0.0009213896600881094,6.199168235426264e-05,0.0,6.199168235426264e-05,6.199168235426264e-05,1.155999999999949,0.0,1.155999999999949,1.155999999999949
