study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
selection_class_percentages_study,0,rare_05pct,5,1,e41f7cace32173faecc1056b7d3a5e56b2ef2ce27d046325e63f68c2f2022840,1000.0,50000.000000000095,186897,186897,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,100,1.5349007113236122e-05,9.358292466536207e-07,0.5469999999995707
selection_class_percentages_study,0,rare_05pct,5,2,ac2380bd5411566cd93306722ab52746b0d5494efe40bd5d27e9433fdff66b9e,1000.0,50000.00000000133,186586,186586,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,100,1.5391814820931345e-05,1.0125653067284866e-06,0.5779999999995198
selection_class_percentages_study,0,rare_05pct,5,3,35bbcfce994dc9cc076292fd2aee78db7199bba18d5f1878c7cbd47849e0b20f,1000.0,50000.000000001775,187442,187442,0,0.0,0.0,0.0,,,,,,,5,0.0,nan,0,0,0,0,100,1.5090614650443536e-05,1.0029567124460449e-06,0.75
selection_class_percentages_study,1,rare_10pct,10,1,3f78b3492610f0f73feb3c9faab9f461b4ef9fa71006e15631fd21e445e08a7c,1000.0,49999.99999999995,192070,192070,4,0.004,80.00000000000009,4.055896832510674e-05,36.503071492596064,26.76366154453717,64.67666624034756,77.48273316631094,890306.0492580531,1613649.2084609382,4,0.5,0.6666666666666666,4,0,0,0,100,0.00012332368349817673,7.455589491592725e-06,1.155999999999949
selection_class_percentages_study,1,rare_10pct,10,2,59a814873674a8fa52fbb929061236d6a8176c22c04e8b7caf9a780f792a5a61,1000.0,49999.99999999942,192100,192100,5,0.005,100.00000000000117,4.8024680172535834e-05,34.5777697242258,38.259918472926074,44.63515824712813,44.84799835272133,650667.5583772024,1325862.5716194678,4,0.75,0.3333333333333333,4,1,0,0,100,0.00012185323466368348,7.4086331059365624e-06,1.4529999999995198
selection_class_percentages_study,1,rare_10pct,10,3,31d6f7fb9f169fa1727a9ab3172ecfae0c5fde4a5b35e17a3491acd2a7ecc247,1000.0,50000.00000000118,192497,192497,2,0.002,39.99999999999906,5.762612330597929e-06,10.372702195076272,10.372702195076272,13.82501015230082,14.688087141606957,1683858.9886921023,2262437.1359764044,5,0.4,0.7500000000000001,2,0,0,0,100,0.00012221638719182317,7.837848434850699e-06,1.155999999999949
selection_class_percentages_study,2,rare_15pct,15,1,d062b0df8fd2f03c185a8a9efd4402ee61235ac1321cef8eead6f9d83744f888,1000.0,50000.000000001375,197929,197929,12,0.012,239.9999999999934,6.574351877026654e-05,19.723055631079962,16.912355116801336,39.33556436153595,55.99354320127168,274275.800198592,632542.6135020249,5,2.4,0.9583333333333333,12,0,0,0,100,0.00041902014841992515,2.5108987806295756e-05,1.3590000000003783
selection_class_percentages_study,2,rare_15pct,15,2,6f7935b2e77db8a64310ce0f7d8c2aa9da3c5f0c3b890937805e98e86d157bd4,1000.0,50000.00000000049,197592,197592,7,0.007,139.99999999999864,4.261432057555289e-05,21.915936295998627,21.685828673187643,44.45871609947645,47.55041298386641,405144.27574617317,914771.715030341,5,1.4,0.9285714285714287,7,0,0,0,100,0.0004115836033999696,2.4007341595035413e-05,1.6400000000003274
selection_class_percentages_study,2,rare_15pct,15,3,4230d41fe893cbf66fcd3f0abc8a86527427427ac6bdfc2182f03ad6b2340131,1000.0,50000.000000000655,198480,198480,9,0.009,179.99999999999764,7.280080470222957e-05,29.12032188089183,25.25721430242993,55.200097317621115,83.41005829535425,393655.3924518905,733551.8633856558,5,1.8,0.9444444444444444,9,0,0,0,100,0.00041670059174953885,2.6165287888771837e-05,1.405999999999949
selection_class_percentages_study,3,rare_20pct,20,1,f443d265ed0c0eb85ec5c788f65b327dcbb244174551548099560c755824da4d,1000.0,50000.00000000256,203641,203641,20,0.02,399.9999999999795,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,5,4.0,0.875,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,1.125
selection_class_percentages_study,3,rare_20pct,20,2,cadd912426a50da068982da4e4bc80904b86688dfdaa5f1187b84c9fbe594aa4,1000.0,50000.000000000495,203588,203588,19,0.019,379.99999999999625,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,5,3.8,0.5789473684210527,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.094000000000051
selection_class_percentages_study,3,rare_20pct,20,3,e72666b340010587819958029cb2438b37e487f13160ed2f4905356747122bb6,1000.0,50000.000000001164,204129,204129,21,0.021,419.9999999999902,0.00016539207464976547,28.352927082816937,19.74707221472636,62.151035813614726,92.31681306799874,167876.91833829816,319515.83062462625,5,4.2,0.16666666666666666,20,1,0,0,100,0.000997249832160345,6.160850492514242e-05,1.2030000000004293
selection_class_percentages_study,4,rare_25pct,25,1,83a20c4fbc457973dbc857705114fba90c153e047fb784dea6585d8c910e987d,1000.0,50000.00000000007,210234,210234,49,0.049,979.9999999999986,0.00023451976866021546,17.230023819934196,9.42897054925561,40.41675982242451,85.19971319450997,70858.60116369631,198314.53649235694,5,9.8,2.9285714285714284,44,5,0,0,100,0.001970480328405583,0.00011597561852298397,1.5460000000002765
selection_class_percentages_study,4,rare_25pct,25,2,aaf6e51cbe4d03af099ae64b983987f066c5797e30dfb033126b4e69af9b722c,1000.0,50000.00000000102,210364,210364,36,0.036,719.9999999999853,0.00020846903202321343,20.846903202321343,15.811363629966763,39.51398951531502,71.669166160631,96484.56992835345,252157.28788159712,5,7.2,0.9305555555555556,33,3,0,0,100,0.0019260020952184833,0.00010927357583126189,1.5470000000004802
selection_class_percentages_study,4,rare_25pct,25,3,0232a72011cdb82f8f62a91f27002131c875f6ee085a1a06defc9650f71d9a59,1000.0,50000.000000000575,210897,210897,40,0.04,799.9999999999909,0.00020497751224737536,18.447976102263784,15.687459854059853,35.07536688470282,90.13583766808733,86639.93183341665,163476.86425491262,5,8.0,1.5,37,3,0,0,100,0.0019660908107106377,0.00011977318911962708,1.2340000000003783
selection_class_percentages_study,5,rare_30pct,30,1,5b2d6fccefbace167639fb7d623fbd1f48228e16f4fc7f52e65fe7aa3d03ac96,1000.0,50000.00000000168,217433,217433,89,0.089,1779.9999999999402,0.000494014201849422,19.982596928740666,16.409743742085993,37.07223446751015,100.89899706316646,39457.91593492814,97547.08197412499,5,17.8,0.7415730337078651,84,5,0,0,100,0.0034335516001327256,0.00020025934194015438,1.469000000000051
selection_class_percentages_study,5,rare_30pct,30,2,ecf8d228fcbb483bf02b621f4cd623d13e7cdaa51367f6e9e813d1092b9c6baa,1000.0,50000.00000000104,216975,216975,85,0.085,1699.9999999999645,0.0005576551326986514,23.618335031942884,19.31699638068676,47.2368181956932,99.57451446028426,41921.54810277481,114779.47857117033,5,17.0,0.7352941176470589,80,4,1,0,100,0.00335240377042728,0.00018968685280152937,1.5929999999998472
selection_class_percentages_study,5,rare_30pct,30,3,c61b1f41cef19603e779b9a5348bb1cb8f1fbd46404bd70d98ce17c04017a466,1000.0,50000.000000000786,217495,217495,98,0.098,1959.999999999969,0.0004540394185195186,16.678999047655786,12.380371475537686,33.103867039596665,98.47005527699366,36094.09890348994,97749.81376954018,5,19.6,0.3979591836734694,96,2,0,0,100,0.003429142183853441,0.00020625402388249685,1.5
selection_class_percentages_study,6,rare_35pct,35,1,e9d884951e0110033460399d25851c7c9e031a491f5fc9190a8c248ee25d4291,1000.0,50000.000000001455,224759,224759,135,0.135,2699.9999999999213,0.000712678475826144,19.004759355363838,16.435720003559254,38.352203225489944,95.44113108003512,26322.65041924315,67509.09427031541,5,27.0,0.5185185185185185,125,10,0,0,100,0.005499310244855449,0.00031782004113080847,1.1409999999996217
