level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,rare_05pct,5,3,1000.0,0.0,1000.0,1000.0,50000.00000000107,8.710003041930394e-10,50000.000000000095,50000.000000001775,186975.0,433.29781905751616,186586.0,187442.0,186975.0,433.29781905751616,186586.0,187442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.5277145528203667e-05,1.6295229740020137e-07,1.5090614650443536e-05,1.5391814820931345e-05,9.837837552760506e-07,4.180678705587384e-08,9.358292466536207e-07,1.0125653067284866e-06,0.6249999999996968,0.10935721283964792,0.5469999999995707,0.75
1,rare_10pct,10,3,1000.0,0.0,1000.0,1000.0,50000.00000000018,9.031863970217303e-10,49999.99999999942,50000.00000000118,192222.33333333334,238.34079242406938,192070.0,192497.0,192222.33333333334,238.34079242406938,192070.0,192497.0,3.6666666666666665,1.5275252316519468,2.0,5.0,0.0036666666666666666,0.0015275252316519466,0.002,0.005,73.33333333333344,30.550504633039964,39.99999999999906,100.00000000000117,3.14487536094135e-05,2.255587736475054e-05,5.762612330597929e-06,4.8024680172535834e-05,27.15118113729938,14.562441877507721,10.372702195076272,36.503071492596064,25.132094070846506,14.0150175614516,10.372702195076272,38.259918472926074,41.04561154659217,25.615158907583254,13.82501015230082,64.67666624034756,45.672939553546406,31.40544997815796,14.688087141606957,77.48273316631094,1074944.198775786,540776.8186711008,650667.5583772024,1683858.9886921023,1733982.9720189366,479742.784874479,1325862.5716194678,2262437.1359764044,4.333333333333333,0.5773502691896257,4.0,5.0,0.5499999999999999,0.18027756377319945,0.4,0.75,0.5833333333333334,0.22047927592204927,0.3333333333333333,0.7500000000000001,3.3333333333333335,1.1547005383792515,2.0,4.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.00012246443511789446,7.65963950807635e-07,0.00012185323466368348,0.00012332368349817673,7.567357010793329e-06,2.354260678109171e-07,7.4086331059365624e-06,7.837848434850699e-06,1.254999999999806,0.17147302994907102,1.155999999999949,1.4529999999995198
2,rare_15pct,15,3,1000.0,0.0,1000.0,1000.0,50000.00000000084,4.716669103216751e-10,50000.00000000049,50000.000000001375,198000.33333333334,448.2770720584908,197592.0,198480.0,198000.33333333334,448.2770720584908,197592.0,198480.0,9.333333333333334,2.516611478423583,7.0,12.0,0.009333333333333334,0.0025166114784235835,0.007,0.012,186.66666666666322,50.33222956846896,139.99999999999864,239.9999999999934,6.0386214682683e-05,1.579023388989711e-05,4.261432057555289e-05,7.280080470222957e-05,23.586437935990137,4.916308070023079,19.723055631079962,29.12032188089183,21.28513269747297,4.18683492100034,16.912355116801336,25.25721430242993,46.33145925954451,8.096371204827774,39.33556436153595,55.200097317621115,62.31800482683078,18.747737239632553,47.55041298386641,83.41005829535425,357691.82279888523,72468.4291928346,274275.800198592,405144.27574617317,760288.7306393405,143001.61359325986,632542.6135020249,914771.715030341,5.0,0.0,5.0,5.0,1.8666666666666665,0.5033222956847166,1.4,2.4,0.9437830687830688,0.01489197122909738,0.9285714285714287,0.9583333333333333,9.333333333333334,2.516611478423583,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.00041576811452314456,3.804955425726348e-06,0.0004115836033999696,0.00041902014841992515,2.509387243003433e-05,1.0790525509039565e-06,2.4007341595035413e-05,2.6165287888771837e-05,1.4683333333335515,0.15051356528018114,1.3590000000003783,1.6400000000003274
3,rare_20pct,20,3,1000.0,0.0,1000.0,1000.0,50000.000000001404,1.0543194824688546e-09,50000.000000000495,50000.00000000256,203786.0,298.22642404723297,203588.0,204129.0,203786.0,298.22642404723297,203588.0,204129.0,20.0,1.0,19.0,21.0,0.02,0.0010000000000000009,0.019,0.021,399.99999999998863,19.999999999996987,379.99999999999625,419.9999999999902,0.00013333629167692213,2.8887671646848916e-05,0.00010931980477737347,0.00016539207464976547,23.923658440091188,4.340580865764843,19.677564859927223,28.352927082816937,18.98336475827576,1.6730139769016117,17.06478107406292,20.138240986038,47.67470510355198,13.577342727556688,35.22394707105125,62.151035813614726,74.952327027102,15.591565019253226,62.152697924291715,92.31681306799874,169408.27151557416,1441.4452339658683,167876.91833829816,170738.7334150675,368696.8796771218,44133.3142065357,319515.83062462625,404848.88046831195,5.0,0.0,5.0,5.0,4.0,0.20000000000000018,3.8,4.2,0.5402046783625731,0.3557524066011407,0.16666666666666666,0.875,19.333333333333332,0.5773502691896257,19.0,20.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,1.1406666666668268,0.05616345193591394,1.094000000000051,1.2030000000004293
4,rare_25pct,25,3,1000.0,0.0,1000.0,1000.0,50000.00000000055,4.732356516050857e-10,50000.00000000007,50000.00000000102,210498.33333333334,351.32084101762786,210234.0,210897.0,210498.33333333334,351.32084101762786,210234.0,210897.0,41.666666666666664,6.6583281184793925,36.0,49.0,0.041666666666666664,0.006658328118479395,0.036,0.049,833.333333333325,133.1665623695945,719.9999999999853,979.9999999999986,0.00021598877097693474,1.6142988692915053e-05,0.00020497751224737536,0.00023451976866021546,18.841634374839774,1.8402932492839128,17.230023819934196,20.846903202321343,13.642598011094075,3.649634273018387,9.42897054925561,15.811363629966763,38.33537207414745,2.859103694036662,35.07536688470282,40.41675982242451,82.33490567440943,9.560848850206419,71.669166160631,90.13583766808733,84661.0343084888,12927.087658959384,70858.60116369631,96484.56992835345,204649.5628762889,44678.33706748597,163476.86425491262,252157.28788159712,5.0,0.0,5.0,5.0,8.333333333333334,1.3316656236958788,7.2,9.8,1.7863756613756614,1.0293323670113097,0.9305555555555556,2.9285714285714284,38.0,5.5677643628300215,33.0,44.0,3.6666666666666665,1.1547005383792515,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.001954191078111568,2.4510835028789283e-05,0.0019260020952184833,0.001970480328405583,0.00011500746115795765,5.316339559687172e-06,0.00010927357583126189,0.00011977318911962708,1.4423333333337116,0.18042265194075116,1.2340000000003783,1.5470000000004802
5,rare_30pct,30,3,1000.0,0.0,1000.0,1000.0,50000.000000001164,4.6111052501603545e-10,50000.000000000786,50000.00000000168,217301.0,284.0211259748119,216975.0,217495.0,217301.0,284.0211259748119,216975.0,217495.0,90.66666666666667,6.6583281184793925,85.0,98.0,0.09066666666666667,0.006658328118479393,0.085,0.098,1813.3333333332912,133.1665623695934,1699.9999999999645,1959.999999999969,0.0005019029176891973,5.225636740545096e-05,0.0004540394185195186,0.0005576551326986514,20.09331033611311,3.4709925193861277,16.678999047655786,23.618335031942884,16.03570386610348,3.4834064707269463,12.380371475537686,19.31699638068676,39.137639900933344,7.289341657410712,33.103867039596665,47.2368181956932,99.64785560014813,1.2161306435788368,98.47005527699366,100.89899706316646,39157.85431373096,2925.2895198506553,36094.09890348994,41921.54810277481,103358.79143827851,9891.124606725407,97547.08197412499,114779.47857117033,5.0,0.0,5.0,5.0,18.133333333333336,1.3316656236958793,17.0,19.6,0.6249421116761311,0.19659805034694725,0.3979591836734694,0.7415730337078651,86.66666666666667,8.32666399786453,80.0,96.0,3.6666666666666665,1.5275252316519468,2.0,5.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0034050325181378157,4.563112481810423e-05,0.00335240377042728,0.0034335516001327256,0.0001987334062080602,8.388334119500283e-06,0.00018968685280152937,0.00020625402388249685,1.5206666666666326,0.06453164598334409,1.469000000000051,1.5929999999998472
6,rare_35pct,35,3,1000.0,0.0,1000.0,1000.0,50000.00000000111,2.948633628169275e-10,50000.000000000924,50000.000000001455,224577.66666666666,412.0950537598496,224106.0,224868.0,224577.66666666666,412.0950537598496,224106.0,224868.0,117.33333333333333,24.78574859336174,89.0,135.0,0.11733333333333333,0.024785748593361745,0.089,0.135,2346.6666666666133,495.71497186721615,1779.9999999999657,2699.9999999999213,0.000644269302402899,9.940298326379145e-05,0.0005302455962686539,0.000712678475826144,19.95195956540829,1.3109364997543553,19.004759355363838,21.448136478282628,15.97749779856531,1.1573646714023471,14.661180510127451,16.835592882009223,42.883829880519386,4.621679733808744,38.352203225489944,47.590584308607504,88.91686131130943,6.065679851633553,83.44839461799711,95.44113108003512,31242.155303916777,7048.994399724089,26322.65041924315,39317.7047346245,76677.45426966828,17992.73991041281,65115.59541532662,97407.6731233628,5.0,0.0,5.0,5.0,23.46666666666667,4.957149718672348,17.8,27.0,1.0231877037383825,1.3111826386525502,0.03932584269662921,2.5117187499999996,110.0,21.79449471770337,85.0,125.0,6.666666666666667,3.511884584284246,3.0,10.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.005453815595307739,7.612156360835915e-05,0.005365936326811316,0.005499310244855449,0.0003155781153651098,1.2334555068078031e-05,0.0003022763653413047,0.0003266379396232161,1.317999999999908,0.17955222081630307,1.1409999999996217,1.5
7,rare_40pct,40,3,1000.0,0.0,1000.0,1000.0,50000.00000000154,6.548766060157386e-10,50000.00000000093,50000.000000002234,232199.66666666666,341.8147646508754,231933.0,232585.0,232199.66666666666,341.8147646508754,231933.0,232585.0,168.33333333333334,6.8068592855540455,163.0,176.0,0.16833333333333333,0.006806859285554036,0.163,0.176,3366.6666666665637,136.13718571110675,3259.999999999905,3519.9999999999345,0.0009193159662580705,0.00011732959283893245,0.0008134115403993605,0.0010454421007264712,19.627196577021948,1.8824732172908911,17.640250273721072,21.384042969405094,14.8952219026008,0.9709091799639723,13.81126453075558,15.685075451619923,42.011846946781354,3.926511564479832,39.63189691158478,46.54388292110525,97.50896530064831,34.00859928302764,69.91109424398746,135.501969524601,21341.788998433676,797.5707025637076,20446.212523012397,21975.52375558462,54069.78789339298,3691.812782596663,50626.82262321981,57968.18904625421,5.0,0.0,5.0,5.0,33.666666666666664,1.3613718571108098,32.6,35.2,1.373262500643959,0.18400032291037147,1.2361963190184049,1.5823863636363635,152.66666666666666,3.0550504633038935,150.0,156.0,15.333333333333334,4.041451884327381,11.0,19.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.008213243479375694,0.00011752085185475499,0.008077542096229408,0.008281133917722075,0.0004710596020236247,1.7225250499140885e-05,0.0004524844154469016,0.00048650601723570656,1.6149999999997817,0.14167215675630962,1.4849999999996726,1.7659999999996217
8,rare_45pct,45,3,1000.0,0.0,1000.0,1000.0,50000.00000000097,4.844024906100047e-10,50000.000000000495,50000.00000000146,240981.66666666666,192.90498524748742,240813.0,241192.0,240981.66666666666,192.90498524748742,240813.0,241192.0,238.66666666666666,21.501937897160186,217.0,260.0,0.23866666666666667,0.02150193789716019,0.217,0.26,4773.333333333243,430.03875794321874,4339.999999999874,5199.999999999903,0.0012340160530003867,0.00013895612558481878,0.0011328840594233586,0.0013924618196435676,18.621977042470196,1.3543091712616968,17.06436240135603,19.521328146374387,13.975872453437963,1.565111001014279,13.013085553247947,15.78178599930834,40.62749144146219,4.070955350874885,37.057321014953786,45.060800552554426,91.59547746915875,3.415698891227289,88.17727206321433,95.00866431547911,15163.024196331957,1378.1884216226636,13838.56744738251,16589.29711506864,38634.667047959054,5736.655394620311,33078.05818041572,44535.83691854999,5.0,0.0,5.0,5.0,47.73333333333333,4.300387579432037,43.4,52.0,1.5065860771252861,0.9748617856447231,0.3912133891213389,2.195852534562212,208.33333333333334,21.501937897160186,190.0,232.0,27.333333333333332,4.932882862316247,24.0,33.0,2.6666666666666665,0.5773502691896257,2.0,3.0,0.3333333333333333,0.5773502691896257,0.0,1.0,100.0,0.0,100.0,100.0,0.011800298026804351,0.00017128258230017572,0.011602546570314396,0.011902088217519917,0.0006706956495503997,2.3125779697637746e-05,0.0006457583439987943,0.0006914347183068576,1.4113333333334594,0.1490715711774084,1.2650000000003274,1.5630000000001019
9,rare_50pct,50,3,1000.0,0.0,1000.0,1000.0,50000.00000000113,9.148919993993055e-10,50000.00000000018,50000.00000000201,249839.66666666666,310.13921605197453,249546.0,250164.0,249839.66666666666,310.13921605197453,249546.0,250164.0,301.0,16.522711641858304,285.0,318.0,0.301,0.016522711641858322,0.285,0.318,6019.999999999859,330.4542328370491,5699.999999999979,6359.999999999744,0.001598978545798051,8.76053352749885e-05,0.00151118542359181,0.0016863948787135693,19.124061593722363,0.05907939202234661,19.088657982212336,19.192264021065288,14.83487141111982,0.6268072395192535,14.354226276598638,15.543832972180098,40.1876365510671,1.7446160940196773,38.44459260902367,41.93382055830152,110.29057415163454,15.179049980596236,94.5420820696745,124.8275753413327,11893.778712587367,628.3650105585423,11285.181334604764,12540.20239354617,30885.451139089168,1992.0837483867117,28836.566308638066,32815.4049425628,5.0,0.0,5.0,5.0,60.199999999999996,3.304542328371662,57.0,63.6,1.8184348449740704,0.2538441632710121,1.5526315789473684,2.058333333333333,263.0,16.522711641858304,246.0,279.0,31.0,4.0,27.0,35.0,6.333333333333333,4.041451884327381,4.0,11.0,0.6666666666666666,0.5773502691896257,0.0,1.0,100.0,0.0,100.0,100.0,0.016336435767760036,0.00023877954234149474,0.016060851736715672,0.016481694456960534,0.0009200038536031738,3.0097513076154313e-05,0.0008875496031916218,0.0009469967354492184,1.7706666666666326,0.12581865256579716,1.639999999999418,1.8910000000005311
