study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
target_total_hours_study,0,50_hours,50,1,3d0f1b24f333f6461e5e2d64327a0915ece7e1cf6d59a02886673237bdd45831,50.0,2499.9999999999905,10270,10270,2,0.04,800.0000000000031,0.0001539530855763587,13.855777701872285,13.855777701872285,21.898091467804626,23.90866990928771,81711.48986970047,104915.87797297881,0,,,2,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.07800000000042928
target_total_hours_study,0,50_hours,50,2,43195e37380212b21da35ba8f91b4582d1e65e1875d44b78a7806472fc47ee5a,50.0,2500.0000000000105,10242,10242,3,0.06,1199.999999999995,0.0002969964445886338,17.819786675318028,8.566513719546492,35.71541512560507,42.50264047711971,48593.33264507118,75291.40956151835,0,,,3,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,0.04699999999957072
target_total_hours_study,0,50_hours,50,3,4b8a844e21891a99bc1cfa69f38cb522bcec17bd33c90157ebb84dfbd2e6b3b4,50.0,2500.0000000000055,10258,10258,1,0.02,399.99999999999915,8.600492366870943e-05,15.480886260367697,15.480886260367697,15.480886260367697,15.480886260367697,139059.51084318757,139059.51084318757,0,,,1,0,0,0,100,0.000997249832160345,6.160850492514242e-05,0.03099999999994907
target_total_hours_study,1,100_hours,100,1,ea2b87998fee090274954f7bc9b1ef24b207eed8d69d3d8a0df9103870daa78d,100.0,4999.999999999974,20378,20378,2,0.02,400.00000000000216,7.697654278817936e-05,13.855777701872285,13.855777701872285,21.898091467804626,23.90866990928771,81711.48986970047,104915.87797297881,0,,,2,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.09400000000005093
target_total_hours_study,1,100_hours,100,2,89319e646504000930e0f704a88ddc307f72deb253667df8b5ff83dec726a760,100.0,4999.999999999966,20455,20455,6,0.06,1200.0000000000082,0.0004994337154595592,29.96602292757355,26.482557973708026,57.937151034595445,70.38747008901555,49440.15997259353,78824.97488469922,0,,,6,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,0.09400000000005093
target_total_hours_study,1,100_hours,100,3,8e3b537f23647451bcf418f5825cf6c78f79f320460b4e046c56894bda06e045,100.0,4999.9999999999745,20502,20502,3,0.03,600.000000000003,0.0003189787975324887,38.277455703898646,36.49772210291121,57.58255141931586,62.85375874841702,86199.33085956602,135140.97392284474,0,,,3,0,0,0,100,0.000997249832160345,6.160850492514242e-05,0.09400000000005093
target_total_hours_study,2,250_hours,250,1,12ed1ef0a9ea1d5a6dd09a789bf78a4aeb8bc26bdd24dd2f429740b950e13137,250.0,12499.999999999976,51017,51017,6,0.024,480.0000000000009,0.00011662923363920223,17.494385045880335,18.612512928171782,26.837887380592292,29.767104851896875,126030.5960416465,230042.3283536217,1,5.0,0.0,6,0,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.2820000000001528
target_total_hours_study,2,250_hours,250,2,798bb18d25d8bdac35b7296a0da2d866e5edc1f01ad3f025cb31a41743a4f7bc,250.0,12499.999999999925,51048,51048,6,0.024,480.00000000000284,0.00019977348618382368,29.96602292757355,26.482557973708026,57.937151034595445,70.38747008901555,49440.15997259353,78824.97488469922,1,6.0,0.0,6,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,0.2820000000001528
target_total_hours_study,2,250_hours,250,3,d69f7312b4778ded0a7f7a15579fb59f5a8dff54f93a0c1ea733e1c0c8e694b1,250.0,12500.000000000004,51207,51207,7,0.028,559.9999999999998,0.0001807929534995411,23.244808307083854,15.480886260367697,47.040136761113544,62.85375874841702,117343.95944962234,271265.77843361645,1,5.0,0.0,6,1,0,0,100,0.000997249832160345,6.160850492514242e-05,0.26599999999962165
target_total_hours_study,3,500_hours,500,1,983168739c813a506ad8a24eea2826ddb941038056bb25912caf0bf2173ef3c6,500.0,25000.000000000255,101914,101914,9,0.018,359.9999999999963,0.00010673290291544011,21.346580583088024,21.27295602671802,36.24422346637585,62.152697924291715,179950.45022388815,339354.00870186265,2,3.5,1.2857142857142858,8,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.4539999999997235
target_total_hours_study,3,500_hours,500,2,3cf40b264625ec01eefcbb04fbeec523801ec6bb28f21d30fd7cb46ab8345ad9,500.0,25000.00000000007,101701,101701,10,0.02,399.99999999999886,0.00014787696750908152,26.617854151634674,21.489986653905362,47.97689579105935,70.38747008901555,177052.2873305273,413687.02409940783,2,4.0,2.0,10,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,0.46900000000005093
target_total_hours_study,3,500_hours,500,3,d344234296c8dba3385de69aef5862a26c0d3df2056e4905b0a06c70c5eb42f3,500.0,25000.00000000038,101917,101917,10,0.02,399.9999999999939,0.00015147792163641295,27.266025894554332,13.020997204570449,65.80006418037519,92.31681306799874,166766.9659450449,305924.58589582884,2,4.5,0.1111111111111111,9,1,0,0,100,0.000997249832160345,6.160850492514242e-05,0.5309999999999491
target_total_hours_study,4,1000_hours,1000,1,f443d265ed0c0eb85ec5c788f65b327dcbb244174551548099560c755824da4d,1000.0,50000.00000000256,203641,203641,20,0.02,399.9999999999795,0.00010931980477737347,19.677564859927223,17.06478107406292,35.22394707105125,62.152697924291715,170738.7334150675,404848.88046831195,5,4.0,0.875,19,1,0,0,100,0.0010007959226450746,5.9436808561073915e-05,0.875
target_total_hours_study,4,1000_hours,1000,2,cadd912426a50da068982da4e4bc80904b86688dfdaa5f1187b84c9fbe594aa4,1000.0,50000.000000000495,203588,203588,19,0.019,379.99999999999625,0.0001252969956036274,23.7404833775294,20.138240986038,45.649132425989954,70.38747008901555,169609.16279335678,381725.9279384272,5,3.8,0.5789473684210527,19,0,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.0
target_total_hours_study,4,1000_hours,1000,3,e72666b340010587819958029cb2438b37e487f13160ed2f4905356747122bb6,1000.0,50000.000000001164,204129,204129,21,0.021,419.9999999999902,0.00016539207464976547,28.352927082816937,19.74707221472636,62.151035813614726,92.31681306799874,167876.91833829816,319515.83062462625,5,4.2,0.16666666666666666,20,1,0,0,100,0.000997249832160345,6.160850492514242e-05,0.8590000000003783
target_total_hours_study,5,2000_hours,2000,1,72bcef830d765630c4d08c97befcd4621c88636d11cf3d4bd05dda64be155fb9,2000.0,100000.00000000584,407580,407580,36,0.018,359.999999999979,9.171010523724463e-05,18.342021047448927,15.021284943795763,32.15611375006847,62.152697924291715,196374.60012334876,488511.2162128845,10,3.6,0.8148148148148149,34,2,0,0,100,0.0010007959226450746,5.9436808561073915e-05,2.0159999999996217
target_total_hours_study,5,2000_hours,2000,2,d83b70e81ac5c0703179b3aced78be0c07437f9d27903b145dec68856dd65d19,2000.0,100000.00000000345,407679,407679,44,0.022,439.9999999999848,0.0001398196484791596,22.879578842044296,16.771905646659434,46.0548835405265,101.20290002552792,149612.6367490627,411354.5536369196,10,4.4,1.878787878787879,43,1,0,0,100,0.0009799800507877046,5.560061326941382e-05,1.8429999999998472
target_total_hours_study,5,2000_hours,2000,3,efe348652b2ad57ddd5aca36ca1da5cae13cf7d59f7391c545a564c4dd686661,2000.0,100000.0000000035,408235,408235,42,0.021,419.9999999999853,0.0001334589711681474,22.87868077168241,16.175784337028745,55.77385084768756,92.31681306799874,171103.30024563023,370404.1403238077,10,4.2,0.46560846560846564,40,2,0,0,100,0.000997249832160345,6.160850492514242e-05,1.9220000000004802
target_total_hours_study,6,5000_hours,5000,1,f918789eac1bb1d675678175dce26c888e9afafd698603747b35f422a576cf3f,5000.0,249999.99999996932,1020130,1020130,123,0.0246,492.00000000006037,0.0001286706658111798,18.829853533343382,14.099617093801498,33.54022026360035,114.98604722321033,146191.24715242872,359821.2926061447,24,4.833333333333333,1.199400299850075,118,5,0,0,100,0.0010007959226450746,5.9436808561073915e-05,5.25
target_total_hours_study,6,5000_hours,5000,2,b910bc49f24d857d4b2cb9d605197d25a8b8d8f1ec7a691eadb7d0346ac24a90,5000.0,249999.99999996228,1019331,1019331,112,0.0224,448.0000000000676,0.00013317364652109083,21.402907476603882,15.621357235591859,45.37013087117813,118.61514755990356,158905.95184537806,404564.42879360827,24,4.541666666666667,1.1292381332269643,108,4,0,0,100,0.0009799800507877046,5.560061326941382e-05,5.29700000000048
target_total_hours_study,6,5000_hours,5000,3,df2f6be328226d3bceddc4c380405bb3485ffc7deeb713a06d6d4183906b4225,5000.0,249999.99999997305,1019888,1019888,110,0.022,440.0000000000474,0.0001199503242347079,19.628234874770385,14.231015463825315,47.3346413291991,92.31681306799874,161716.87642193795,366141.51234057266,24,4.375,0.9701863354037268,104,6,0,0,100,0.000997249832160345,6.160850492514242e-05,4.875
target_total_hours_study,7,10000_hours,10000,1,4f4d560eb9533b4d466e6443b49ee25c2b1b54d3fec0727b391b71ac87a73ecb,10000.0,499999.9999999347,2039329,2039329,250,0.025,500.0000000000653,0.00014154702868625707,20.382772130821017,15.076702255755663,40.641232878714774,137.24928426370025,143786.38223857112,326703.94100545923,49,5.040816326530612,1.1486167341430502,241,9,0,0,100,0.0010007959226450746,5.9436808561073915e-05,10.32799999999952
target_total_hours_study,7,10000_hours,10000,2,b412dadb276beb5b96710865d2166063e45d823bacf9a3dd05160131777eda25,10000.0,499999.999999916,2040358,2040358,218,0.0218,436.0000000000732,0.0001154947109177184,19.07252106898102,13.771739086369053,40.364119090512425,118.61514755990356,164844.41101391855,410942.3455140594,49,4.36734693877551,1.1610202492211839,211,7,0,0,100,0.0009799800507877046,5.560061326941382e-05,10.030999999999949
target_total_hours_study,7,10000_hours,10000,3,d28aa0c54b097e4a124c710b42584aa07ffa5baaaea7534d2e88cc9ce2c80672,10000.0,499999.9999999189,2039663,2039663,236,0.0236,472.00000000007657,0.00012975787864141682,19.793574708012738,14.247269126586616,44.776801478117704,101.56443473696709,152235.60803977377,342547.59966866486,49,4.73469387755102,1.370869252873563,228,8,0,0,100,0.000997249832160345,6.160850492514242e-05,10.5
target_total_hours_study,8,15000_hours,15000,1,7dd899e6d16d3f149af7ce8f9e4e9d084ee71ecee9c26e7a7d649dff1f220b78,15000.0,749999.9999998641,3059198,3059198,369,0.0246,492.00000000008913,0.00014233293315135342,20.829209729466353,16.04727580398321,43.357805645465845,137.24928426370025,146242.08478537257,346183.51946422143,74,4.905405405405405,1.2240839276953848,359,10,0,0,100,0.0010007959226450746,5.9436808561073915e-05,15.219000000000051
target_total_hours_study,8,15000_hours,15000,2,7f87a3f36dd10d0afaac1c31befe2efe3c324dc6c0395e2351fd2236a523849e,15000.0,749999.9999998778,3060575,3060575,337,0.022466666666666666,449.3333333334066,0.00012546391616556746,20.104010305461845,15.483389716595411,43.22951264235314,118.61514755990356,160186.09872465956,398005.8591375689,74,4.527027027027027,1.1270087916581475,326,11,0,0,100,0.0009799800507877046,5.560061326941382e-05,16.28099999999995
target_total_hours_study,8,15000_hours,15000,3,5cb5d9f762e176a6905c4056b6999eba0171e100f00800b6c300a368ec0d5590,15000.0,749999.9999998368,3059582,3059582,350,0.023333333333333334,466.6666666667682,0.0001311804237529394,20.239265379024935,14.372166528366506,45.43277404718102,174.79073564708233,153148.99749839175,353076.01373670547,74,4.702702702702703,1.4490631396630451,338,12,0,0,100,0.000997249832160345,6.160850492514242e-05,14.75
target_total_hours_study,9,20000_hours,20000,1,fd136f9aaadbe434264a63698ef72e75da326fd8534f474af739d7de39026396,20000.0,999999.999999826,4079575,4079575,495,0.02475,495.0000000000862,0.00014391104053117427,20.932514986352622,16.408725902438164,42.62334184497598,137.24928426370025,145294.45946103602,356717.23535360716,99,4.929292929292929,1.3548845767815323,481,14,0,0,100,0.0010007959226450746,5.9436808561073915e-05,20.07800000000043
target_total_hours_study,9,20000_hours,20000,2,e9a5569ffe75984472ec654e4525b92d381505e61f184afc70cdb73c886fb39b,20000.0,999999.9999998235,4079934,4079934,463,0.02315,463.00000000008174,0.00013067956054874452,20.321659523778845,15.209491774439812,42.40476495474577,139.70280500501394,155282.0462108083,380386.9950356074,99,4.626262626262626,1.1363069245165316,447,16,0,0,100,0.0009799800507877046,5.560061326941382e-05,23.5
