replicate,total_miles,simulated_time_seconds,total_unknown_episodes,episodes_per_million_miles,element_episodes,hidden_triggering_episodes,full_scenario_episodes,unknown_union_time_seconds,unknown_time_fraction,default_window_miles,default_window_count,default_window_mean_count,default_window_dispersion,episode_rate_abs_pct_error_vs_2m,unknown_fraction_abs_percentage_point_error_vs_2m
1,100000.0,7200000.0,3602,36020.0,1673,248,1681,145042.50939272047,0.020144792971211176,10000.0,10,360.2,4.318465050280708,0.04828588414029989,0.026368445106962277
1,200000.0,14400000.0,7330,36650.0,3415,474,3441,290962.98984692694,0.02020576318381437,10000.0,20,366.5,4.726215265311984,0.031640134751304574,0.020271423846642683
1,500000.0,36000000.0,18445,36890.0,8495,1229,8721,724230.3610197518,0.020117510028326437,10000.0,50,368.9,3.0188204313983658,0.025298896888830174,0.02909673939543618
1,1000000.0,72000000.0,37543,37543.0,16976,2487,18080,1462885.5070384953,0.020317854264423545,10000.0,100,375.43,4.977525030557553,0.0080454455380144,0.009062315785725306
1,2000000.0,144000000.0,75695,37847.5,34212,4990,36493,2938820.748808435,0.0204084774222808,10000.0,200,378.475,5.315538323097089,0.0,0.0
2,100000.0,7200000.0,3832,38320.0,1693,244,1895,141046.8768700608,0.019589844009730666,10000.0,10,383.2,2.517281373231269,0.014951464025108925,0.07645827411992857
2,200000.0,14400000.0,7705,38525.0,3346,498,3861,296947.1351834298,0.020621328832182626,10000.0,20,385.25,2.8850370572765462,0.020381136523155565,0.026690208125267414
2,500000.0,36000000.0,19274,38548.0,8581,1228,9465,741301.8233335507,0.020591717314820852,10000.0,50,385.48,3.9101253036235764,0.020990319291229093,0.023729056389090036
2,1000000.0,72000000.0,37499,37499.0,17019,2454,18026,1465029.6402016622,0.020347633891689754,10000.0,100,374.99,3.8144852886312655,0.006793712174385189,0.0006792859240198346
2,2000000.0,144000000.0,75511,37755.5,34222,4956,36333,2931037.452133913,0.020354426750929952,10000.0,200,377.555,3.988335620707928,0.0,0.0
3,100000.0,7200000.0,3832,38320.0,1676,262,1894,144866.4095169931,0.02012033465513793,10000.0,10,383.2,5.677800974251913,0.006004954411631194,0.06145454392718942
3,200000.0,14400000.0,7826,39130.0,3306,491,4029,292649.11286517896,0.02032285506008187,10000.0,20,391.3,6.42153684748544,0.015005901197099982,0.04120250343279536
3,500000.0,36000000.0,19453,38906.0,8458,1259,9736,745853.0041727956,0.020718139004799876,10000.0,50,389.06,5.274923232028636,0.009195491744808892,0.0016741089609948606
3,1000000.0,72000000.0,39130,39130.0,17017,2522,19591,1504459.220160053,0.020895266946667403,10000.0,100,391.3,5.560563467540212,0.015005901197099982,0.016038685225757895
3,2000000.0,144000000.0,77103,38551.5,34157,4994,37952,2985822.7335950145,0.020734880094409824,10000.0,200,385.515,5.63694123966655,0.0,0.0
4,100000.0,7200000.0,3962,39620.0,1759,241,1962,151239.37191883003,0.021005468322059725,10000.0,10,396.2,2.9641595153962648,0.04688800517895126,0.04109719714701747
4,200000.0,14400000.0,7859,39295.0,3464,499,3896,295325.4709150651,0.02050871325799063,10000.0,20,392.95,3.451483716289069,0.038300458442879604,0.008578309259892059
4,500000.0,36000000.0,19068,38136.0,8541,1287,9240,744176.0443098443,0.020671556786384562,10000.0,50,381.36,4.880359443966385,0.0076759456210117455,0.007706043579501151
4,1000000.0,72000000.0,37749,37749.0,17230,2541,17978,1491661.7887946116,0.020717524844369607,10000.0,100,377.49,3.821814799562554,0.0025498408000951237,0.012302849378005576
4,2000000.0,144000000.0,75691,37845.5,34319,5106,36266,2965607.4744848954,0.02059449635058955,10000.0,200,378.455,4.706939527803767,0.0,0.0
5,100000.0,7200000.0,3615,36150.0,1684,274,1657,148791.3783545317,0.020665469215907183,10000.0,10,361.5,8.357307514983862,0.03810334734713427,0.015227179407379526
5,200000.0,14400000.0,7437,37185.0,3380,516,3541,294415.8324465966,0.02044554391990254,10000.0,20,371.85,5.460966858453111,0.01056356766537172,0.006765350193084843
5,500000.0,36000000.0,19152,38304.0,8599,1325,9228,736667.5472596632,0.020462987423879534,10000.0,50,383.04,5.0828559493973025,0.019211324570273004,0.005020999795385395
5,1000000.0,72000000.0,37611,37611.0,17029,2613,17969,1474613.9149877774,0.020480748819274686,10000.0,100,376.11,5.2293907676375575,0.0007716460007450376,0.0032448602558701745
5,2000000.0,144000000.0,75164,37582.0,34205,5081,35878,2953900.428744008,0.020513197421833388,10000.0,200,375.82,4.278691097978317,0.0,0.0
