level_index,level_label,level_value,runs,simulated_hours_mean,simulated_hours_sd,simulated_hours_min,simulated_hours_max,simulated_miles_mean,simulated_miles_sd,simulated_miles_min,simulated_miles_max,total_events_mean,total_events_sd,total_events_min,total_events_max,total_layer_transitions_mean,total_layer_transitions_sd,total_layer_transitions_min,total_layer_transitions_max,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_hour_mean,episodes_per_hour_sd,episodes_per_hour_min,episodes_per_hour_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,episode_duration_mean_seconds_mean,episode_duration_mean_seconds_sd,episode_duration_mean_seconds_min,episode_duration_mean_seconds_max,episode_duration_median_seconds_mean,episode_duration_median_seconds_sd,episode_duration_median_seconds_min,episode_duration_median_seconds_max,episode_duration_p90_seconds_mean,episode_duration_p90_seconds_sd,episode_duration_p90_seconds_min,episode_duration_p90_seconds_max,episode_duration_max_seconds_mean,episode_duration_max_seconds_sd,episode_duration_max_seconds_min,episode_duration_max_seconds_max,inter_arrival_mean_seconds_mean,inter_arrival_mean_seconds_sd,inter_arrival_mean_seconds_min,inter_arrival_mean_seconds_max,inter_arrival_p90_seconds_mean,inter_arrival_p90_seconds_sd,inter_arrival_p90_seconds_min,inter_arrival_p90_seconds_max,window_count_mean,window_count_sd,window_count_min,window_count_max,window_mean_mean,window_mean_sd,window_mean_min,window_mean_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,c3_episodes_mean,c3_episodes_sd,c3_episodes_min,c3_episodes_max,c4_episodes_mean,c4_episodes_sd,c4_episodes_min,c4_episodes_max,c5_episodes_mean,c5_episodes_sd,c5_episodes_min,c5_episodes_max,c6_episodes_mean,c6_episodes_sd,c6_episodes_min,c6_episodes_max,selected_rule_count_mean,selected_rule_count_sd,selected_rule_count_min,selected_rule_count_max,selected_rule_mass_sum_mean,selected_rule_mass_sum_sd,selected_rule_mass_sum_min,selected_rule_mass_sum_max,selected_rule_mass_max_mean,selected_rule_mass_max_sd,selected_rule_mass_max_min,selected_rule_mass_max_max,wall_seconds_mean,wall_seconds_sd,wall_seconds_min,wall_seconds_max
0,100_miles,100,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,1000.0,0.0,1000.0,1000.0,0.04066666666666666,0.004163331998932266,0.036,0.044,1.0686270686270687,0.09166017394248488,0.964964964964965,1.1389571389571391,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.4843333333334763,0.05658032638088497,2.436999999999898,2.54700000000048
1,250_miles,250,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,400.0,0.0,400.0,400.0,0.10166666666666667,0.010408329997330665,0.09,0.11,1.18797956893195,0.1765415176609165,1.0236702868281815,1.3746270437999761,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.6096666666662713,0.08258530942807055,2.5159999999996217,2.6719999999995707
2,500_miles,500,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,200.0,0.0,200.0,200.0,0.20333333333333334,0.02081665999466133,0.18,0.22,1.1564653474201212,0.11271385338626361,1.047459519821329,1.2725532424024886,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.6453333333332316,0.18832507356517939,2.467999999999847,2.842999999999847
3,1000_miles,1000,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,100.0,0.0,100.0,100.0,0.4066666666666667,0.04163331998932266,0.36,0.44,1.1913458782145652,0.2795165119959084,0.9270482603815937,1.4839302112029384,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.3126666666667006,0.08258530942807055,2.219000000000051,2.375
4,2500_miles,2500,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,40.0,0.0,40.0,40.0,1.0166666666666668,0.10408329997330666,0.9,1.1,1.6054809388142723,0.30724873796455693,1.3561253561253561,1.948717948717949,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.7136666666665406,0.1640650277585237,2.5469999999995707,2.875
5,5000_miles,5000,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,20.0,0.0,20.0,20.0,2.0333333333333337,0.20816659994661332,1.8,2.2,1.4104453051821473,0.7245411243161163,0.8538011695906433,2.229665071770335,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.4739999999998568,0.22875532780701513,2.2659999999996217,2.719000000000051
6,10000_miles,10000,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,10.0,0.0,10.0,10.0,4.066666666666667,0.41633319989322665,3.6,4.4,1.0530703864037199,0.7361000621541847,0.46560846560846564,1.878787878787879,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.6823333333334936,0.18492521010768787,2.469000000000051,2.79700000000048
7,25000_miles,25000,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,4.0,0.0,4.0,4.0,10.166666666666666,1.0408329997330663,9.0,11.0,1.1617764951098284,0.7180790007678265,0.5185185185185186,1.9365079365079363,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.271000000000034,0.20163581031190278,2.0469999999995707,2.438000000000102
8,50000_miles,50000,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,2.0,0.0,2.0,2.0,20.333333333333332,2.0816659994661326,18.0,22.0,0.42087542087542085,0.40959979987156286,0.0,0.8181818181818182,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.6876666666667006,0.3841618582495521,2.358999999999469,3.110000000000582
9,100000_miles,100000,3,2000.0,0.0,2000.0,2000.0,100000.00000000426,1.361362585277122e-09,100000.00000000345,100000.00000000584,407831.3333333333,353.0727026170861,407580.0,408235.0,407831.3333333333,353.0727026170861,407580.0,408235.0,40.666666666666664,4.163331998932265,36.0,44.0,0.02033333333333333,0.002081665999466133,0.018,0.022,406.6666666666497,41.633319989325976,359.999999999979,439.9999999999848,0.00012166290829485055,2.6134122564561084e-05,9.171010523724463e-05,0.0001398196484791596,21.36676022039188,2.619501002077361,18.342021047448927,22.879578842044296,15.989658309161314,0.8900283057358367,15.021284943795763,16.771905646659434,44.661616046094174,11.87035265425356,32.15611375006847,55.77385084768756,85.22413700593945,20.46849069491519,62.152697924291715,101.20290002552792,172363.51237268056,23406.439404753375,149612.6367490627,196374.60012334876,423423.3033912039,59971.3380227646,370404.1403238077,488511.2162128845,1.0,0.0,1.0,1.0,40.666666666666664,4.163331998932265,36.0,44.0,0.0,0.0,0.0,0.0,39.0,4.58257569495584,34.0,43.0,1.6666666666666667,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0009926752685310413,1.1136431412015317e-05,0.0009799800507877046,0.0010007959226450746,5.888197558521005e-05,3.042132518493042e-06,5.560061326941382e-05,6.160850492514242e-05,2.629999999999806,0.19534840669925455,2.405999999999949,2.764999999999418
