episode_index,type,layer,element,start_mileage,end_mileage,start_time_seconds,end_time_seconds,duration_seconds,duration_miles,truncated,inter_arrival_miles,inter_arrival_seconds,element_label,element_description
0,rare_combination,combination,C3: ego_maneuver=ego_013 & environmental_conditions=environment_012 & triggering_conditions=trigger_066,732.028,732.081,52706.0,52709.8,3.8,0.053,0,732.028,52706.0,,
1,rare_combination,combination,C3: ego_maneuver=ego_011 & ru_maneuver=ru_010 & triggering_conditions=trigger_014,2269.764,2270.096,163423.0,163446.9,23.9,0.332,0,1537.736,110717.0,,
2,rare_combination,combination,C3: street=street_000 & ego_maneuver=ego_011 & triggering_conditions=trigger_018,6157.139,6157.466,443314.0,443337.5,23.5,0.327,0,3887.375,279891.0,,
3,rare_combination,combination,C3: street=street_004 & ego_maneuver=ego_009 & triggering_conditions=trigger_011,7023.969,7024.159,505725.7,505739.4,13.7,0.190,0,866.830,62411.7,,
4,rare_combination,combination,C3: street=street_004 & ego_maneuver=ego_009 & triggering_conditions=trigger_011,9526.658,9526.801,685919.4,685929.6,10.3,0.143,0,2502.689,180193.6,,
5,rare_combination,combination,C3: ego_maneuver=ego_009 & environmental_conditions=environment_009 & triggering_conditions=trigger_064,10502.550,10502.963,756183.6,756213.3,29.8,0.413,0,975.892,70264.2,,
6,rare_combination,combination,C3: ego_maneuver=ego_013 & environmental_conditions=environment_000 & triggering_conditions=trigger_018,14961.925,14962.220,1077258.6,1077279.9,21.3,0.295,0,4459.375,321075.0,,
7,rare_combination,combination,C3: street=street_000 & ego_maneuver=ego_011 & triggering_conditions=trigger_018,20690.674,20691.537,1489728.5,1489790.7,62.2,0.863,0,5728.749,412469.9,,
8,rare_combination,combination,C4: street=street_000 & ru_maneuver=ru_005 & environmental_conditions=environment_000 & triggering_conditions=trigger_028,22493.806,22493.858,1619554.1,1619557.8,3.7,0.052,0,1803.132,129825.5,,
9,rare_combination,combination,C3: temporal_modifications=temporal_023 & ego_maneuver=ego_009 & triggering_conditions=trigger_000,32375.242,32375.525,2331017.4,2331037.8,20.4,0.284,0,9881.435,711463.3,,
10,rare_combination,combination,C3: ru_maneuver=ru_009 & environmental_conditions=environment_000 & triggering_conditions=trigger_066,33039.102,33039.830,2378815.3,2378867.7,52.4,0.728,0,663.860,47797.9,,
11,rare_combination,combination,C3: street=street_000 & temporal_modifications=temporal_001 & triggering_conditions=trigger_032,33641.946,33642.311,2422220.1,2422246.4,26.3,0.365,0,602.845,43404.8,,
12,rare_combination,combination,C3: street=street_000 & ego_maneuver=ego_011 & triggering_conditions=trigger_018,35234.395,35234.405,2536876.5,2536877.1,0.7,0.010,0,1592.449,114656.3,,
13,rare_combination,combination,C3: temporal_modifications=temporal_023 & ego_maneuver=ego_009 & triggering_conditions=trigger_000,37241.320,37241.782,2681375.0,2681408.3,33.3,0.463,0,2006.924,144498.6,,
14,rare_combination,combination,C3: ego_maneuver=ego_013 & environmental_conditions=environment_012 & triggering_conditions=trigger_017,42852.460,42852.552,3085377.1,3085383.7,6.6,0.092,0,5611.140,404002.1,,
15,rare_combination,combination,C3: street=street_004 & ego_maneuver=ego_009 & triggering_conditions=trigger_011,43402.942,43403.094,3125011.8,3125022.8,11.0,0.152,0,550.482,39634.7,,
16,rare_combination,combination,C3: ru_maneuver=ru_010 & environmental_conditions=environment_012 & triggering_conditions=trigger_000,44778.282,44778.324,3224036.3,3224039.3,3.0,0.042,0,1375.341,99024.5,,
17,rare_combination,combination,C3: street=street_000 & temporal_modifications=temporal_038 & triggering_conditions=trigger_007,46896.621,46896.754,3376556.7,3376566.3,9.6,0.133,0,2118.338,152520.4,,
18,rare_combination,combination,C3: temporal_modifications=temporal_024 & ego_maneuver=ego_013 & triggering_conditions=trigger_059,47247.791,47247.902,3401840.9,3401848.9,8.0,0.111,0,351.170,25284.2,,
19,rare_combination,combination,C3: temporal_modifications=temporal_017 & ego_maneuver=ego_011 & triggering_conditions=trigger_028,47427.426,47427.844,3414774.7,3414804.8,30.1,0.418,0,179.635,12933.7,,
20,rare_combination,combination,C3: ego_maneuver=ego_013 & environmental_conditions=environment_000 & triggering_conditions=trigger_018,54637.767,54637.896,3933919.2,3933928.5,9.2,0.128,0,7210.341,519144.6,,
21,rare_combination,combination,C3: ru_maneuver=ru_018 & environmental_conditions=environment_009 & triggering_conditions=trigger_023,55783.236,55783.694,4016393.0,4016426.0,33.0,0.459,0,1145.468,82473.7,,
22,rare_combination,combination,C3: street=street_000 & ego_maneuver=ego_011 & triggering_conditions=trigger_018,55830.126,55830.399,4019769.1,4019788.7,19.6,0.273,0,46.891,3376.1,,
23,rare_combination,combination,C3: temporal_modifications=temporal_005 & ru_maneuver=ru_009 & triggering_conditions=trigger_017,56768.448,56768.821,4087328.3,4087355.1,26.8,0.373,0,938.322,67559.2,,
24,rare_combination,combination,C3: ru_maneuver=ru_005 & environmental_conditions=environment_009 & triggering_conditions=trigger_017,56865.407,56865.841,4094309.3,4094340.6,31.3,0.435,0,96.958,6981.0,,
25,rare_combination,combination,C3: ego_maneuver=ego_009 & environmental_conditions=environment_009 & triggering_conditions=trigger_064,64471.327,64471.682,4641935.6,4641961.1,25.6,0.355,0,7605.921,547626.3,,
26,rare_combination,combination,C3: street=street_000 & ego_maneuver=ego_011 & triggering_conditions=trigger_018,76552.472,76552.787,5511778.0,5511800.7,22.7,0.315,0,12081.145,869842.4,,
27,rare_combination,combination,C3: street=street_004 & ego_maneuver=ego_009 & triggering_conditions=trigger_011,77194.334,77194.561,5557992.0,5558008.4,16.3,0.227,0,641.862,46214.1,,
28,rare_combination,combination,C3: street=street_004 & ego_maneuver=ego_009 & triggering_conditions=trigger_011,80925.838,80925.839,5826660.4,5826660.4,0.0,0.000,0,3731.505,268668.3,,
29,rare_combination,combination,C3: ego_maneuver=ego_009 & environmental_conditions=environment_009 & triggering_conditions=trigger_064,81941.802,81941.989,5899809.7,5899823.2,13.5,0.187,0,1015.963,73149.3,,
30,rare_combination,combination,C4: ego_maneuver=ego_011 & ru_maneuver=ru_010 & environmental_conditions=environment_013 & triggering_conditions=trigger_028,82101.718,82101.899,5911323.7,5911336.8,13.1,0.182,0,159.916,11514.0,,
31,rare_combination,combination,C3: ego_maneuver=ego_011 & ru_maneuver=ru_010 & triggering_conditions=trigger_014,85218.028,85218.064,6135698.0,6135700.6,2.6,0.037,0,3116.310,224374.3,,
32,rare_combination,combination,C3: temporal_modifications=temporal_023 & ego_maneuver=ego_009 & triggering_conditions=trigger_000,91577.442,91577.574,6593575.8,6593585.3,9.5,0.131,0,6359.415,457877.9,,
33,rare_combination,combination,C3: ru_maneuver=ru_018 & environmental_conditions=environment_009 & triggering_conditions=trigger_058,91841.272,91841.690,6612571.6,6612601.7,30.1,0.418,0,263.829,18995.7,,
